ATP,tourney_location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,loser_id,winner_id,match_id,Winner_Sets_Before,Winner_Gems_Before,Loser_Sets_Before,Loser_Gems_Before
1,Brisbane,Brisbane International,2017-12-31,ATP250,Outdoor,Hard,1st Round,3,Dolgopolov A.,Schwartzman D.,169,26.0,315,1675.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.2,1.61,2.24,1.71,2.29,1.77,2.17,1.68,106043,105238,Brisbane_2018_105238_106043,0.0,0.0,0.0,0.0
1,Brisbane,Brisbane International,2017-12-31,ATP250,Outdoor,Hard,1st Round,3,De Minaur A.,Johnson S.,209,44.0,245,1055.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.75,1.4,3.14,1.41,3.25,1.44,2.96,1.39,105449,200282,Brisbane_2018_200282_105449,0.0,0.0,0.0,0.0
1,Brisbane,Brisbane International,2018-01-01,ATP250,Outdoor,Hard,1st Round,3,Harrison R.,Mayer L.,47,52.0,1010,909.0,6.0,4.0,3.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,1.61,2.2,1.66,2.35,1.75,2.35,1.67,2.17,104919,105992,Brisbane_2018_105992_104919,0.0,0.0,0.0,0.0
1,Brisbane,Brisbane International,2018-01-01,ATP250,Outdoor,Hard,1st Round,3,Ebden M.,Tiafoe F.,76,79.0,670,662.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.5,1.5,2.38,1.64,2.52,1.65,2.37,1.58,126207,105051,Brisbane_2018_105051_126207,0.0,0.0,0.0,0.0
1,Brisbane,Brisbane International,2018-01-01,ATP250,Outdoor,Hard,1st Round,3,Zverev M.,Smith J.P.,33,218.0,1302,235.0,6.0,4.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.4,2.75,1.44,3.0,1.57,3.0,1.44,2.73,105441,104999,Brisbane_2018_104999_105441,0.0,0.0,0.0,0.0
1,Brisbane,Brisbane International,2018-01-01,ATP250,Outdoor,Hard,1st Round,3,Zeballos H.,Escobedo E.,66,120.0,768,498.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.2,1.61,2.22,1.73,2.38,1.75,2.2,1.66,124014,104547,Brisbane_2018_104547_124014,0.0,0.0,0.0,0.0
1,Brisbane,Brisbane International,2018-01-01,ATP250,Outdoor,Hard,1st Round,3,Donaldson J.,Thompson J.,54,94.0,890,593.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.83,1.83,1.99,1.9,2.0,2.02,1.89,1.89,111442,111577,Brisbane_2018_111577_111442,0.0,0.0,0.0,0.0
2,Doha,Qatar Exxon Mobil Open,2018-01-01,ATP250,Outdoor,Hard,1st Round,3,Rublev A.,Stebe C.M.,39,82.0,1229,651.0,6.0,1.0,,,,,,,,,1.0,0.0,Retired,1.44,2.62,1.54,2.62,1.57,2.9,1.49,2.59,105649,126094,Doha_2018_126094_105649,0.0,0.0,0.0,0.0
2,Doha,Qatar Exxon Mobil Open,2018-01-01,ATP250,Outdoor,Hard,1st Round,3,Verdasco F.,Sela D.,35,68.0,1295,755.0,4.0,6.0,6.0,4.0,6.0,0.0,,,,,2.0,1.0,Completed,1.36,3.0,1.41,3.14,1.45,3.32,1.4,2.92,104534,104269,Doha_2018_104269_104534,0.0,0.0,0.0,0.0
2,Doha,Qatar Exxon Mobil Open,2018-01-01,ATP250,Outdoor,Hard,1st Round,3,Thiem D.,Donskoy E.,5,72.0,4015,704.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.2,4.33,1.22,4.74,1.28,4.85,1.21,4.26,105539,106233,Doha_2018_106233_105539,0.0,0.0,0.0,0.0
