ATP,tourney_location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,loser_id,winner_id,match_id,Winner_Sets_Before,Winner_Gems_Before,Loser_Sets_Before,Loser_Gems_Before
12,Marseille,Open 13,2020-02-18,ATP250,Indoor,Hard,1st Round,3,Simon G.,Mayot H.,58.0,509.0,890.0,55.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.3,3.4,1.23,4.63,1.33,4.63,1.24,3.93,208004,104468,Marseille_2020_104468_208004,0.0,0.0,0.0,0.0
12,Marseille,Open 13,2020-02-18,ATP250,Indoor,Hard,1st Round,3,Bedene A.,Khachanov K.,47.0,17.0,1010.0,2040.0,4.0,6.0,6.0,4.0,7.0,5.0,,,,,2.0,1.0,Completed,2.62,1.44,3.18,1.4,3.18,1.5,2.93,1.39,111575,105379,Marseille_2020_105379_111575,0.0,0.0,0.0,0.0
13,Rio de Janeiro,Rio Open,2020-02-18,ATP500,Outdoor,Clay,1st Round,3,Alcaraz C.,Ramos-Vinolas A.,406.0,41.0,82.0,1130.0,7.0,6.0,4.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,4.33,1.2,4.1,1.27,4.5,1.27,4.17,1.22,105077,207989,Rio de Janeiro_2020_207989_105077,0.0,0.0,0.0,0.0
13,Rio de Janeiro,Rio Open,2020-02-18,ATP500,Outdoor,Clay,1st Round,3,Balazs A.,Cuevas P.,106.0,46.0,525.0,1017.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,3.75,1.25,3.57,1.33,4.0,1.33,3.7,1.27,104655,105226,Rio de Janeiro_2020_105226_104655,0.0,0.0,0.0,0.0
13,Rio de Janeiro,Rio Open,2020-02-18,ATP500,Outdoor,Clay,1st Round,3,Lajovic D.,Cecchinato M.,23.0,111.0,1641.0,508.0,6.0,4.0,6.0,7.0,6.0,1.0,,,,,2.0,1.0,Completed,1.61,2.2,1.66,2.35,1.67,2.45,1.63,2.25,106065,105583,Rio de Janeiro_2020_105583_106065,0.0,0.0,0.0,0.0
13,Rio de Janeiro,Rio Open,2020-02-18,ATP500,Outdoor,Clay,1st Round,3,Coric B.,Londero J.I.,32.0,61.0,1320.0,881.0,7.0,6.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.9,1.8,2.1,1.81,2.12,1.85,2.04,1.76,106228,106432,Rio de Janeiro_2020_106432_106228,0.0,0.0,0.0,0.0
13,Rio de Janeiro,Rio Open,2020-02-18,ATP500,Outdoor,Clay,1st Round,3,Munar J.,Caruso S.,99.0,97.0,593.0,600.0,7.0,5.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.5,2.5,1.6,2.47,1.64,2.56,1.56,2.39,106099,144719,Rio de Janeiro_2020_144719_106099,0.0,0.0,0.0,0.0
13,Rio de Janeiro,Rio Open,2020-02-18,ATP500,Outdoor,Clay,1st Round,3,Sonego L.,Mayer L.,52.0,109.0,960.0,509.0,6.0,1.0,5.0,7.0,6.0,4.0,,,,,2.0,1.0,Completed,1.8,1.9,1.94,1.94,2.0,2.0,1.87,1.91,104919,132283,Rio de Janeiro_2020_132283_104919,0.0,0.0,0.0,0.0
13,Rio de Janeiro,Rio Open,2020-02-18,ATP500,Outdoor,Clay,1st Round,3,Domingues J.,Gaio F.,169.0,127.0,292.0,422.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.72,2.0,,,1.94,2.05,1.79,1.94,105943,106249,Rio de Janeiro_2020_106249_105943,0.0,0.0,0.0,0.0
13,Rio de Janeiro,Rio Open,2020-02-18,ATP500,Outdoor,Clay,1st Round,3,Mager G.,Ruud C.,128.0,34.0,413.0,1313.0,7.0,6.0,7.0,5.0,,,,,,,2.0,0.0,Completed,3.75,1.25,4.59,1.23,4.59,1.27,4.08,1.23,134770,126149,Rio de Janeiro_2020_126149_134770,0.0,0.0,0.0,0.0
13,Rio de Janeiro,Rio Open,2020-02-18,ATP500,Outdoor,Clay,1st Round,3,Thiem D.,Meligeni Rodrigues F,4.0,341.0,7045.0,111.0,6.0,2.0,4.0,6.0,6.0,1.0,,,,,2.0,1.0,Completed,1.01,26.0,1.01,26.59,1.02,30.0,1.01,19.41,200335,106233,Rio de Janeiro_2020_106233_200335,0.0,0.0,0.0,0.0
11,Delray Beach,Delray Beach Open,2020-02-19,ATP250,Outdoor,Hard,1st Round,3,Paul T.,Galan D.E.,70.0,146.0,778.0,376.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.28,3.5,1.28,3.94,1.35,3.94,1.29,3.5,123755,126205,Delray Beach_2020_126205_123755,0.0,0.0,0.0,0.0
12,Marseille,Open 13,2020-02-19,ATP250,Indoor,Hard,1st Round,3,Gerasimov E.,Novak D.,72.0,95.0,764.0,609.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.66,2.1,1.68,2.32,1.73,2.32,1.66,2.19,110602,106078,Marseille_2020_106078_110602,0.0,0.0,0.0,0.0
12,Marseille,Open 13,2020-02-19,ATP250,Indoor,Hard,1st Round,3,Herbert P.H.,Kukushkin M.,79.0,69.0,715.0,791.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.57,2.25,1.6,2.47,1.65,2.56,1.59,2.33,105062,105732,Marseille_2020_105732_105062,0.0,0.0,0.0,0.0
12,Marseille,Open 13,2020-02-19,ATP250,Indoor,Hard,1st Round,3,Auger-Aliassime F.,Travaglia S.,18.0,85.0,1921.0,684.0,6.0,7.0,7.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,1.28,3.5,1.27,4.19,1.31,4.19,1.27,3.67,105882,200000,Marseille_2020_200000_105882,0.0,0.0,0.0,0.0
13,Rio de Janeiro,Rio Open,2020-02-19,ATP500,Outdoor,Clay,1st Round,3,Monteiro T.,Pella G.,88.0,26.0,669.0,1515.0,5.0,7.0,6.0,4.0,7.0,6.0,,,,,2.0,1.0,Completed,2.1,1.66,2.03,1.86,2.2,2.0,2.04,1.76,105550,106329,Rio de Janeiro_2020_106329_105550,0.0,0.0,0.0,0.0
11,Delray Beach,Delray Beach Open,2020-02-19,ATP250,Outdoor,Hard,2nd Round,3,Kwon S.W.,Harrison R.,82.0,433.0,702.0,73.0,6.0,4.0,3.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,1.33,3.25,1.45,2.96,1.45,3.3,1.37,3.06,105992,126952,Delray Beach_2020_126952_105992,1.0,2.0,2.0,7.0
11,Delray Beach,Delray Beach Open,2020-02-19,ATP250,Outdoor,Hard,2nd Round,3,Nishioka Y.,Rubin N.,63.0,269.0,862.0,162.0,6.0,1.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.22,4.0,1.28,4.11,1.28,4.2,1.26,3.8,111511,106415,Delray Beach_2020_106415_111511,1.0,3.0,1.0,3.0
11,Delray Beach,Delray Beach Open,2020-02-19,ATP250,Outdoor,Hard,2nd Round,3,Nakashima B.,Norrie C.,294.0,60.0,139.0,885.0,7.0,5.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.8,1.9,1.85,2.07,1.98,2.07,1.87,1.91,111815,206909,Delray Beach_2020_206909_111815,2.0,6.0,1.0,3.0
11,Delray Beach,Delray Beach Open,2020-02-19,ATP250,Outdoor,Hard,2nd Round,3,Opelka R.,Mcdonald M.,54.0,159.0,947.0,327.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.5,2.5,1.51,2.75,1.54,2.95,1.47,2.65,111456,124187,Delray Beach_2020_124187_111456,1.0,2.0,2.0,5.0
12,Marseille,Open 13,2020-02-19,ATP250,Indoor,Hard,2nd Round,3,Pospisil V.,Hurkacz H.,98.0,29.0,597.0,1433.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.2,1.61,2.17,1.77,2.45,1.78,2.25,1.63,128034,105577,Marseille_2020_105577_128034,2.0,4.0,2.0,7.0
12,Marseille,Open 13,2020-02-19,ATP250,Indoor,Hard,2nd Round,3,Tsitsipas S.,Ymer M.,6.0,75.0,4745.0,749.0,6.0,1.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.22,4.0,1.25,4.42,1.26,4.6,1.23,4.09,144707,126774,Marseille_2020_126774_144707,0.0,0.0,1.0,2.0
12,Marseille,Open 13,2020-02-19,ATP250,Indoor,Hard,2nd Round,3,Bublik A.,Paire B.,55.0,20.0,930.0,1738.0,3.0,6.0,6.0,4.0,6.0,4.0,,,,,2.0,1.0,Completed,2.25,1.57,2.31,1.69,2.37,1.69,2.24,1.64,105332,122330,Marseille_2020_122330_105332,2.0,4.0,2.0,3.0
13,Rio de Janeiro,Rio Open,2020-02-19,ATP500,Outdoor,Clay,2nd Round,3,Garin C.,Delbonis F.,25.0,86.0,1550.0,676.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.5,2.5,1.56,2.62,1.56,2.65,1.52,2.5,105643,106426,Rio de Janeiro_2020_106426_105643,1.0,1.0,2.0,6.0
13,Rio de Janeiro,Rio Open,2020-02-19,ATP500,Outdoor,Clay,2nd Round,3,Martinez P.,Andujar P.,133.0,59.0,404.0,887.0,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.5,1.5,2.46,1.62,2.56,1.65,2.37,1.57,104665,124079,Rio de Janeiro_2020_124079_104665,1.0,3.0,2.0,6.0
13,Rio de Janeiro,Rio Open,2020-02-19,ATP500,Outdoor,Clay,2nd Round,3,Balazs A.,Monteiro T.,106.0,88.0,525.0,669.0,1.0,6.0,6.0,1.0,6.0,4.0,,,,,2.0,1.0,Completed,2.62,1.44,2.81,1.5,2.81,1.54,2.62,1.48,106329,105226,Rio de Janeiro_2020_105226_106329,2.0,5.0,1.0,1.0
11,Delray Beach,Delray Beach Open,2020-02-20,ATP250,Outdoor,Hard,2nd Round,3,Humbert U.,Kecmanovic M.,44.0,50.0,1086.0,999.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.0,1.72,2.11,1.81,2.2,1.81,2.09,1.72,200175,200005,Delray Beach_2020_200005_200175,1.0,7.0,1.0,4.0
11,Delray Beach,Delray Beach Open,2020-02-20,ATP250,Outdoor,Hard,2nd Round,3,Tiafoe F.,Paul T.,84.0,70.0,700.0,778.0,7.0,5.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.8,1.9,1.91,2.0,1.97,2.05,1.84,1.94,126205,126207,Delray Beach_2020_126207_126205,2.0,5.0,2.0,6.0
11,Delray Beach,Delray Beach Open,2020-02-20,ATP250,Outdoor,Hard,2nd Round,3,Johnson S.,Sock J.,76.0,,745.0,,6.0,4.0,5.0,7.0,6.0,1.0,,,,,2.0,1.0,Completed,1.36,3.0,1.43,3.1,1.43,3.15,1.39,2.96,106058,105449,Delray Beach_2020_105449_106058,2.0,3.0,1.0,1.0
12,Marseille,Open 13,2020-02-20,ATP250,Indoor,Hard,2nd Round,3,Simon G.,Bedene A.,58.0,47.0,890.0,1010.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.37,1.53,2.44,1.63,2.5,1.63,2.42,1.55,105379,104468,Marseille_2020_104468_105379,2.0,3.0,1.0,2.0
12,Marseille,Open 13,2020-02-20,ATP250,Indoor,Hard,2nd Round,3,Shapovalov D.,Cilic M.,15.0,39.0,2075.0,1205.0,6.0,4.0,4.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,1.72,2.0,1.83,2.09,1.94,2.09,1.82,1.97,105227,133430,Marseille_2020_133430_105227,0.0,0.0,1.0,0.0
12,Marseille,Open 13,2020-02-20,ATP250,Indoor,Hard,2nd Round,3,Medvedev D.,Sinner J.,5.0,68.0,5890.0,793.0,1.0,6.0,6.0,1.0,6.0,2.0,,,,,2.0,1.0,Completed,1.25,3.75,1.3,3.96,1.3,4.0,1.26,3.77,206173,106421,Marseille_2020_106421_206173,0.0,0.0,2.0,3.0
12,Marseille,Open 13,2020-02-20,ATP250,Indoor,Hard,2nd Round,3,Auger-Aliassime F.,Herbert P.H.,18.0,79.0,1921.0,715.0,6.0,0.0,6.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,1.9,1.8,2.02,1.89,2.05,1.95,1.97,1.82,105732,200000,Marseille_2020_200000_105732,1.0,3.0,2.0,3.0
12,Marseille,Open 13,2020-02-20,ATP250,Indoor,Hard,2nd Round,3,Gerasimov E.,Goffin D.,72.0,10.0,764.0,2600.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.62,1.44,2.95,1.46,2.95,1.5,2.74,1.44,105676,106078,Marseille_2020_106078_105676,2.0,4.0,0.0,0.0
13,Rio de Janeiro,Rio Open,2020-02-20,ATP500,Outdoor,Clay,2nd Round,3,Coria F.,Alcaraz C.,116.0,406.0,466.0,82.0,6.0,4.0,4.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.83,1.83,1.88,2.02,1.91,2.12,1.82,1.96,207989,105948,Rio de Janeiro_2020_105948_207989,1.0,-3.0,1.0,0.0
13,Rio de Janeiro,Rio Open,2020-02-20,ATP500,Outdoor,Clay,2nd Round,3,Mager G.,Domingues J.,128.0,169.0,413.0,292.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.4,2.75,1.47,2.91,1.49,2.91,1.44,2.75,106249,126149,Rio de Janeiro_2020_126149_106249,2.0,3.0,2.0,3.0
13,Rio de Janeiro,Rio Open,2020-02-20,ATP500,Outdoor,Clay,2nd Round,3,Sonego L.,Lajovic D.,52.0,23.0,960.0,1641.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.62,1.44,2.84,1.49,2.9,1.5,2.68,1.46,105583,132283,Rio de Janeiro_2020_132283_105583,1.0,5.0,1.0,6.0
13,Rio de Janeiro,Rio Open,2020-02-20,ATP500,Outdoor,Clay,2nd Round,3,Coric B.,Seyboth Wild T.,32.0,206.0,1320.0,235.0,6.0,3.0,1.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,1.36,3.0,1.34,3.6,1.4,3.6,1.34,3.23,205734,106432,Rio de Janeiro_2020_106432_205734,2.0,3.0,1.0,1.0
11,Delray Beach,Delray Beach Open,2020-02-21,ATP250,Outdoor,Hard,2nd Round,3,Raonic M.,Stebe C.M.,37.0,147.0,1260.0,370.0,7.0,5.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.12,6.0,1.14,6.89,1.14,6.89,1.12,6.16,105649,105683,Delray Beach_2020_105683_105649,2.0,8.0,1.0,5.0
13,Rio de Janeiro,Rio Open,2020-02-21,ATP500,Outdoor,Clay,2nd Round,3,Thiem D.,Munar J.,4.0,99.0,7045.0,593.0,6.0,7.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,1.18,4.5,1.17,5.92,1.2,5.92,1.17,4.99,144719,106233,Rio de Janeiro_2020_106233_144719,1.0,7.0,2.0,4.0
11,Delray Beach,Delray Beach Open,2020-02-21,ATP250,Outdoor,Hard,Quarterfinals,3,Humbert U.,Tiafoe F.,44.0,84.0,1086.0,700.0,6.0,1.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.8,2.0,1.87,2.06,1.87,2.06,1.82,1.98,126207,200005,Delray Beach_2020_200005_126207,3.0,10.0,4.0,8.0
11,Delray Beach,Delray Beach Open,2020-02-21,ATP250,Outdoor,Hard,Quarterfinals,3,Nishioka Y.,Nakashima B.,63.0,294.0,862.0,139.0,3.0,6.0,7.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.53,2.5,1.56,2.64,1.58,2.65,1.53,2.49,206909,106415,Delray Beach_2020_106415_206909,3.0,12.0,4.0,12.0
