,0
5000,"{'temperature_2m': 18.7, 'relative_humidity_2m': 91, 'windspeed_10m': 5.7, 'apparent_temperature': 20.5}"
5001,"{'temperature_2m': 20.2, 'relative_humidity_2m': 70, 'windspeed_10m': 12.8, 'apparent_temperature': 19.8}"
5002,"{'temperature_2m': 18.9, 'relative_humidity_2m': 78, 'windspeed_10m': 7.3, 'apparent_temperature': 19.4}"
5003,"{'temperature_2m': 18.6, 'relative_humidity_2m': 79, 'windspeed_10m': 6.7, 'apparent_temperature': 19.3}"
5004,"{'temperature_2m': 20.3, 'relative_humidity_2m': 70, 'windspeed_10m': 10.1, 'apparent_temperature': 20.3}"
5005,"{'temperature_2m': 21.5, 'relative_humidity_2m': 61, 'windspeed_10m': 13.5, 'apparent_temperature': 20.7}"
5006,"{'temperature_2m': 18.6, 'relative_humidity_2m': 78, 'windspeed_10m': 8.0, 'apparent_temperature': 18.9}"
5007,"{'temperature_2m': 22.1, 'relative_humidity_2m': 60, 'windspeed_10m': 13.3, 'apparent_temperature': 21.4}"
5008,"{'temperature_2m': 22.3, 'relative_humidity_2m': 60, 'windspeed_10m': 13.0, 'apparent_temperature': 21.7}"
5009,"{'temperature_2m': 22.3, 'relative_humidity_2m': 60, 'windspeed_10m': 13.0, 'apparent_temperature': 21.7}"
5010,"{'temperature_2m': 22.3, 'relative_humidity_2m': 60, 'windspeed_10m': 13.0, 'apparent_temperature': 21.7}"
5011,"{'temperature_2m': 22.1, 'relative_humidity_2m': 60, 'windspeed_10m': 13.3, 'apparent_temperature': 21.4}"
5012,"{'temperature_2m': 20.2, 'relative_humidity_2m': 84, 'windspeed_10m': 9.4, 'apparent_temperature': 21.5}"
5013,"{'temperature_2m': 20.5, 'relative_humidity_2m': 82, 'windspeed_10m': 9.6, 'apparent_temperature': 21.7}"
5014,"{'temperature_2m': 21.9, 'relative_humidity_2m': 81, 'windspeed_10m': 11.1, 'apparent_temperature': 23.3}"
5015,"{'temperature_2m': 20.8, 'relative_humidity_2m': 81, 'windspeed_10m': 10.0, 'apparent_temperature': 21.9}"
5016,"{'temperature_2m': 25.5, 'relative_humidity_2m': 68, 'windspeed_10m': 11.3, 'apparent_temperature': 27.3}"
5017,"{'temperature_2m': 26.3, 'relative_humidity_2m': 64, 'windspeed_10m': 9.8, 'apparent_temperature': 28.5}"
5018,"{'temperature_2m': 25.5, 'relative_humidity_2m': 68, 'windspeed_10m': 11.3, 'apparent_temperature': 27.3}"
5019,"{'temperature_2m': 26.3, 'relative_humidity_2m': 64, 'windspeed_10m': 9.8, 'apparent_temperature': 28.5}"
5020,"{'temperature_2m': 25.4, 'relative_humidity_2m': 73, 'windspeed_10m': 13.6, 'apparent_temperature': 27.4}"
5021,"{'temperature_2m': 23.2, 'relative_humidity_2m': 87, 'windspeed_10m': 18.4, 'apparent_temperature': 24.8}"
5022,"{'temperature_2m': 20.8, 'relative_humidity_2m': 93, 'windspeed_10m': 5.9, 'apparent_temperature': 23.6}"
5023,"{'temperature_2m': 20.6, 'relative_humidity_2m': 93, 'windspeed_10m': 5.0, 'apparent_temperature': 23.4}"
5024,"{'temperature_2m': 21.0, 'relative_humidity_2m': 78, 'windspeed_10m': 12.8, 'apparent_temperature': 21.6}"
5025,"{'temperature_2m': 20.2, 'relative_humidity_2m': 90, 'windspeed_10m': 9.5, 'apparent_temperature': 21.9}"
5026,"{'temperature_2m': 20.9, 'relative_humidity_2m': 84, 'windspeed_10m': 7.2, 'apparent_temperature': 22.8}"
5027,"{'temperature_2m': 6.3, 'relative_humidity_2m': 99, 'windspeed_10m': 8.7, 'apparent_temperature': 4.0}"
