,0
14000,"{'temperature_2m': 16.0, 'relative_humidity_2m': 72, 'windspeed_10m': 8.6, 'apparent_temperature': 15.1}"
14001,"{'temperature_2m': 17.9, 'relative_humidity_2m': 56, 'windspeed_10m': 12.6, 'apparent_temperature': 15.8}"
14002,"{'temperature_2m': 10.2, 'relative_humidity_2m': 90, 'windspeed_10m': 15.3, 'apparent_temperature': 7.7}"
14003,"{'temperature_2m': 9.0, 'relative_humidity_2m': 91, 'windspeed_10m': 13.6, 'apparent_temperature': 6.4}"
14004,"{'temperature_2m': 10.5, 'relative_humidity_2m': 92, 'windspeed_10m': 11.6, 'apparent_temperature': 8.7}"
14005,"{'temperature_2m': 10.5, 'relative_humidity_2m': 92, 'windspeed_10m': 11.6, 'apparent_temperature': 8.7}"
14006,"{'temperature_2m': 10.9, 'relative_humidity_2m': 93, 'windspeed_10m': 9.2, 'apparent_temperature': 9.6}"
14007,"{'temperature_2m': 12.2, 'relative_humidity_2m': 93, 'windspeed_10m': 11.6, 'apparent_temperature': 10.8}"
14008,"{'temperature_2m': 12.2, 'relative_humidity_2m': 93, 'windspeed_10m': 11.6, 'apparent_temperature': 10.8}"
14009,"{'temperature_2m': 12.9, 'relative_humidity_2m': 92, 'windspeed_10m': 10.4, 'apparent_temperature': 11.9}"
14010,"{'temperature_2m': 12.2, 'relative_humidity_2m': 92, 'windspeed_10m': 8.6, 'apparent_temperature': 11.3}"
14011,"{'temperature_2m': 12.9, 'relative_humidity_2m': 92, 'windspeed_10m': 10.0, 'apparent_temperature': 12.0}"
14012,"{'temperature_2m': 12.9, 'relative_humidity_2m': 92, 'windspeed_10m': 10.0, 'apparent_temperature': 12.0}"
14013,"{'temperature_2m': 12.9, 'relative_humidity_2m': 89, 'windspeed_10m': 7.8, 'apparent_temperature': 12.1}"
14014,"{'temperature_2m': 12.2, 'relative_humidity_2m': 92, 'windspeed_10m': 8.6, 'apparent_temperature': 11.3}"
14015,"{'temperature_2m': 12.2, 'relative_humidity_2m': 92, 'windspeed_10m': 8.6, 'apparent_temperature': 11.3}"
14016,"{'temperature_2m': 12.9, 'relative_humidity_2m': 92, 'windspeed_10m': 10.4, 'apparent_temperature': 11.9}"
14017,"{'temperature_2m': 14.0, 'relative_humidity_2m': 75, 'windspeed_10m': 20.9, 'apparent_temperature': 10.8}"
14018,"{'temperature_2m': 13.6, 'relative_humidity_2m': 79, 'windspeed_10m': 22.4, 'apparent_temperature': 10.3}"
14019,"{'temperature_2m': 13.7, 'relative_humidity_2m': 78, 'windspeed_10m': 17.7, 'apparent_temperature': 11.2}"
14020,"{'temperature_2m': 13.5, 'relative_humidity_2m': 80, 'windspeed_10m': 17.9, 'apparent_temperature': 11.0}"
14021,"{'temperature_2m': 13.5, 'relative_humidity_2m': 80, 'windspeed_10m': 17.9, 'apparent_temperature': 11.0}"
14022,"{'temperature_2m': 14.2, 'relative_humidity_2m': 76, 'windspeed_10m': 17.3, 'apparent_temperature': 11.7}"
14023,"{'temperature_2m': 15.0, 'relative_humidity_2m': 71, 'windspeed_10m': 16.8, 'apparent_temperature': 12.5}"
14024,"{'temperature_2m': 14.6, 'relative_humidity_2m': 75, 'windspeed_10m': 19.0, 'apparent_temperature': 12.0}"
14025,"{'temperature_2m': 14.6, 'relative_humidity_2m': 75, 'windspeed_10m': 19.0, 'apparent_temperature': 12.0}"
14026,"{'temperature_2m': 14.9, 'relative_humidity_2m': 71, 'windspeed_10m': 19.3, 'apparent_temperature': 12.1}"
14027,"{'temperature_2m': 12.3, 'relative_humidity_2m': 82, 'windspeed_10m': 19.6, 'apparent_temperature': 9.3}"
14028,"{'temperature_2m': 12.3, 'relative_humidity_2m': 82, 'windspeed_10m': 19.6, 'apparent_temperature': 9.3}"
14029,"{'temperature_2m': 12.3, 'relative_humidity_2m': 82, 'windspeed_10m': 19.6, 'apparent_temperature': 9.3}"
14030,"{'temperature_2m': 13.6, 'relative_humidity_2m': 78, 'windspeed_10m': 15.4, 'apparent_temperature': 11.3}"
14031,"{'temperature_2m': 13.1, 'relative_humidity_2m': 75, 'windspeed_10m': 21.0, 'apparent_temperature': 9.8}"
14032,"{'temperature_2m': 8.7, 'relative_humidity_2m': 91, 'windspeed_10m': 11.8, 'apparent_temperature': 6.3}"
14033,"{'temperature_2m': 11.7, 'relative_humidity_2m': 80, 'windspeed_10m': 30.1, 'apparent_temperature': 6.9}"
