,0
4500,"{'temperature_2m': 15.6, 'relative_humidity_2m': 100, 'windspeed_10m': 3.3, 'apparent_temperature': 17.1}"
4501,"{'temperature_2m': 29.8, 'relative_humidity_2m': 43, 'windspeed_10m': 12.2, 'apparent_temperature': 31.4}"
4502,"{'temperature_2m': 27.3, 'relative_humidity_2m': 77, 'windspeed_10m': 27.2, 'apparent_temperature': 28.7}"
4503,"{'temperature_2m': 29.3, 'relative_humidity_2m': 48, 'windspeed_10m': 13.2, 'apparent_temperature': 29.9}"
4504,"{'temperature_2m': 24.2, 'relative_humidity_2m': 86, 'windspeed_10m': 4.0, 'apparent_temperature': 28.4}"
4505,"{'temperature_2m': 25.8, 'relative_humidity_2m': 76, 'windspeed_10m': 8.7, 'apparent_temperature': 29.0}"
4506,"{'temperature_2m': 28.4, 'relative_humidity_2m': 67, 'windspeed_10m': 25.7, 'apparent_temperature': 29.4}"
4507,"{'temperature_2m': 24.9, 'relative_humidity_2m': 82, 'windspeed_10m': 2.2, 'apparent_temperature': 29.2}"
4508,"{'temperature_2m': 29.4, 'relative_humidity_2m': 59, 'windspeed_10m': 25.3, 'apparent_temperature': 29.8}"
4509,"{'temperature_2m': 28.0, 'relative_humidity_2m': 74, 'windspeed_10m': 22.3, 'apparent_temperature': 30.1}"
4510,"{'temperature_2m': 27.7, 'relative_humidity_2m': 71, 'windspeed_10m': 30.1, 'apparent_temperature': 28.3}"
4511,"{'temperature_2m': 16.5, 'relative_humidity_2m': 86, 'windspeed_10m': 4.2, 'apparent_temperature': 17.3}"
4512,"{'temperature_2m': 23.7, 'relative_humidity_2m': 90, 'windspeed_10m': 7.9, 'apparent_temperature': 27.4}"
4513,"{'temperature_2m': 23.6, 'relative_humidity_2m': 92, 'windspeed_10m': 7.2, 'apparent_temperature': 27.6}"
4514,"{'temperature_2m': 27.1, 'relative_humidity_2m': 81, 'windspeed_10m': 3.8, 'apparent_temperature': 32.3}"
4515,"{'temperature_2m': 24.4, 'relative_humidity_2m': 90, 'windspeed_10m': 6.5, 'apparent_temperature': 28.7}"
4516,"{'temperature_2m': 28.0, 'relative_humidity_2m': 71, 'windspeed_10m': 32.2, 'apparent_temperature': 28.4}"
4517,"{'temperature_2m': 33.0, 'relative_humidity_2m': 33, 'windspeed_10m': 4.0, 'apparent_temperature': 33.9}"
4518,"{'temperature_2m': 26.6, 'relative_humidity_2m': 38, 'windspeed_10m': 13.8, 'apparent_temperature': 24.8}"
4519,"{'temperature_2m': 22.3, 'relative_humidity_2m': 39, 'windspeed_10m': 18.2, 'apparent_temperature': 19.1}"
4520,"{'temperature_2m': 24.6, 'relative_humidity_2m': 39, 'windspeed_10m': 11.8, 'apparent_temperature': 24.6}"
4521,"{'temperature_2m': 22.9, 'relative_humidity_2m': 70, 'windspeed_10m': 7.3, 'apparent_temperature': 24.4}"
4522,"{'temperature_2m': 24.6, 'relative_humidity_2m': 39, 'windspeed_10m': 11.8, 'apparent_temperature': 24.6}"
4523,"{'temperature_2m': 26.4, 'relative_humidity_2m': 35, 'windspeed_10m': 15.4, 'apparent_temperature': 24.9}"
4524,"{'temperature_2m': 24.6, 'relative_humidity_2m': 39, 'windspeed_10m': 11.8, 'apparent_temperature': 24.6}"
4525,"{'temperature_2m': 26.0, 'relative_humidity_2m': 36, 'windspeed_10m': 14.4, 'apparent_temperature': 25.3}"
4526,"{'temperature_2m': 26.4, 'relative_humidity_2m': 35, 'windspeed_10m': 15.4, 'apparent_temperature': 24.9}"
4527,"{'temperature_2m': 24.6, 'relative_humidity_2m': 39, 'windspeed_10m': 11.8, 'apparent_temperature': 24.6}"
4528,"{'temperature_2m': 22.9, 'relative_humidity_2m': 70, 'windspeed_10m': 7.3, 'apparent_temperature': 24.4}"
4529,"{'temperature_2m': 26.5, 'relative_humidity_2m': 35, 'windspeed_10m': 14.9, 'apparent_temperature': 24.4}"
4530,"{'temperature_2m': 19.4, 'relative_humidity_2m': 60, 'windspeed_10m': 8.3, 'apparent_temperature': 18.6}"
4531,"{'temperature_2m': 27.2, 'relative_humidity_2m': 52, 'windspeed_10m': 8.5, 'apparent_temperature': 28.2}"
