,0
5549,"{'temperature_2m': 7.5, 'relative_humidity_2m': 89, 'windspeed_10m': 16.3, 'apparent_temperature': 4.1}"
5550,"{'temperature_2m': 7.5, 'relative_humidity_2m': 98, 'windspeed_10m': 7.5, 'apparent_temperature': 5.7}"
5551,"{'temperature_2m': 4.8, 'relative_humidity_2m': 68, 'windspeed_10m': 15.3, 'apparent_temperature': 0.4}"
5552,"{'temperature_2m': 6.4, 'relative_humidity_2m': 46, 'windspeed_10m': 9.0, 'apparent_temperature': 2.5}"
5553,"{'temperature_2m': 5.9, 'relative_humidity_2m': 61, 'windspeed_10m': 32.2, 'apparent_temperature': -1.1}"
5554,"{'temperature_2m': 6.6, 'relative_humidity_2m': 94, 'windspeed_10m': 11.5, 'apparent_temperature': 3.9}"
5555,"{'temperature_2m': 6.3, 'relative_humidity_2m': 95, 'windspeed_10m': 9.0, 'apparent_temperature': 3.9}"
5556,"{'temperature_2m': 8.7, 'relative_humidity_2m': 77, 'windspeed_10m': 24.4, 'apparent_temperature': 3.9}"
5557,"{'temperature_2m': 6.5, 'relative_humidity_2m': 96, 'windspeed_10m': 7.1, 'apparent_temperature': 4.4}"
5558,"{'temperature_2m': 8.0, 'relative_humidity_2m': 88, 'windspeed_10m': 25.0, 'apparent_temperature': 3.4}"
5559,"{'temperature_2m': 5.2, 'relative_humidity_2m': 89, 'windspeed_10m': 30.7, 'apparent_temperature': -0.8}"
5560,"{'temperature_2m': 6.3, 'relative_humidity_2m': 91, 'windspeed_10m': 18.1, 'apparent_temperature': 2.5}"
5561,"{'temperature_2m': 3.9, 'relative_humidity_2m': 75, 'windspeed_10m': 14.9, 'apparent_temperature': -0.4}"
5562,"{'temperature_2m': 27.7, 'relative_humidity_2m': 62, 'windspeed_10m': 20.2, 'apparent_temperature': 28.5}"
5563,"{'temperature_2m': 28.4, 'relative_humidity_2m': 57, 'windspeed_10m': 13.9, 'apparent_temperature': 30.8}"
5564,"{'temperature_2m': 4.9, 'relative_humidity_2m': 93, 'windspeed_10m': 4.8, 'apparent_temperature': 2.7}"
5565,"{'temperature_2m': 23.7, 'relative_humidity_2m': 78, 'windspeed_10m': 21.7, 'apparent_temperature': 24.2}"
5566,"{'temperature_2m': 23.2, 'relative_humidity_2m': 80, 'windspeed_10m': 14.8, 'apparent_temperature': 24.7}"
5567,"{'temperature_2m': 4.3, 'relative_humidity_2m': 73, 'windspeed_10m': 12.2, 'apparent_temperature': 0.4}"
5568,"{'temperature_2m': 29.3, 'relative_humidity_2m': 48, 'windspeed_10m': 16.3, 'apparent_temperature': 30.8}"
5569,"{'temperature_2m': -0.8, 'relative_humidity_2m': 39, 'windspeed_10m': 26.2, 'apparent_temperature': -7.8}"
