,0
3000,"{'temperature_2m': 20.4, 'relative_humidity_2m': 44, 'windspeed_10m': 18.4, 'apparent_temperature': 19.0}"
3001,"{'temperature_2m': 19.6, 'relative_humidity_2m': 60, 'windspeed_10m': 4.6, 'apparent_temperature': 19.5}"
3002,"{'temperature_2m': 21.8, 'relative_humidity_2m': 35, 'windspeed_10m': 9.2, 'apparent_temperature': 20.0}"
3003,"{'temperature_2m': 3.7, 'relative_humidity_2m': 90, 'windspeed_10m': 13.9, 'apparent_temperature': -0.1}"
3004,"{'temperature_2m': 4.3, 'relative_humidity_2m': 90, 'windspeed_10m': 12.1, 'apparent_temperature': 0.9}"
3005,"{'temperature_2m': 8.7, 'relative_humidity_2m': 73, 'windspeed_10m': 17.1, 'apparent_temperature': 4.8}"
3006,"{'temperature_2m': 4.1, 'relative_humidity_2m': 45, 'windspeed_10m': 30.3, 'apparent_temperature': -3.2}"
3007,"{'temperature_2m': 21.6, 'relative_humidity_2m': 39, 'windspeed_10m': 10.4, 'apparent_temperature': 21.6}"
3008,"{'temperature_2m': 4.7, 'relative_humidity_2m': 45, 'windspeed_10m': 31.7, 'apparent_temperature': -2.8}"
3009,"{'temperature_2m': 5.3, 'relative_humidity_2m': 77, 'windspeed_10m': 15.4, 'apparent_temperature': 1.2}"
3010,"{'temperature_2m': 8.7, 'relative_humidity_2m': 73, 'windspeed_10m': 17.1, 'apparent_temperature': 4.8}"
3011,"{'temperature_2m': 5.7, 'relative_humidity_2m': 43, 'windspeed_10m': 33.1, 'apparent_temperature': -2.0}"
3012,"{'temperature_2m': 5.7, 'relative_humidity_2m': 43, 'windspeed_10m': 33.1, 'apparent_temperature': -2.0}"
3013,"{'temperature_2m': 0.5, 'relative_humidity_2m': 96, 'windspeed_10m': 17.2, 'apparent_temperature': -4.1}"
3014,"{'temperature_2m': 0.3, 'relative_humidity_2m': 95, 'windspeed_10m': 19.7, 'apparent_temperature': -4.8}"
3015,"{'temperature_2m': 8.0, 'relative_humidity_2m': 77, 'windspeed_10m': 15.8, 'apparent_temperature': 4.3}"
3016,"{'temperature_2m': 5.3, 'relative_humidity_2m': 77, 'windspeed_10m': 15.4, 'apparent_temperature': 1.2}"
3017,"{'temperature_2m': 6.7, 'relative_humidity_2m': 46, 'windspeed_10m': 17.9, 'apparent_temperature': 1.5}"
3018,"{'temperature_2m': 6.8, 'relative_humidity_2m': 47, 'windspeed_10m': 14.7, 'apparent_temperature': 2.0}"
3019,"{'temperature_2m': 4.5, 'relative_humidity_2m': 83, 'windspeed_10m': 9.9, 'apparent_temperature': 1.2}"
3020,"{'temperature_2m': 4.9, 'relative_humidity_2m': 84, 'windspeed_10m': 8.9, 'apparent_temperature': 1.8}"
