,0
9500,"{'temperature_2m': 22.8, 'relative_humidity_2m': 67, 'windspeed_10m': 23.9, 'apparent_temperature': 21.5}"
9501,"{'temperature_2m': 24.8, 'relative_humidity_2m': 65, 'windspeed_10m': 23.5, 'apparent_temperature': 24.2}"
9502,"{'temperature_2m': 26.8, 'relative_humidity_2m': 69, 'windspeed_10m': 24.7, 'apparent_temperature': 27.5}"
9503,"{'temperature_2m': 27.2, 'relative_humidity_2m': 67, 'windspeed_10m': 25.4, 'apparent_temperature': 27.8}"
9504,"{'temperature_2m': 28.5, 'relative_humidity_2m': 60, 'windspeed_10m': 25.6, 'apparent_temperature': 29.9}"
9505,"{'temperature_2m': 27.2, 'relative_humidity_2m': 67, 'windspeed_10m': 25.4, 'apparent_temperature': 27.8}"
9506,"{'temperature_2m': 28.2, 'relative_humidity_2m': 60, 'windspeed_10m': 22.3, 'apparent_temperature': 30.1}"
9507,"{'temperature_2m': 26.7, 'relative_humidity_2m': 67, 'windspeed_10m': 21.0, 'apparent_temperature': 27.6}"
9508,"{'temperature_2m': 26.7, 'relative_humidity_2m': 67, 'windspeed_10m': 21.0, 'apparent_temperature': 27.6}"
9509,"{'temperature_2m': 26.7, 'relative_humidity_2m': 67, 'windspeed_10m': 21.0, 'apparent_temperature': 27.6}"
9510,"{'temperature_2m': 28.4, 'relative_humidity_2m': 59, 'windspeed_10m': 22.8, 'apparent_temperature': 30.2}"
9511,"{'temperature_2m': 28.4, 'relative_humidity_2m': 59, 'windspeed_10m': 22.8, 'apparent_temperature': 30.2}"
9512,"{'temperature_2m': 28.0, 'relative_humidity_2m': 69, 'windspeed_10m': 26.7, 'apparent_temperature': 29.4}"
9513,"{'temperature_2m': 28.0, 'relative_humidity_2m': 69, 'windspeed_10m': 26.7, 'apparent_temperature': 29.4}"
9514,"{'temperature_2m': 26.1, 'relative_humidity_2m': 75, 'windspeed_10m': 21.9, 'apparent_temperature': 27.4}"
9515,"{'temperature_2m': 26.1, 'relative_humidity_2m': 75, 'windspeed_10m': 21.9, 'apparent_temperature': 27.4}"
9516,"{'temperature_2m': 26.1, 'relative_humidity_2m': 75, 'windspeed_10m': 21.9, 'apparent_temperature': 27.4}"
9517,"{'temperature_2m': 27.4, 'relative_humidity_2m': 70, 'windspeed_10m': 24.5, 'apparent_temperature': 28.6}"
