,0
10000,"{'temperature_2m': 23.1, 'relative_humidity_2m': 49, 'windspeed_10m': 14.0, 'apparent_temperature': 21.6}"
10001,"{'temperature_2m': 23.1, 'relative_humidity_2m': 49, 'windspeed_10m': 14.0, 'apparent_temperature': 21.6}"
10002,"{'temperature_2m': 23.5, 'relative_humidity_2m': 49, 'windspeed_10m': 16.9, 'apparent_temperature': 21.8}"
10003,"{'temperature_2m': 23.1, 'relative_humidity_2m': 49, 'windspeed_10m': 14.0, 'apparent_temperature': 21.6}"
10004,"{'temperature_2m': 22.9, 'relative_humidity_2m': 53, 'windspeed_10m': 15.4, 'apparent_temperature': 21.6}"
10005,"{'temperature_2m': 22.9, 'relative_humidity_2m': 53, 'windspeed_10m': 15.4, 'apparent_temperature': 21.6}"
10006,"{'temperature_2m': 22.2, 'relative_humidity_2m': 57, 'windspeed_10m': 11.3, 'apparent_temperature': 21.6}"
10007,"{'temperature_2m': 20.6, 'relative_humidity_2m': 61, 'windspeed_10m': 11.8, 'apparent_temperature': 19.8}"
10008,"{'temperature_2m': 23.5, 'relative_humidity_2m': 49, 'windspeed_10m': 16.9, 'apparent_temperature': 21.8}"
10009,"{'temperature_2m': 23.0, 'relative_humidity_2m': 51, 'windspeed_10m': 1.9, 'apparent_temperature': 24.7}"
10010,"{'temperature_2m': 21.8, 'relative_humidity_2m': 54, 'windspeed_10m': 13.4, 'apparent_temperature': 20.5}"
10011,"{'temperature_2m': 20.3, 'relative_humidity_2m': 67, 'windspeed_10m': 6.3, 'apparent_temperature': 20.7}"
10012,"{'temperature_2m': 23.0, 'relative_humidity_2m': 49, 'windspeed_10m': 3.8, 'apparent_temperature': 23.0}"
10013,"{'temperature_2m': 21.8, 'relative_humidity_2m': 54, 'windspeed_10m': 13.4, 'apparent_temperature': 20.5}"
10014,"{'temperature_2m': 23.0, 'relative_humidity_2m': 51, 'windspeed_10m': 1.9, 'apparent_temperature': 24.7}"
10015,"{'temperature_2m': 21.8, 'relative_humidity_2m': 54, 'windspeed_10m': 13.4, 'apparent_temperature': 20.5}"
10016,"{'temperature_2m': 21.8, 'relative_humidity_2m': 54, 'windspeed_10m': 13.4, 'apparent_temperature': 20.5}"
10017,"{'temperature_2m': 20.6, 'relative_humidity_2m': 61, 'windspeed_10m': 11.8, 'apparent_temperature': 19.8}"
10018,"{'temperature_2m': 21.8, 'relative_humidity_2m': 54, 'windspeed_10m': 13.4, 'apparent_temperature': 20.5}"
10019,"{'temperature_2m': 17.5, 'relative_humidity_2m': 76, 'windspeed_10m': 19.7, 'apparent_temperature': 15.6}"
10020,"{'temperature_2m': 17.4, 'relative_humidity_2m': 73, 'windspeed_10m': 17.7, 'apparent_temperature': 15.6}"
10021,"{'temperature_2m': 17.4, 'relative_humidity_2m': 73, 'windspeed_10m': 17.7, 'apparent_temperature': 15.6}"
10022,"{'temperature_2m': 14.7, 'relative_humidity_2m': 88, 'windspeed_10m': 10.1, 'apparent_temperature': 14.1}"
10023,"{'temperature_2m': 16.7, 'relative_humidity_2m': 73, 'windspeed_10m': 13.4, 'apparent_temperature': 15.4}"
10024,"{'temperature_2m': 16.7, 'relative_humidity_2m': 73, 'windspeed_10m': 13.4, 'apparent_temperature': 15.4}"
10025,"{'temperature_2m': 16.7, 'relative_humidity_2m': 73, 'windspeed_10m': 13.4, 'apparent_temperature': 15.4}"
10026,"{'temperature_2m': 16.3, 'relative_humidity_2m': 78, 'windspeed_10m': 19.8, 'apparent_temperature': 14.3}"
10027,"{'temperature_2m': 17.5, 'relative_humidity_2m': 76, 'windspeed_10m': 19.7, 'apparent_temperature': 15.6}"
10028,"{'temperature_2m': 17.0, 'relative_humidity_2m': 84, 'windspeed_10m': 20.7, 'apparent_temperature': 15.5}"
10029,"{'temperature_2m': 17.0, 'relative_humidity_2m': 84, 'windspeed_10m': 20.7, 'apparent_temperature': 15.5}"
10030,"{'temperature_2m': 17.0, 'relative_humidity_2m': 84, 'windspeed_10m': 20.7, 'apparent_temperature': 15.5}"
10031,"{'temperature_2m': 19.1, 'relative_humidity_2m': 82, 'windspeed_10m': 15.3, 'apparent_temperature': 18.9}"
10032,"{'temperature_2m': 19.1, 'relative_humidity_2m': 82, 'windspeed_10m': 15.3, 'apparent_temperature': 18.9}"
10033,"{'temperature_2m': 17.5, 'relative_humidity_2m': 76, 'windspeed_10m': 19.7, 'apparent_temperature': 15.6}"
10034,"{'temperature_2m': 19.1, 'relative_humidity_2m': 82, 'windspeed_10m': 15.3, 'apparent_temperature': 18.9}"
10035,"{'temperature_2m': 16.3, 'relative_humidity_2m': 78, 'windspeed_10m': 19.8, 'apparent_temperature': 14.3}"
10036,"{'temperature_2m': 16.2, 'relative_humidity_2m': 65, 'windspeed_10m': 10.5, 'apparent_temperature': 14.6}"
10037,"{'temperature_2m': 16.9, 'relative_humidity_2m': 56, 'windspeed_10m': 14.4, 'apparent_temperature': 14.3}"
10038,"{'temperature_2m': 16.9, 'relative_humidity_2m': 56, 'windspeed_10m': 14.4, 'apparent_temperature': 14.3}"
