,0
3500,"{'temperature_2m': 14.7, 'relative_humidity_2m': 67, 'windspeed_10m': 9.3, 'apparent_temperature': 12.9}"
3501,"{'temperature_2m': 15.4, 'relative_humidity_2m': 59, 'windspeed_10m': 10.2, 'apparent_temperature': 13.3}"
3502,"{'temperature_2m': 15.2, 'relative_humidity_2m': 60, 'windspeed_10m': 9.7, 'apparent_temperature': 13.1}"
3503,"{'temperature_2m': 15.7, 'relative_humidity_2m': 55, 'windspeed_10m': 6.0, 'apparent_temperature': 14.0}"
3504,"{'temperature_2m': 15.0, 'relative_humidity_2m': 62, 'windspeed_10m': 7.9, 'apparent_temperature': 13.3}"
3505,"{'temperature_2m': 15.2, 'relative_humidity_2m': 60, 'windspeed_10m': 9.7, 'apparent_temperature': 13.1}"
3506,"{'temperature_2m': 15.0, 'relative_humidity_2m': 62, 'windspeed_10m': 7.9, 'apparent_temperature': 13.3}"
3507,"{'temperature_2m': 15.0, 'relative_humidity_2m': 62, 'windspeed_10m': 7.9, 'apparent_temperature': 13.3}"
3508,"{'temperature_2m': 15.0, 'relative_humidity_2m': 62, 'windspeed_10m': 7.9, 'apparent_temperature': 13.3}"
3509,"{'temperature_2m': 16.3, 'relative_humidity_2m': 65, 'windspeed_10m': 5.1, 'apparent_temperature': 17.1}"
3510,"{'temperature_2m': 15.8, 'relative_humidity_2m': 73, 'windspeed_10m': 6.9, 'apparent_temperature': 15.1}"
3511,"{'temperature_2m': 15.8, 'relative_humidity_2m': 73, 'windspeed_10m': 6.9, 'apparent_temperature': 15.1}"
3512,"{'temperature_2m': 17.0, 'relative_humidity_2m': 67, 'windspeed_10m': 6.8, 'apparent_temperature': 17.1}"
3513,"{'temperature_2m': 17.0, 'relative_humidity_2m': 67, 'windspeed_10m': 6.8, 'apparent_temperature': 17.1}"
3514,"{'temperature_2m': 16.3, 'relative_humidity_2m': 65, 'windspeed_10m': 5.1, 'apparent_temperature': 17.1}"
3515,"{'temperature_2m': 16.1, 'relative_humidity_2m': 66, 'windspeed_10m': 6.2, 'apparent_temperature': 16.3}"
3516,"{'temperature_2m': 16.1, 'relative_humidity_2m': 66, 'windspeed_10m': 6.2, 'apparent_temperature': 16.3}"
3517,"{'temperature_2m': 16.1, 'relative_humidity_2m': 66, 'windspeed_10m': 6.2, 'apparent_temperature': 16.3}"
3518,"{'temperature_2m': 16.3, 'relative_humidity_2m': 65, 'windspeed_10m': 5.1, 'apparent_temperature': 17.1}"
3519,"{'temperature_2m': 16.3, 'relative_humidity_2m': 65, 'windspeed_10m': 5.1, 'apparent_temperature': 17.1}"
3520,"{'temperature_2m': 19.6, 'relative_humidity_2m': 33, 'windspeed_10m': 17.8, 'apparent_temperature': 15.4}"
3521,"{'temperature_2m': 19.8, 'relative_humidity_2m': 32, 'windspeed_10m': 21.6, 'apparent_temperature': 15.0}"
3522,"{'temperature_2m': 19.6, 'relative_humidity_2m': 33, 'windspeed_10m': 17.8, 'apparent_temperature': 15.4}"
3523,"{'temperature_2m': 19.9, 'relative_humidity_2m': 31, 'windspeed_10m': 23.8, 'apparent_temperature': 15.6}"
3524,"{'temperature_2m': 19.4, 'relative_humidity_2m': 34, 'windspeed_10m': 25.2, 'apparent_temperature': 15.5}"
3525,"{'temperature_2m': 18.3, 'relative_humidity_2m': 49, 'windspeed_10m': 23.3, 'apparent_temperature': 15.0}"
3526,"{'temperature_2m': 18.3, 'relative_humidity_2m': 49, 'windspeed_10m': 23.3, 'apparent_temperature': 15.0}"
3527,"{'temperature_2m': 19.7, 'relative_humidity_2m': 32, 'windspeed_10m': 24.5, 'apparent_temperature': 15.8}"
3528,"{'temperature_2m': 19.8, 'relative_humidity_2m': 34, 'windspeed_10m': 25.6, 'apparent_temperature': 15.3}"
3529,"{'temperature_2m': 20.0, 'relative_humidity_2m': 37, 'windspeed_10m': 27.0, 'apparent_temperature': 16.0}"
3530,"{'temperature_2m': 18.4, 'relative_humidity_2m': 46, 'windspeed_10m': 18.9, 'apparent_temperature': 15.0}"
3531,"{'temperature_2m': 16.5, 'relative_humidity_2m': 56, 'windspeed_10m': 7.8, 'apparent_temperature': 14.8}"
3532,"{'temperature_2m': 19.7, 'relative_humidity_2m': 38, 'windspeed_10m': 22.5, 'apparent_temperature': 15.2}"
3533,"{'temperature_2m': 20.8, 'relative_humidity_2m': 33, 'windspeed_10m': 27.0, 'apparent_temperature': 16.7}"
3534,"{'temperature_2m': 21.1, 'relative_humidity_2m': 39, 'windspeed_10m': 28.1, 'apparent_temperature': 16.3}"
3535,"{'temperature_2m': 18.2, 'relative_humidity_2m': 59, 'windspeed_10m': 23.2, 'apparent_temperature': 14.9}"
3536,"{'temperature_2m': 16.8, 'relative_humidity_2m': 67, 'windspeed_10m': 18.8, 'apparent_temperature': 14.2}"
3537,"{'temperature_2m': 14.2, 'relative_humidity_2m': 61, 'windspeed_10m': 27.5, 'apparent_temperature': 9.4}"
3538,"{'temperature_2m': 17.4, 'relative_humidity_2m': 66, 'windspeed_10m': 20.6, 'apparent_temperature': 14.7}"
3539,"{'temperature_2m': 17.1, 'relative_humidity_2m': 38, 'windspeed_10m': 22.1, 'apparent_temperature': 12.2}"
3540,"{'temperature_2m': 21.3, 'relative_humidity_2m': 25, 'windspeed_10m': 4.2, 'apparent_temperature': 19.7}"
3541,"{'temperature_2m': 17.1, 'relative_humidity_2m': 39, 'windspeed_10m': 20.6, 'apparent_temperature': 12.5}"
3542,"{'temperature_2m': 18.4, 'relative_humidity_2m': 63, 'windspeed_10m': 25.6, 'apparent_temperature': 15.1}"
3543,"{'temperature_2m': 18.4, 'relative_humidity_2m': 63, 'windspeed_10m': 25.6, 'apparent_temperature': 15.1}"
3544,"{'temperature_2m': 16.9, 'relative_humidity_2m': 69, 'windspeed_10m': 26.6, 'apparent_temperature': 13.4}"
3545,"{'temperature_2m': 16.9, 'relative_humidity_2m': 69, 'windspeed_10m': 26.6, 'apparent_temperature': 13.4}"
3546,"{'temperature_2m': 16.9, 'relative_humidity_2m': 69, 'windspeed_10m': 26.6, 'apparent_temperature': 13.4}"
3547,"{'temperature_2m': 18.2, 'relative_humidity_2m': 59, 'windspeed_10m': 23.2, 'apparent_temperature': 14.9}"
3548,"{'temperature_2m': 18.4, 'relative_humidity_2m': 61, 'windspeed_10m': 25.3, 'apparent_temperature': 15.0}"
3549,"{'temperature_2m': 18.5, 'relative_humidity_2m': 65, 'windspeed_10m': 11.7, 'apparent_temperature': 17.3}"
3550,"{'temperature_2m': 12.3, 'relative_humidity_2m': 69, 'windspeed_10m': 29.5, 'apparent_temperature': 7.2}"
3551,"{'temperature_2m': 13.2, 'relative_humidity_2m': 92, 'windspeed_10m': 6.4, 'apparent_temperature': 12.9}"
3552,"{'temperature_2m': 16.2, 'relative_humidity_2m': 77, 'windspeed_10m': 13.6, 'apparent_temperature': 14.9}"
3553,"{'temperature_2m': 16.2, 'relative_humidity_2m': 77, 'windspeed_10m': 13.6, 'apparent_temperature': 14.9}"
3554,"{'temperature_2m': 17.4, 'relative_humidity_2m': 73, 'windspeed_10m': 14.5, 'apparent_temperature': 16.7}"
3555,"{'temperature_2m': 17.4, 'relative_humidity_2m': 73, 'windspeed_10m': 14.5, 'apparent_temperature': 16.7}"
3556,"{'temperature_2m': 11.7, 'relative_humidity_2m': 79, 'windspeed_10m': 22.7, 'apparent_temperature': 7.9}"
3557,"{'temperature_2m': 12.3, 'relative_humidity_2m': 69, 'windspeed_10m': 29.5, 'apparent_temperature': 7.2}"
3558,"{'temperature_2m': 12.8, 'relative_humidity_2m': 52, 'windspeed_10m': 26.5, 'apparent_temperature': 7.3}"
3559,"{'temperature_2m': 18.2, 'relative_humidity_2m': 68, 'windspeed_10m': 15.0, 'apparent_temperature': 17.9}"
3560,"{'temperature_2m': 18.2, 'relative_humidity_2m': 68, 'windspeed_10m': 15.0, 'apparent_temperature': 17.9}"
3561,"{'temperature_2m': 18.5, 'relative_humidity_2m': 67, 'windspeed_10m': 14.1, 'apparent_temperature': 18.6}"
3562,"{'temperature_2m': 18.5, 'relative_humidity_2m': 65, 'windspeed_10m': 11.7, 'apparent_temperature': 17.3}"
3563,"{'temperature_2m': 18.5, 'relative_humidity_2m': 65, 'windspeed_10m': 11.7, 'apparent_temperature': 17.3}"
3564,"{'temperature_2m': 12.8, 'relative_humidity_2m': 52, 'windspeed_10m': 26.5, 'apparent_temperature': 7.3}"
3565,"{'temperature_2m': 16.9, 'relative_humidity_2m': 75, 'windspeed_10m': 13.3, 'apparent_temperature': 15.8}"
3566,"{'temperature_2m': 12.8, 'relative_humidity_2m': 52, 'windspeed_10m': 26.5, 'apparent_temperature': 7.3}"
3567,"{'temperature_2m': 22.4, 'relative_humidity_2m': 45, 'windspeed_10m': 12.6, 'apparent_temperature': 20.7}"
3568,"{'temperature_2m': 16.2, 'relative_humidity_2m': 58, 'windspeed_10m': 25.6, 'apparent_temperature': 13.6}"
3569,"{'temperature_2m': 16.2, 'relative_humidity_2m': 50, 'windspeed_10m': 27.3, 'apparent_temperature': 11.7}"
3570,"{'temperature_2m': 22.8, 'relative_humidity_2m': 42, 'windspeed_10m': 14.4, 'apparent_temperature': 20.5}"
3571,"{'temperature_2m': 14.1, 'relative_humidity_2m': 80, 'windspeed_10m': 15.7, 'apparent_temperature': 12.0}"
3572,"{'temperature_2m': 15.5, 'relative_humidity_2m': 57, 'windspeed_10m': 18.7, 'apparent_temperature': 12.0}"
3573,"{'temperature_2m': 15.5, 'relative_humidity_2m': 57, 'windspeed_10m': 18.7, 'apparent_temperature': 12.0}"
3574,"{'temperature_2m': 16.3, 'relative_humidity_2m': 48, 'windspeed_10m': 21.3, 'apparent_temperature': 12.8}"
3575,"{'temperature_2m': 19.3, 'relative_humidity_2m': 51, 'windspeed_10m': 17.5, 'apparent_temperature': 17.6}"
3576,"{'temperature_2m': 16.2, 'relative_humidity_2m': 58, 'windspeed_10m': 25.6, 'apparent_temperature': 13.6}"
3577,"{'temperature_2m': 16.3, 'relative_humidity_2m': 48, 'windspeed_10m': 21.3, 'apparent_temperature': 12.8}"
3578,"{'temperature_2m': 16.2, 'relative_humidity_2m': 58, 'windspeed_10m': 25.6, 'apparent_temperature': 13.6}"
3579,"{'temperature_2m': 16.1, 'relative_humidity_2m': 53, 'windspeed_10m': 26.4, 'apparent_temperature': 12.6}"
3580,"{'temperature_2m': 19.1, 'relative_humidity_2m': 60, 'windspeed_10m': 7.1, 'apparent_temperature': 18.5}"
3581,"{'temperature_2m': 17.6, 'relative_humidity_2m': 74, 'windspeed_10m': 10.1, 'apparent_temperature': 17.3}"
3582,"{'temperature_2m': 17.1, 'relative_humidity_2m': 73, 'windspeed_10m': 12.6, 'apparent_temperature': 16.0}"
3583,"{'temperature_2m': 16.5, 'relative_humidity_2m': 82, 'windspeed_10m': 12.2, 'apparent_temperature': 15.9}"
3584,"{'temperature_2m': 16.8, 'relative_humidity_2m': 67, 'windspeed_10m': 13.4, 'apparent_temperature': 15.1}"
3585,"{'temperature_2m': 14.8, 'relative_humidity_2m': 70, 'windspeed_10m': 12.6, 'apparent_temperature': 12.8}"
3586,"{'temperature_2m': 16.4, 'relative_humidity_2m': 71, 'windspeed_10m': 12.1, 'apparent_temperature': 15.0}"
3587,"{'temperature_2m': 16.6, 'relative_humidity_2m': 76, 'windspeed_10m': 6.5, 'apparent_temperature': 16.4}"
3588,"{'temperature_2m': 20.7, 'relative_humidity_2m': 47, 'windspeed_10m': 16.0, 'apparent_temperature': 18.2}"
3589,"{'temperature_2m': 25.0, 'relative_humidity_2m': 30, 'windspeed_10m': 22.9, 'apparent_temperature': 21.8}"
3590,"{'temperature_2m': 16.5, 'relative_humidity_2m': 82, 'windspeed_10m': 12.2, 'apparent_temperature': 15.9}"
3591,"{'temperature_2m': 22.8, 'relative_humidity_2m': 43, 'windspeed_10m': 21.1, 'apparent_temperature': 20.2}"
3592,"{'temperature_2m': 25.0, 'relative_humidity_2m': 31, 'windspeed_10m': 22.1, 'apparent_temperature': 21.0}"
3593,"{'temperature_2m': 25.0, 'relative_humidity_2m': 30, 'windspeed_10m': 22.9, 'apparent_temperature': 21.8}"
3594,"{'temperature_2m': 25.5, 'relative_humidity_2m': 28, 'windspeed_10m': 22.7, 'apparent_temperature': 21.5}"
3595,"{'temperature_2m': 28.0, 'relative_humidity_2m': 29, 'windspeed_10m': 18.7, 'apparent_temperature': 25.6}"
3596,"{'temperature_2m': 24.0, 'relative_humidity_2m': 40, 'windspeed_10m': 7.2, 'apparent_temperature': 22.9}"
3597,"{'temperature_2m': 27.9, 'relative_humidity_2m': 27, 'windspeed_10m': 19.5, 'apparent_temperature': 24.4}"
3598,"{'temperature_2m': 26.1, 'relative_humidity_2m': 34, 'windspeed_10m': 20.3, 'apparent_temperature': 24.1}"
3599,"{'temperature_2m': 21.0, 'relative_humidity_2m': 32, 'windspeed_10m': 22.5, 'apparent_temperature': 17.9}"
3600,"{'temperature_2m': 21.9, 'relative_humidity_2m': 29, 'windspeed_10m': 14.8, 'apparent_temperature': 18.2}"
3601,"{'temperature_2m': 22.3, 'relative_humidity_2m': 29, 'windspeed_10m': 20.0, 'apparent_temperature': 19.5}"
3602,"{'temperature_2m': 17.5, 'relative_humidity_2m': 48, 'windspeed_10m': 9.2, 'apparent_temperature': 15.3}"
3603,"{'temperature_2m': 19.0, 'relative_humidity_2m': 57, 'windspeed_10m': 13.6, 'apparent_temperature': 18.8}"
3604,"{'temperature_2m': 18.3, 'relative_humidity_2m': 52, 'windspeed_10m': 10.2, 'apparent_temperature': 16.4}"
3605,"{'temperature_2m': 17.2, 'relative_humidity_2m': 51, 'windspeed_10m': 15.8, 'apparent_temperature': 14.2}"
3606,"{'temperature_2m': 16.5, 'relative_humidity_2m': 50, 'windspeed_10m': 19.1, 'apparent_temperature': 12.8}"
3607,"{'temperature_2m': 15.7, 'relative_humidity_2m': 67, 'windspeed_10m': 16.3, 'apparent_temperature': 13.2}"
3608,"{'temperature_2m': 13.7, 'relative_humidity_2m': 67, 'windspeed_10m': 21.6, 'apparent_temperature': 10.0}"
3609,"{'temperature_2m': 18.2, 'relative_humidity_2m': 65, 'windspeed_10m': 24.3, 'apparent_temperature': 15.1}"
3610,"{'temperature_2m': 9.7, 'relative_humidity_2m': 71, 'windspeed_10m': 10.7, 'apparent_temperature': 6.8}"
3611,"{'temperature_2m': 7.6, 'relative_humidity_2m': 83, 'windspeed_10m': 17.0, 'apparent_temperature': 3.9}"
3612,"{'temperature_2m': 20.3, 'relative_humidity_2m': 62, 'windspeed_10m': 22.5, 'apparent_temperature': 19.3}"
3613,"{'temperature_2m': 23.4, 'relative_humidity_2m': 56, 'windspeed_10m': 12.2, 'apparent_temperature': 24.9}"
3614,"{'temperature_2m': 22.9, 'relative_humidity_2m': 60, 'windspeed_10m': 16.6, 'apparent_temperature': 24.0}"
3615,"{'temperature_2m': 11.5, 'relative_humidity_2m': 60, 'windspeed_10m': 18.4, 'apparent_temperature': 7.6}"
3616,"{'temperature_2m': 12.6, 'relative_humidity_2m': 57, 'windspeed_10m': 16.9, 'apparent_temperature': 8.8}"
3617,"{'temperature_2m': 12.3, 'relative_humidity_2m': 61, 'windspeed_10m': 15.4, 'apparent_temperature': 8.8}"
3618,"{'temperature_2m': 12.6, 'relative_humidity_2m': 57, 'windspeed_10m': 16.9, 'apparent_temperature': 8.8}"
3619,"{'temperature_2m': 12.6, 'relative_humidity_2m': 57, 'windspeed_10m': 16.9, 'apparent_temperature': 8.8}"
3620,"{'temperature_2m': 12.4, 'relative_humidity_2m': 56, 'windspeed_10m': 16.2, 'apparent_temperature': 8.6}"
3621,"{'temperature_2m': 11.1, 'relative_humidity_2m': 64, 'windspeed_10m': 15.6, 'apparent_temperature': 8.3}"
3622,"{'temperature_2m': 11.1, 'relative_humidity_2m': 64, 'windspeed_10m': 15.6, 'apparent_temperature': 8.3}"
3623,"{'temperature_2m': 12.3, 'relative_humidity_2m': 61, 'windspeed_10m': 15.4, 'apparent_temperature': 8.8}"
3624,"{'temperature_2m': 11.5, 'relative_humidity_2m': 60, 'windspeed_10m': 18.4, 'apparent_temperature': 7.6}"
3625,"{'temperature_2m': 18.6, 'relative_humidity_2m': 63, 'windspeed_10m': 26.8, 'apparent_temperature': 15.7}"
3626,"{'temperature_2m': 19.1, 'relative_humidity_2m': 64, 'windspeed_10m': 26.6, 'apparent_temperature': 17.1}"
3627,"{'temperature_2m': 19.6, 'relative_humidity_2m': 65, 'windspeed_10m': 24.2, 'apparent_temperature': 18.6}"
3628,"{'temperature_2m': 19.8, 'relative_humidity_2m': 66, 'windspeed_10m': 21.5, 'apparent_temperature': 19.4}"
3629,"{'temperature_2m': 19.9, 'relative_humidity_2m': 66, 'windspeed_10m': 18.3, 'apparent_temperature': 20.0}"
3630,"{'temperature_2m': 19.9, 'relative_humidity_2m': 66, 'windspeed_10m': 18.3, 'apparent_temperature': 20.0}"
3631,"{'temperature_2m': 18.6, 'relative_humidity_2m': 63, 'windspeed_10m': 26.8, 'apparent_temperature': 15.7}"
3632,"{'temperature_2m': 16.5, 'relative_humidity_2m': 74, 'windspeed_10m': 26.1, 'apparent_temperature': 13.2}"
3633,"{'temperature_2m': 15.3, 'relative_humidity_2m': 38, 'windspeed_10m': 8.2, 'apparent_temperature': 13.3}"
