,0
13000,"{'temperature_2m': 19.2, 'relative_humidity_2m': 48, 'windspeed_10m': 22.3, 'apparent_temperature': 15.4}"
13001,"{'temperature_2m': 17.8, 'relative_humidity_2m': 55, 'windspeed_10m': 15.6, 'apparent_temperature': 15.2}"
13002,"{'temperature_2m': 17.8, 'relative_humidity_2m': 55, 'windspeed_10m': 15.6, 'apparent_temperature': 15.2}"
13003,"{'temperature_2m': 19.4, 'relative_humidity_2m': 47, 'windspeed_10m': 23.8, 'apparent_temperature': 15.3}"
13004,"{'temperature_2m': 19.2, 'relative_humidity_2m': 48, 'windspeed_10m': 22.3, 'apparent_temperature': 15.4}"
13005,"{'temperature_2m': 18.7, 'relative_humidity_2m': 50, 'windspeed_10m': 19.5, 'apparent_temperature': 15.4}"
13006,"{'temperature_2m': 18.7, 'relative_humidity_2m': 50, 'windspeed_10m': 19.5, 'apparent_temperature': 15.4}"
13007,"{'temperature_2m': 18.7, 'relative_humidity_2m': 50, 'windspeed_10m': 19.5, 'apparent_temperature': 15.4}"
13008,"{'temperature_2m': 19.2, 'relative_humidity_2m': 48, 'windspeed_10m': 22.3, 'apparent_temperature': 15.4}"
13009,"{'temperature_2m': 18.7, 'relative_humidity_2m': 50, 'windspeed_10m': 19.5, 'apparent_temperature': 15.4}"
13010,"{'temperature_2m': 19.2, 'relative_humidity_2m': 48, 'windspeed_10m': 22.3, 'apparent_temperature': 15.4}"
13011,"{'temperature_2m': 17.8, 'relative_humidity_2m': 55, 'windspeed_10m': 15.6, 'apparent_temperature': 15.2}"
13012,"{'temperature_2m': 18.5, 'relative_humidity_2m': 57, 'windspeed_10m': 19.8, 'apparent_temperature': 15.6}"
13013,"{'temperature_2m': 19.4, 'relative_humidity_2m': 47, 'windspeed_10m': 23.8, 'apparent_temperature': 15.3}"
13014,"{'temperature_2m': 18.5, 'relative_humidity_2m': 57, 'windspeed_10m': 19.8, 'apparent_temperature': 15.6}"
13015,"{'temperature_2m': 19.4, 'relative_humidity_2m': 47, 'windspeed_10m': 23.8, 'apparent_temperature': 15.3}"
13016,"{'temperature_2m': 19.4, 'relative_humidity_2m': 47, 'windspeed_10m': 23.8, 'apparent_temperature': 15.3}"
