,0
6000,"{'temperature_2m': 24.6, 'relative_humidity_2m': 59, 'windspeed_10m': 4.2, 'apparent_temperature': 26.1}"
6001,"{'temperature_2m': 29.1, 'relative_humidity_2m': 40, 'windspeed_10m': 7.4, 'apparent_temperature': 29.4}"
6002,"{'temperature_2m': 27.5, 'relative_humidity_2m': 47, 'windspeed_10m': 6.3, 'apparent_temperature': 28.4}"
6003,"{'temperature_2m': 26.1, 'relative_humidity_2m': 52, 'windspeed_10m': 6.1, 'apparent_temperature': 27.1}"
6004,"{'temperature_2m': 31.4, 'relative_humidity_2m': 32, 'windspeed_10m': 7.0, 'apparent_temperature': 32.0}"
6005,"{'temperature_2m': 30.8, 'relative_humidity_2m': 37, 'windspeed_10m': 12.1, 'apparent_temperature': 31.2}"
6006,"{'temperature_2m': 30.2, 'relative_humidity_2m': 38, 'windspeed_10m': 1.9, 'apparent_temperature': 31.6}"
6007,"{'temperature_2m': 31.4, 'relative_humidity_2m': 32, 'windspeed_10m': 7.0, 'apparent_temperature': 32.0}"
6008,"{'temperature_2m': 30.8, 'relative_humidity_2m': 37, 'windspeed_10m': 12.1, 'apparent_temperature': 31.2}"
6009,"{'temperature_2m': 31.7, 'relative_humidity_2m': 32, 'windspeed_10m': 9.4, 'apparent_temperature': 31.3}"
6010,"{'temperature_2m': 30.3, 'relative_humidity_2m': 36, 'windspeed_10m': 6.6, 'apparent_temperature': 31.3}"
6011,"{'temperature_2m': 33.2, 'relative_humidity_2m': 26, 'windspeed_10m': 8.6, 'apparent_temperature': 32.8}"
6012,"{'temperature_2m': 29.6, 'relative_humidity_2m': 49, 'windspeed_10m': 14.5, 'apparent_temperature': 30.2}"
6013,"{'temperature_2m': 26.4, 'relative_humidity_2m': 66, 'windspeed_10m': 3.7, 'apparent_temperature': 29.6}"
6014,"{'temperature_2m': 23.7, 'relative_humidity_2m': 82, 'windspeed_10m': 4.5, 'apparent_temperature': 27.1}"
6015,"{'temperature_2m': 30.3, 'relative_humidity_2m': 36, 'windspeed_10m': 6.6, 'apparent_temperature': 31.3}"
6016,"{'temperature_2m': 23.7, 'relative_humidity_2m': 82, 'windspeed_10m': 4.5, 'apparent_temperature': 27.1}"
6017,"{'temperature_2m': 31.9, 'relative_humidity_2m': 36, 'windspeed_10m': 9.5, 'apparent_temperature': 32.5}"
6018,"{'temperature_2m': 30.0, 'relative_humidity_2m': 38, 'windspeed_10m': 5.8, 'apparent_temperature': 31.2}"
6019,"{'temperature_2m': 30.0, 'relative_humidity_2m': 38, 'windspeed_10m': 5.8, 'apparent_temperature': 31.2}"
6020,"{'temperature_2m': 31.6, 'relative_humidity_2m': 36, 'windspeed_10m': 4.7, 'apparent_temperature': 33.3}"
6021,"{'temperature_2m': 30.9, 'relative_humidity_2m': 41, 'windspeed_10m': 12.7, 'apparent_temperature': 31.2}"
6022,"{'temperature_2m': 27.7, 'relative_humidity_2m': 52, 'windspeed_10m': 4.2, 'apparent_temperature': 29.5}"
6023,"{'temperature_2m': 27.7, 'relative_humidity_2m': 52, 'windspeed_10m': 4.2, 'apparent_temperature': 29.5}"
6024,"{'temperature_2m': 26.1, 'relative_humidity_2m': 67, 'windspeed_10m': 3.4, 'apparent_temperature': 29.2}"
6025,"{'temperature_2m': 23.1, 'relative_humidity_2m': 81, 'windspeed_10m': 2.9, 'apparent_temperature': 26.4}"
6026,"{'temperature_2m': 28.5, 'relative_humidity_2m': 47, 'windspeed_10m': 12.4, 'apparent_temperature': 28.9}"
6027,"{'temperature_2m': 30.6, 'relative_humidity_2m': 40, 'windspeed_10m': 3.9, 'apparent_temperature': 32.8}"
6028,"{'temperature_2m': 21.6, 'relative_humidity_2m': 88, 'windspeed_10m': 3.3, 'apparent_temperature': 24.7}"
6029,"{'temperature_2m': 27.0, 'relative_humidity_2m': 63, 'windspeed_10m': 13.3, 'apparent_temperature': 28.6}"
6030,"{'temperature_2m': 19.3, 'relative_humidity_2m': 92, 'windspeed_10m': 17.9, 'apparent_temperature': 19.6}"
6031,"{'temperature_2m': 19.1, 'relative_humidity_2m': 55, 'windspeed_10m': 9.5, 'apparent_temperature': 17.6}"
6032,"{'temperature_2m': 20.7, 'relative_humidity_2m': 48, 'windspeed_10m': 9.2, 'apparent_temperature': 19.4}"
6033,"{'temperature_2m': 22.2, 'relative_humidity_2m': 38, 'windspeed_10m': 4.6, 'apparent_temperature': 20.8}"
6034,"{'temperature_2m': 20.9, 'relative_humidity_2m': 52, 'windspeed_10m': 4.0, 'apparent_temperature': 20.5}"
6035,"{'temperature_2m': 23.2, 'relative_humidity_2m': 75, 'windspeed_10m': 1.0, 'apparent_temperature': 26.2}"
6036,"{'temperature_2m': 18.6, 'relative_humidity_2m': 63, 'windspeed_10m': 2.3, 'apparent_temperature': 18.8}"
6037,"{'temperature_2m': 22.2, 'relative_humidity_2m': 52, 'windspeed_10m': 3.7, 'apparent_temperature': 22.3}"
6038,"{'temperature_2m': 22.2, 'relative_humidity_2m': 52, 'windspeed_10m': 3.7, 'apparent_temperature': 22.3}"
6039,"{'temperature_2m': 23.6, 'relative_humidity_2m': 45, 'windspeed_10m': 5.2, 'apparent_temperature': 23.2}"
6040,"{'temperature_2m': 23.8, 'relative_humidity_2m': 44, 'windspeed_10m': 6.0, 'apparent_temperature': 23.1}"
6041,"{'temperature_2m': 22.3, 'relative_humidity_2m': 54, 'windspeed_10m': 4.7, 'apparent_temperature': 22.4}"
6042,"{'temperature_2m': 22.3, 'relative_humidity_2m': 54, 'windspeed_10m': 4.7, 'apparent_temperature': 22.4}"
6043,"{'temperature_2m': 15.9, 'relative_humidity_2m': 75, 'windspeed_10m': 6.6, 'apparent_temperature': 15.4}"
6044,"{'temperature_2m': 14.7, 'relative_humidity_2m': 81, 'windspeed_10m': 3.7, 'apparent_temperature': 14.6}"
6045,"{'temperature_2m': 20.7, 'relative_humidity_2m': 57, 'windspeed_10m': 1.8, 'apparent_temperature': 21.0}"
6046,"{'temperature_2m': 18.4, 'relative_humidity_2m': 60, 'windspeed_10m': 10.6, 'apparent_temperature': 17.0}"
6047,"{'temperature_2m': 21.3, 'relative_humidity_2m': 48, 'windspeed_10m': 12.3, 'apparent_temperature': 19.4}"
6048,"{'temperature_2m': 23.0, 'relative_humidity_2m': 44, 'windspeed_10m': 14.1, 'apparent_temperature': 21.0}"
6049,"{'temperature_2m': 22.2, 'relative_humidity_2m': 46, 'windspeed_10m': 14.3, 'apparent_temperature': 20.1}"
