,0
8000,"{'temperature_2m': 21.1, 'relative_humidity_2m': 55, 'windspeed_10m': 8.3, 'apparent_temperature': 20.4}"
8001,"{'temperature_2m': 22.1, 'relative_humidity_2m': 53, 'windspeed_10m': 9.4, 'apparent_temperature': 22.7}"
8002,"{'temperature_2m': 30.3, 'relative_humidity_2m': 59, 'windspeed_10m': 34.1, 'apparent_temperature': 29.9}"
8003,"{'temperature_2m': 30.3, 'relative_humidity_2m': 59, 'windspeed_10m': 34.1, 'apparent_temperature': 29.9}"
8004,"{'temperature_2m': 30.3, 'relative_humidity_2m': 59, 'windspeed_10m': 34.1, 'apparent_temperature': 29.9}"
8005,"{'temperature_2m': 20.3, 'relative_humidity_2m': 61, 'windspeed_10m': 7.2, 'apparent_temperature': 20.0}"
8006,"{'temperature_2m': 30.2, 'relative_humidity_2m': 57, 'windspeed_10m': 26.3, 'apparent_temperature': 30.7}"
8007,"{'temperature_2m': 26.1, 'relative_humidity_2m': 78, 'windspeed_10m': 2.7, 'apparent_temperature': 30.5}"
8008,"{'temperature_2m': 21.4, 'relative_humidity_2m': 62, 'windspeed_10m': 7.2, 'apparent_temperature': 23.1}"
8009,"{'temperature_2m': 25.3, 'relative_humidity_2m': 76, 'windspeed_10m': 2.9, 'apparent_temperature': 29.2}"
8010,"{'temperature_2m': 25.9, 'relative_humidity_2m': 69, 'windspeed_10m': 6.5, 'apparent_temperature': 28.7}"
8011,"{'temperature_2m': 26.4, 'relative_humidity_2m': 66, 'windspeed_10m': 10.0, 'apparent_temperature': 28.6}"
8012,"{'temperature_2m': 20.9, 'relative_humidity_2m': 55, 'windspeed_10m': 4.7, 'apparent_temperature': 20.7}"
8013,"{'temperature_2m': 21.9, 'relative_humidity_2m': 59, 'windspeed_10m': 7.6, 'apparent_temperature': 22.3}"
8014,"{'temperature_2m': 23.7, 'relative_humidity_2m': 85, 'windspeed_10m': 4.0, 'apparent_temperature': 27.5}"
8015,"{'temperature_2m': 29.0, 'relative_humidity_2m': 62, 'windspeed_10m': 23.8, 'apparent_temperature': 29.9}"
8016,"{'temperature_2m': 29.8, 'relative_humidity_2m': 59, 'windspeed_10m': 28.3, 'apparent_temperature': 30.0}"
8017,"{'temperature_2m': 29.7, 'relative_humidity_2m': 60, 'windspeed_10m': 31.5, 'apparent_temperature': 29.5}"
8018,"{'temperature_2m': 29.4, 'relative_humidity_2m': 61, 'windspeed_10m': 34.3, 'apparent_temperature': 28.9}"
8019,"{'temperature_2m': 29.4, 'relative_humidity_2m': 61, 'windspeed_10m': 34.3, 'apparent_temperature': 28.9}"
8020,"{'temperature_2m': 21.7, 'relative_humidity_2m': 59, 'windspeed_10m': 7.5, 'apparent_temperature': 23.6}"
8021,"{'temperature_2m': 29.4, 'relative_humidity_2m': 61, 'windspeed_10m': 34.3, 'apparent_temperature': 28.9}"
8022,"{'temperature_2m': 28.3, 'relative_humidity_2m': 69, 'windspeed_10m': 26.0, 'apparent_temperature': 29.5}"
8023,"{'temperature_2m': 27.9, 'relative_humidity_2m': 75, 'windspeed_10m': 23.7, 'apparent_temperature': 29.9}"
8024,"{'temperature_2m': 23.1, 'relative_humidity_2m': 87, 'windspeed_10m': 5.5, 'apparent_temperature': 26.5}"
8025,"{'temperature_2m': 25.1, 'relative_humidity_2m': 73, 'windspeed_10m': 1.9, 'apparent_temperature': 28.6}"
8026,"{'temperature_2m': 25.1, 'relative_humidity_2m': 73, 'windspeed_10m': 1.9, 'apparent_temperature': 28.6}"
8027,"{'temperature_2m': 25.5, 'relative_humidity_2m': 69, 'windspeed_10m': 7.9, 'apparent_temperature': 27.9}"
8028,"{'temperature_2m': 26.6, 'relative_humidity_2m': 82, 'windspeed_10m': 23.7, 'apparent_temperature': 28.8}"
8029,"{'temperature_2m': 28.3, 'relative_humidity_2m': 69, 'windspeed_10m': 26.0, 'apparent_temperature': 29.5}"
8030,"{'temperature_2m': 28.6, 'relative_humidity_2m': 62, 'windspeed_10m': 30.0, 'apparent_temperature': 28.4}"
