ATP,tourney_location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,LBW,LBL,EXW,EXL,tournament_id,loser_id,winner_id,match_id
1,Brisbane,Brisbane International,2018-12-31,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Nishioka Y.,19.0,75.0,1835.0,701.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.36,3.37,1.42,3.6,1.35,3.18,,,,,Brisbane_ATP250_2019,106415,105777,Brisbane_ATP250_2019_105777_106415
1,Brisbane,Brisbane International,2018-12-31,ATP250,Outdoor,Hard,1st Round,3,Raonic M.,Bedene A.,18.0,67.0,1855.0,780.0,6.0,0.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.18,4.5,1.23,4.68,1.27,4.84,1.22,4.26,,,,,Brisbane_ATP250_2019,105379,105683,Brisbane_ATP250_2019_105683_105379
1,Brisbane,Brisbane International,2018-12-31,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,Mayer L.,131.0,56.0,433.0,895.0,6.0,3.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.57,2.25,1.67,2.32,1.71,2.4,1.63,2.28,,,,,Brisbane_ATP250_2019,104919,200175,Brisbane_ATP250_2019_200175_104919
1,Brisbane,Brisbane International,2018-12-31,ATP250,Outdoor,Hard,1st Round,3,Millman J.,Sandgren T.,38.0,61.0,1083.0,814.0,7.0,6.0,6.0,7.0,6.0,0.0,,,,,2.0,1.0,Completed,1.4,2.75,1.41,3.13,1.45,3.2,1.4,2.95,,,,,Brisbane_ATP250_2019,105815,105357,Brisbane_ATP250_2019_105357_105815
1,Brisbane,Brisbane International,2018-12-31,ATP250,Outdoor,Hard,1st Round,3,Uchiyama Y.,Humbert U.,185.0,102.0,275.0,572.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.62,1.44,2.73,1.51,3.26,1.53,2.69,1.47,,,,,Brisbane_ATP250_2019,200005,106034,Brisbane_ATP250_2019_106034_200005
1,Brisbane,Brisbane International,2019-01-01,ATP250,Outdoor,Hard,1st Round,3,Kudla D.,Fritz T.,63.0,49.0,810.0,974.0,7.0,6.0,6.0,7.0,6.0,4.0,,,,,2.0,1.0,Completed,2.62,1.44,2.8,1.49,2.85,1.55,2.7,1.47,,,,,Brisbane_ATP250_2019,126203,106045,Brisbane_ATP250_2019_106045_126203
1,Brisbane,Brisbane International,2019-01-01,ATP250,Outdoor,Hard,1st Round,3,Chardy J.,Struff J.L.,40.0,57.0,1050.0,875.0,4.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,2.1,1.66,2.23,1.72,2.26,1.74,2.19,1.68,,,,,Brisbane_ATP250_2019,105526,104871,Brisbane_ATP250_2019_104871_105526
1,Brisbane,Brisbane International,2019-01-01,ATP250,Outdoor,Hard,1st Round,3,Murray A.,Duckworth J.,240.0,234.0,200.0,206.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.28,3.5,1.38,3.29,1.39,3.6,1.34,3.26,,,,,Brisbane_ATP250_2019,105902,104918,Brisbane_ATP250_2019_104918_105902
1,Brisbane,Brisbane International,2019-01-01,ATP250,Outdoor,Hard,1st Round,3,Kyrgios N.,Harrison R.,35.0,62.0,1125.0,810.0,7.0,6.0,5.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,1.4,2.75,1.47,2.87,1.5,3.16,1.44,2.8,,,,,Brisbane_ATP250_2019,105992,106401,Brisbane_ATP250_2019_106401_105992
1,Brisbane,Brisbane International,2019-01-01,ATP250,Outdoor,Hard,1st Round,3,Tsonga J.W.,Kokkinakis T.,239.0,146.0,200.0,367.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.25,1.57,2.27,1.7,2.42,1.71,2.27,1.64,,,,,Brisbane_ATP250_2019,106423,104542,Brisbane_ATP250_2019_104542_106423
