tournament_location,tournament_name,Date,indoor_or_outdoor,Surface,Round,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,loser_id,winner_id,match_id,Winner_Sets_Before,Winner_Gems_Before,Loser_Sets_Before,Loser_Gems_Before,tournament_id,draw_size,tournament_level,tournament_date,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,best_of,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
Eastbourne,Eastbourne International,2023-06-26,Outdoor,Grass,1st Round,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,144869,200670,Eastbourne_2023_200670_144869,0.0,0.0,0.0,0.0,2023-0741,32,A,2023-06-26,,,J J Wolf,R,183.0,USA,24.5,6.0,,Tomas Martin Etcheverry,R,196.0,ARG,23.9,3,81.0,9.0,1.0,47.0,28.0,25.0,12.0,9.0,2.0,2.0,4.0,1.0,68.0,52.0,31.0,8.0,9.0,5.0,8.0,46.0,889.0,32.0,1201.0
Eastbourne,Eastbourne International,2023-06-26,Outdoor,Grass,1st Round,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,200059,200175,Eastbourne_2023_200175_200059,0.0,0.0,0.0,0.0,2023-0741,32,A,2023-06-26,8.0,,Miomir Kecmanovic,R,183.0,SRB,23.8,,,Yibing Wu,R,183.0,CHN,23.6,3,116.0,13.0,2.0,91.0,58.0,40.0,20.0,12.0,7.0,9.0,6.0,1.0,81.0,50.0,36.0,17.0,12.0,3.0,5.0,41.0,985.0,59.0,814.0
Eastbourne,Eastbourne International,2023-06-26,Outdoor,Grass,1st Round,2.0,6.0,7.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,207785,209414,Eastbourne_2023_209414_207785,0.0,0.0,0.0,0.0,2023-0741,32,A,2023-06-26,,Q,Luca Van Assche,R,,FRA,19.1,,WC,George Loffhagen,R,,GBR,22.1,3,176.0,1.0,4.0,111.0,64.0,35.0,24.0,16.0,6.0,14.0,5.0,11.0,119.0,65.0,42.0,23.0,16.0,5.0,11.0,79.0,736.0,367.0,130.0
Eastbourne,Eastbourne International,2023-06-26,Outdoor,Grass,1st Round,6.0,7.0,7.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,206909,126846,Eastbourne_2023_126846_206909,0.0,0.0,0.0,0.0,2023-0741,32,A,2023-06-26,,Q,Aleksandar Vukic,R,188.0,AUS,27.2,,,Brandon Nakashima,R,185.0,USA,21.8,3,162.0,17.0,2.0,124.0,75.0,59.0,31.0,18.0,3.0,4.0,11.0,3.0,116.0,72.0,57.0,23.0,18.0,0.0,1.0,91.0,654.0,51.0,855.0
Eastbourne,Eastbourne International,2023-06-26,Outdoor,Grass,1st Round,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,126106,144817,Eastbourne_2023_144817_126106,0.0,0.0,0.0,0.0,2023-0741,32,A,2023-06-26,,Q,Marc Andrea Huesler,L,196.0,SUI,27.0,,WC,Ryan Peniston,U,,GBR,27.6,3,78.0,8.0,2.0,50.0,27.0,24.0,13.0,9.0,2.0,2.0,2.0,1.0,56.0,30.0,22.0,10.0,8.0,7.0,10.0,83.0,705.0,267.0,207.0
Mallorca,Mallorca Championships,2023-06-26,Outdoor,Grass,1st Round,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,111454,200303,Mallorca_2023_200303_111454,0.0,0.0,0.0,0.0,2023-8994,32,A,2023-06-26,,LL,Pavel Kotov,R,191.0,RUS,24.6,,Q,Li Tu,R,180.0,AUS,27.0,3,100.0,3.0,4.0,70.0,36.0,33.0,18.0,11.0,2.0,2.0,8.0,2.0,60.0,33.0,29.0,14.0,10.0,0.0,1.0,116.0,540.0,247.0,230.0
Mallorca,Mallorca Championships,2023-06-26,Outdoor,Grass,1st Round,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed,209406,126128,Mallorca_2023_126128_209406,0.0,0.0,0.0,0.0,2023-8994,32,A,2023-06-26,,Q,Roman Safiullin,R,185.0,RUS,25.8,,Q,Abedallah Shelbayh,L,,JOR,19.6,3,74.0,4.0,3.0,56.0,33.0,25.0,12.0,9.0,1.0,2.0,3.0,4.0,49.0,28.0,15.0,9.0,8.0,3.0,7.0,94.0,631.0,240.0,238.0
Mallorca,Mallorca Championships,2023-06-26,Outdoor,Grass,1st Round,6.0,4.0,1.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,125802,106148,Mallorca_2023_106148_125802,0.0,0.0,0.0,0.0,2023-8994,32,A,2023-06-26,8.0,,Roberto Carballes Baena,R,183.0,ESP,30.2,,,Ilya Ivashka,R,193.0,BLR,29.3,3,127.0,2.0,1.0,72.0,52.0,34.0,11.0,13.0,2.0,5.0,4.0,5.0,85.0,41.0,31.0,21.0,13.0,7.0,10.0,53.0,850.0,102.0,607.0
Mallorca,Mallorca Championships,2023-06-26,Outdoor,Grass,1st Round,6.0,3.0,6.0,7.0,7.0,5.0,,,,,2.0,1.0,Completed,210506,111153,Mallorca_2023_111153_210506,0.0,0.0,0.0,0.0,2023-8994,32,A,2023-06-26,,,Christopher Eubanks,R,201.0,USA,27.1,,LL,Alex Michelsen,U,,USA,18.8,3,137.0,16.0,2.0,103.0,81.0,65.0,10.0,17.0,1.0,1.0,7.0,4.0,99.0,63.0,47.0,23.0,16.0,2.0,4.0,77.0,738.0,250.0,227.0
Mallorca,Mallorca Championships,2023-06-26,Outdoor,Grass,1st Round,6.0,2.0,7.0,6.0,,,,,,,2.0,0.0,Completed,126523,144750,Mallorca_2023_144750_126523,0.0,0.0,0.0,0.0,2023-8994,32,A,2023-06-26,,Q,Lloyd Harris,R,193.0,RSA,26.3,7.0,,Bernabe Zapata Miralles,R,185.0,ESP,26.4,3,80.0,12.0,1.0,56.0,37.0,33.0,12.0,10.0,1.0,1.0,0.0,2.0,66.0,39.0,25.0,15.0,10.0,5.0,7.0,298.0,177.0,50.0,856.0
Mallorca,Mallorca Championships,2023-06-26,Outdoor,Grass,1st Round,6.0,2.0,6.0,1.0,,,,,,,2.0,0.0,Completed,106398,105870,Mallorca_2023_105870_106398,0.0,0.0,0.0,0.0,2023-8994,32,A,2023-06-26,,,Yannick Hanfmann,R,193.0,GER,31.6,,,Pedro Cachin,R,185.0,ARG,28.2,3,61.0,6.0,1.0,48.0,35.0,27.0,7.0,7.0,4.0,4.0,5.0,0.0,46.0,30.0,15.0,7.0,8.0,4.0,9.0,48.0,880.0,67.0,772.0
Mallorca,Mallorca Championships,2023-06-26,Outdoor,Grass,1st Round,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,104755,111442,Mallorca_2023_111442_104755,0.0,0.0,0.0,0.0,2023-8994,32,A,2023-06-26,,,Jordan Thompson,R,183.0,AUS,29.1,6.0,,Richard Gasquet,R,185.0,FRA,37.0,3,92.0,13.0,1.0,58.0,37.0,28.0,15.0,10.0,0.0,0.0,4.0,3.0,67.0,43.0,26.0,13.0,9.0,6.0,8.0,71.0,765.0,49.0,875.0
Eastbourne,Eastbourne International,2023-06-27,Outdoor,Grass,1st Round,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,106065,111456,Eastbourne_2023_111456_106065,0.0,0.0,0.0,0.0,2023-0741,32,A,2023-06-27,,,Mackenzie Mcdonald,R,178.0,USA,28.1,,,Marco Cecchinato,R,185.0,ITA,30.7,3,76.0,8.0,2.0,46.0,19.0,18.0,19.0,9.0,0.0,0.0,4.0,1.0,72.0,44.0,27.0,14.0,9.0,11.0,14.0,64.0,785.0,88.0,673.0
Eastbourne,Eastbourne International,2023-06-27,Outdoor,Grass,1st Round,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,123828,106281,Eastbourne_2023_106281_123828,0.0,0.0,0.0,0.0,2023-0741,32,A,2023-06-27,,WC,Liam Broady,L,183.0,GBR,29.4,,LL,Jan Choinski,R,,GBR,27.0,3,92.0,8.0,4.0,64.0,37.0,31.0,12.0,10.0,1.0,2.0,3.0,2.0,62.0,43.0,27.0,9.0,9.0,4.0,7.0,147.0,402.0,167.0,346.0
Eastbourne,Eastbourne International,2023-06-27,Outdoor,Grass,1st Round,3.0,6.0,6.0,4.0,6.0,2.0,,,,,2.0,1.0,Completed,122298,144707,Eastbourne_2023_144707_122298,0.0,0.0,0.0,0.0,2023-0741,32,A,2023-06-27,,,Mikael Ymer,R,183.0,SWE,24.7,9.0,,Botic Van De Zandschulp,R,188.0,NED,27.7,3,132.0,1.0,10.0,94.0,54.0,41.0,16.0,14.0,5.0,8.0,8.0,3.0,91.0,62.0,37.0,16.0,13.0,5.0,9.0,61.0,796.0,42.0,975.0
Eastbourne,Eastbourne International,2023-06-27,Outdoor,Grass,1st Round,6.0,4.0,7.0,5.0,,,,,,,2.0,0.0,Completed,123755,202195,Eastbourne_2023_202195_123755,0.0,0.0,0.0,0.0,2023-0741,32,A,2023-06-27,,,Maxime Cressy,R,198.0,USA,26.1,,Q,Daniel Elahi Galan,R,191.0,COL,27.0,3,93.0,7.0,5.0,59.0,40.0,32.0,10.0,11.0,2.0,3.0,5.0,1.0,73.0,46.0,31.0,13.0,11.0,4.0,7.0,55.0,835.0,84.0,687.0
Eastbourne,Eastbourne International,2023-06-27,Outdoor,Grass,1st Round,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,132283,111190,Eastbourne_2023_111190_132283,0.0,0.0,0.0,0.0,2023-0741,32,A,2023-06-27,,,Zhizhen Zhang,R,193.0,CHN,26.6,7.0,,Lorenzo Sonego,R,191.0,ITA,28.1,3,117.0,8.0,0.0,93.0,57.0,39.0,17.0,11.0,7.0,9.0,7.0,1.0,62.0,47.0,29.0,6.0,10.0,3.0,6.0,54.0,836.0,40.0,1015.0
Mallorca,Mallorca Championships,2023-06-27,Outdoor,Grass,1st Round,6.0,4.0,4.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,106186,106005,Mallorca_2023_106005_106186,0.0,0.0,0.0,0.0,2023-8994,32,A,2023-06-27,,,Constant Lestienne,R,180.0,FRA,31.0,,,Jason Kubler,R,178.0,AUS,30.1,3,127.0,6.0,10.0,95.0,54.0,37.0,17.0,15.0,7.0,12.0,11.0,5.0,79.0,42.0,29.0,17.0,15.0,3.0,9.0,73.0,751.0,74.0,742.0
Mallorca,Mallorca Championships,2023-06-27,Outdoor,Grass,1st Round,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,105077,126239,Mallorca_2023_126239_105077,0.0,0.0,0.0,0.0,2023-8994,32,A,2023-06-27,,LL,Arthur Rinderknech,R,196.0,FRA,27.9,,,Albert Ramos,L,188.0,ESP,35.4,3,115.0,19.0,4.0,86.0,60.0,52.0,12.0,12.0,2.0,2.0,5.0,3.0,78.0,56.0,42.0,12.0,12.0,1.0,1.0,85.0,681.0,72.0,752.0
Mallorca,Mallorca Championships,2023-06-27,Outdoor,Grass,1st Round,6.0,3.0,7.0,5.0,,,,,,,2.0,0.0,Completed,126845,103852,Mallorca_2023_103852_126845,0.0,0.0,0.0,0.0,2023-8994,32,A,2023-06-27,,WC,Feliciano Lopez,L,188.0,ESP,41.7,,,Max Purcell,R,185.0,AUS,25.2,3,80.0,11.0,4.0,57.0,31.0,28.0,16.0,11.0,4.0,5.0,9.0,0.0,64.0,34.0,23.0,15.0,10.0,3.0,6.0,634.0,45.0,62.0,796.0
Mallorca,Mallorca Championships,2023-06-27,Outdoor,Grass,2nd Round,3.0,6.0,7.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,105550,105173,Mallorca_2023_105173_105550,0.0,0.0,1.0,2.0,2023-8994,32,A,2023-06-27,4.0,,Adrian Mannarino,L,183.0,FRA,34.9,,PR,Guido Pella,L,185.0,ARG,33.1,3,151.0,9.0,9.0,95.0,53.0,38.0,17.0,14.0,11.0,16.0,6.0,4.0,104.0,75.0,45.0,12.0,16.0,8.0,14.0,43.0,972.0,334.0,150.0
Mallorca,Mallorca Championships,2023-06-27,Outdoor,Grass,2nd Round,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,126128,144750,Mallorca_2023_144750_126128,2.0,5.0,2.0,7.0,2023-8994,32,A,2023-06-27,,Q,Lloyd Harris,R,193.0,RSA,26.3,,Q,Roman Safiullin,R,185.0,RUS,25.8,3,75.0,25.0,2.0,67.0,47.0,39.0,13.0,11.0,4.0,4.0,6.0,1.0,53.0,38.0,31.0,11.0,10.0,0.0,1.0,298.0,177.0,94.0,631.0
Mallorca,Mallorca Championships,2023-06-27,Outdoor,Grass,2nd Round,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,106148,144895,Mallorca_2023_144895_106148,2.0,4.0,1.0,0.0,2023-8994,32,A,2023-06-27,,,Corentin Moutet,L,178.0,FRA,24.1,8.0,,Roberto Carballes Baena,R,183.0,ESP,30.2,3,109.0,3.0,7.0,74.0,48.0,41.0,11.0,11.0,2.0,2.0,2.0,2.0,66.0,46.0,33.0,10.0,10.0,5.0,6.0,80.0,723.0,53.0,850.0
Mallorca,Mallorca Championships,2023-06-27,Outdoor,Grass,2nd Round,2.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,200221,200303,Mallorca_2023_200303_200221,2.0,4.0,0.0,0.0,2023-8994,32,A,2023-06-27,,LL,Pavel Kotov,R,191.0,RUS,24.6,2.0,,Alejandro Davidovich Fokina,R,183.0,ESP,24.0,3,128.0,8.0,7.0,88.0,56.0,42.0,11.0,14.0,7.0,10.0,5.0,3.0,83.0,57.0,37.0,16.0,13.0,7.0,10.0,116.0,540.0,34.0,1115.0
Eastbourne,Eastbourne International,2023-06-28,Outdoor,Grass,2nd Round,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,126846,200175,Eastbourne_2023_200175_126846,2.0,2.0,1.0,1.0,2023-0741,32,A,2023-06-28,8.0,,Miomir Kecmanovic,R,183.0,SRB,23.8,,Q,Aleksandar Vukic,R,188.0,AUS,27.2,3,84.0,8.0,1.0,70.0,47.0,35.0,14.0,11.0,4.0,5.0,9.0,1.0,67.0,44.0,31.0,16.0,11.0,3.0,5.0,41.0,985.0,91.0,654.0
Eastbourne,Eastbourne International,2023-06-28,Outdoor,Grass,2nd Round,6.0,3.0,4.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,111797,106296,Eastbourne_2023_106296_111797,1.0,-1.0,0.0,0.0,2023-0741,32,A,2023-06-28,,,Gregoire Barrere,R,183.0,FRA,29.3,5.0,,Nicolas Jarry,R,198.0,CHI,27.7,3,125.0,4.0,2.0,85.0,56.0,40.0,15.0,15.0,4.0,7.0,8.0,6.0,85.0,52.0,36.0,14.0,14.0,5.0,9.0,57.0,817.0,28.0,1336.0
Eastbourne,Eastbourne International,2023-06-28,Outdoor,Grass,2nd Round,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,126203,111456,Eastbourne_2023_111456_126203,2.0,6.0,0.0,0.0,2023-0741,32,A,2023-06-28,,,Mackenzie Mcdonald,R,178.0,USA,28.1,1.0,,Taylor Fritz,R,193.0,USA,25.6,3,141.0,6.0,0.0,90.0,47.0,36.0,23.0,12.0,6.0,8.0,12.0,2.0,92.0,51.0,40.0,18.0,12.0,12.0,14.0,64.0,785.0,9.0,3310.0
Eastbourne,Eastbourne International,2023-06-28,Outdoor,Grass,2nd Round,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,106281,144707,Eastbourne_2023_144707_106281,1.0,3.0,2.0,5.0,2023-0741,32,A,2023-06-28,,,Mikael Ymer,R,183.0,SWE,24.7,,WC,Liam Broady,L,183.0,GBR,29.4,3,80.0,3.0,1.0,53.0,41.0,30.0,7.0,9.0,3.0,4.0,1.0,3.0,55.0,29.0,17.0,12.0,9.0,7.0,11.0,61.0,796.0,147.0,402.0
Eastbourne,Eastbourne International,2023-06-28,Outdoor,Grass,2nd Round,6.0,2.0,6.0,7.0,6.0,1.0,,,,,2.0,1.0,Completed,209414,200670,Eastbourne_2023_200670_209414,2.0,6.0,1.0,-2.0,2023-0741,32,A,2023-06-28,,,J J Wolf,R,183.0,USA,24.5,,Q,Luca Van Assche,R,,FRA,19.1,3,148.0,13.0,5.0,82.0,47.0,36.0,21.0,13.0,2.0,3.0,7.0,5.0,118.0,61.0,47.0,18.0,14.0,8.0,14.0,46.0,889.0,79.0,736.0
Eastbourne,Eastbourne International,2023-06-28,Outdoor,Grass,2nd Round,3.0,6.0,7.0,5.0,6.0,4.0,,,,,2.0,1.0,Completed,202195,111190,Eastbourne_2023_111190_202195,2.0,4.0,2.0,4.0,2023-0741,32,A,2023-06-28,,,Zhizhen Zhang,R,193.0,CHN,26.6,,,Maxime Cressy,R,198.0,USA,26.1,3,142.0,7.0,8.0,107.0,71.0,47.0,19.0,15.0,10.0,13.0,7.0,7.0,89.0,63.0,44.0,14.0,16.0,7.0,11.0,54.0,836.0,55.0,835.0
Eastbourne,Eastbourne International,2023-06-28,Outdoor,Grass,2nd Round,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,144817,202103,Eastbourne_2023_202103_144817,0.0,0.0,2.0,7.0,2023-0741,32,A,2023-06-28,4.0,,Francisco Cerundolo,R,185.0,ARG,24.8,,Q,Marc Andrea Huesler,L,196.0,SUI,27.0,3,105.0,7.0,2.0,84.0,53.0,40.0,18.0,12.0,2.0,3.0,8.0,6.0,88.0,53.0,38.0,19.0,12.0,6.0,7.0,19.0,1655.0,83.0,705.0
Eastbourne,Eastbourne International,2023-06-28,Outdoor,Grass,2nd Round,6.0,1.0,7.0,6.0,,,,,,,2.0,0.0,Completed,202104,126205,Eastbourne_2023_126205_202104,0.0,0.0,2.0,5.0,2023-0741,32,A,2023-06-28,2.0,,Tommy Paul,R,185.0,USA,26.1,,,Sebastian Baez,R,170.0,ARG,22.4,3,93.0,3.0,5.0,65.0,36.0,26.0,19.0,10.0,0.0,1.0,1.0,2.0,66.0,43.0,24.0,11.0,9.0,4.0,7.0,17.0,2110.0,44.0,945.0
Mallorca,Mallorca Championships,2023-06-28,Outdoor,Grass,2nd Round,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,106005,126239,Mallorca_2023_126239_106005,2.0,2.0,1.0,2.0,2023-8994,32,A,2023-06-28,,LL,Arthur Rinderknech,R,196.0,FRA,27.9,,,Constant Lestienne,R,180.0,FRA,31.0,3,77.0,10.0,2.0,55.0,35.0,29.0,8.0,8.0,1.0,1.0,2.0,4.0,49.0,32.0,20.0,6.0,9.0,2.0,6.0,85.0,681.0,73.0,751.0
Mallorca,Mallorca Championships,2023-06-28,Outdoor,Grass,2nd Round,6.0,7.0,6.0,4.0,7.0,6.0,,,,,2.0,1.0,Completed,210097,111153,Mallorca_2023_111153_210097,1.0,4.0,0.0,0.0,2023-8994,32,A,2023-06-28,,,Christopher Eubanks,R,201.0,USA,27.1,3.0,,Ben Shelton,L,,USA,20.7,3,163.0,10.0,3.0,108.0,78.0,62.0,17.0,17.0,3.0,3.0,18.0,14.0,115.0,66.0,53.0,24.0,17.0,6.0,7.0,77.0,738.0,35.0,1094.0
Mallorca,Mallorca Championships,2023-06-28,Outdoor,Grass,2nd Round,6.0,4.0,3.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,126774,105870,Mallorca_2023_105870_126774,2.0,9.0,0.0,0.0,2023-8994,32,A,2023-06-28,,,Yannick Hanfmann,R,193.0,GER,31.6,1.0,,Stefanos Tsitsipas,R,193.0,GRE,24.8,3,105.0,5.0,4.0,69.0,45.0,36.0,15.0,13.0,0.0,1.0,6.0,4.0,87.0,54.0,39.0,14.0,14.0,3.0,6.0,48.0,880.0,5.0,4670.0
Mallorca,Mallorca Championships,2023-06-28,Outdoor,Grass,2nd Round,7.0,6.0,1.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,111442,103852,Mallorca_2023_103852_111442,2.0,5.0,2.0,5.0,2023-8994,32,A,2023-06-28,,WC,Feliciano Lopez,L,188.0,ESP,41.7,,,Jordan Thompson,R,183.0,AUS,29.1,3,126.0,11.0,3.0,88.0,59.0,46.0,14.0,14.0,3.0,5.0,6.0,2.0,96.0,57.0,42.0,23.0,14.0,9.0,10.0,634.0,45.0,71.0,765.0
Eastbourne,Eastbourne International,2023-06-29,Outdoor,Grass,Quarterfinals,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,111190,202103,Eastbourne_2023_202103_111190,2.0,2.0,3.0,5.0,2023-0741,32,A,2023-06-29,4.0,,Francisco Cerundolo,R,185.0,ARG,24.8,,,Zhizhen Zhang,R,193.0,CHN,26.6,3,68.0,3.0,2.0,49.0,33.0,28.0,7.0,9.0,1.0,2.0,2.0,0.0,41.0,30.0,17.0,4.0,8.0,0.0,4.0,19.0,1655.0,54.0,836.0
Eastbourne,Eastbourne International,2023-06-29,Outdoor,Grass,Quarterfinals,6.0,4.0,3.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,144707,111456,Eastbourne_2023_111456_144707,4.0,8.0,3.0,9.0,2023-0741,32,A,2023-06-29,,,Mackenzie Mcdonald,R,178.0,USA,28.1,,,Mikael Ymer,R,183.0,SWE,24.7,3,139.0,3.0,3.0,98.0,63.0,45.0,14.0,14.0,8.0,11.0,6.0,5.0,102.0,76.0,46.0,14.0,14.0,10.0,14.0,64.0,785.0,61.0,796.0
Eastbourne,Eastbourne International,2023-06-29,Outdoor,Grass,Quarterfinals,6.0,4.0,4.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,200670,126205,Eastbourne_2023_126205_200670,2.0,6.0,3.0,14.0,2023-0741,32,A,2023-06-29,2.0,,Tommy Paul,R,185.0,USA,26.1,,,J J Wolf,R,183.0,USA,24.5,3,137.0,18.0,3.0,106.0,66.0,48.0,21.0,16.0,3.0,6.0,3.0,3.0,100.0,55.0,34.0,31.0,16.0,6.0,9.0,17.0,2110.0,46.0,889.0
Eastbourne,Eastbourne International,2023-06-29,Outdoor,Grass,Quarterfinals,7.0,5.0,7.0,6.0,,,,,,,2.0,0.0,Completed,200175,106296,Eastbourne_2023_106296_200175,2.0,2.0,4.0,5.0,2023-0741,32,A,2023-06-29,,,Gregoire Barrere,R,183.0,FRA,29.3,8.0,,Miomir Kecmanovic,R,183.0,SRB,23.8,3,105.0,4.0,3.0,88.0,57.0,41.0,11.0,12.0,4.0,8.0,7.0,5.0,85.0,56.0,37.0,10.0,12.0,7.0,12.0,57.0,817.0,41.0,985.0
Mallorca,Mallorca Championships,2023-06-29,Outdoor,Grass,Quarterfinals,7.0,5.0,6.0,2.0,,,,,,,2.0,0.0,Completed,200303,144750,Mallorca_2023_144750_200303,4.0,9.0,3.0,5.0,2023-8994,32,A,2023-06-29,,Q,Lloyd Harris,R,193.0,RSA,26.3,,LL,Pavel Kotov,R,191.0,RUS,24.6,3,97.0,11.0,1.0,52.0,33.0,26.0,15.0,10.0,0.0,0.0,3.0,2.0,73.0,48.0,30.0,13.0,10.0,3.0,6.0,298.0,177.0,116.0,540.0
Mallorca,Mallorca Championships,2023-06-29,Outdoor,Grass,Quarterfinals,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,126239,111153,Mallorca_2023_111153_126239,2.0,6.0,4.0,9.0,2023-8994,32,A,2023-06-29,,,Christopher Eubanks,R,201.0,USA,27.1,,LL,Arthur Rinderknech,R,196.0,FRA,27.9,3,117.0,10.0,3.0,77.0,57.0,47.0,10.0,12.0,3.0,5.0,7.0,3.0,87.0,47.0,38.0,18.0,12.0,5.0,7.0,77.0,738.0,85.0,681.0
Mallorca,Mallorca Championships,2023-06-29,Outdoor,Grass,Quarterfinals,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,103852,105870,Mallorca_2023_105870_103852,3.0,12.0,3.0,4.0,2023-8994,32,A,2023-06-29,,,Yannick Hanfmann,R,193.0,GER,31.6,,WC,Feliciano Lopez,L,188.0,ESP,41.7,3,70.0,8.0,0.0,44.0,28.0,23.0,14.0,9.0,2.0,2.0,6.0,4.0,59.0,33.0,23.0,12.0,9.0,6.0,9.0,48.0,880.0,634.0,45.0
Mallorca,Mallorca Championships,2023-06-29,Outdoor,Grass,Quarterfinals,7.0,5.0,6.0,2.0,,,,,,,2.0,0.0,Completed,144895,105173,Mallorca_2023_105173_144895,1.0,1.0,4.0,8.0,2023-8994,32,A,2023-06-29,4.0,,Adrian Mannarino,L,183.0,FRA,34.9,,,Corentin Moutet,L,178.0,FRA,24.1,3,107.0,1.0,1.0,59.0,39.0,29.0,15.0,10.0,5.0,6.0,1.0,2.0,79.0,52.0,31.0,12.0,10.0,5.0,9.0,43.0,972.0,80.0,723.0
Mallorca,Mallorca Championships,2023-06-30,Outdoor,Grass,Semifinals,4.0,6.0,6.0,3.0,7.0,6.0,,,,,2.0,1.0,Completed,144750,111153,Mallorca_2023_111153_144750,4.0,8.0,6.0,15.0,2023-8994,32,A,2023-06-30,,,Christopher Eubanks,R,201.0,USA,27.1,,Q,Lloyd Harris,R,193.0,RSA,26.3,3,138.0,14.0,5.0,106.0,81.0,62.0,11.0,16.0,6.0,7.0,12.0,1.0,99.0,66.0,54.0,18.0,15.0,6.0,7.0,77.0,738.0,298.0,177.0
Mallorca,Mallorca Championships,2023-06-30,Outdoor,Grass,Semifinals,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,105870,105173,Mallorca_2023_105173_105870,3.0,7.0,5.0,18.0,2023-8994,32,A,2023-06-30,4.0,,Adrian Mannarino,L,183.0,FRA,34.9,,,Yannick Hanfmann,R,193.0,GER,31.6,3,110.0,4.0,1.0,71.0,43.0,30.0,16.0,11.0,0.0,2.0,3.0,1.0,72.0,47.0,28.0,16.0,11.0,1.0,4.0,43.0,972.0,48.0,880.0
Eastbourne,Eastbourne International,2023-07-01,Outdoor,Grass,Semifinals,2.0,6.0,7.0,5.0,6.0,2.0,,,,,2.0,1.0,Completed,111456,202103,Eastbourne_2023_202103_111456,4.0,9.0,5.0,10.0,2023-0741,32,A,2023-07-01,4.0,,Francisco Cerundolo,R,185.0,ARG,24.8,,,Mackenzie Mcdonald,R,178.0,USA,28.1,3,125.0,2.0,5.0,97.0,55.0,33.0,22.0,14.0,10.0,15.0,2.0,3.0,84.0,50.0,35.0,10.0,14.0,9.0,15.0,19.0,1655.0,64.0,785.0
Eastbourne,Eastbourne International,2023-07-01,Outdoor,Grass,Semifinals,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,106296,126205,Eastbourne_2023_126205_106296,3.0,7.0,4.0,5.0,2023-0741,32,A,2023-07-01,2.0,,Tommy Paul,R,185.0,USA,26.1,,,Gregoire Barrere,R,183.0,FRA,29.3,3,72.0,3.0,4.0,64.0,35.0,28.0,14.0,10.0,2.0,3.0,2.0,2.0,58.0,36.0,23.0,10.0,9.0,5.0,8.0,17.0,2110.0,57.0,817.0
Eastbourne,Eastbourne International,2023-07-01,Outdoor,Grass,The Final,6.0,4.0,1.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,126205,202103,Eastbourne_2023_202103_126205,5.0,11.0,5.0,12.0,2023-0741,32,A,2023-07-01,4.0,,Francisco Cerundolo,R,185.0,ARG,24.8,2.0,,Tommy Paul,R,185.0,USA,26.1,3,114.0,2.0,2.0,87.0,64.0,43.0,8.0,14.0,5.0,9.0,5.0,4.0,76.0,48.0,34.0,14.0,13.0,3.0,6.0,19.0,1655.0,17.0,2110.0
