tournament_location,tournament_name,Date,indoor_or_outdoor,Surface,Round,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,loser_id,winner_id,match_id,Winner_Sets_Before,Winner_Gems_Before,Loser_Sets_Before,Loser_Gems_Before,tournament_id,draw_size,tournament_level,tournament_date,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,best_of,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
Pune,Maharashtra Open,2023-01-02,Outdoor,Hard,1st Round,6.0,1.0,7.0,5.0,,,,,,,2.0,0.0,Completed,126523,106148,Pune_2023_106148_126523,0.0,0.0,0.0,0.0,2023-0891,32,A,2023-01-02,,,Roberto Carballes Baena,R,183.0,ESP,29.7,,,Bernabe Zapata Miralles,R,185.0,ESP,25.9,3,100.0,0.0,1.0,60.0,41.0,28.0,10.0,9.0,3.0,4.0,4.0,5.0,79.0,51.0,31.0,10.0,10.0,4.0,9.0,74.0,695.0,72.0,712.0
Pune,Maharashtra Open,2023-01-02,Outdoor,Hard,1st Round,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,211768,111581,Pune_2023_111581_211768,0.0,0.0,0.0,0.0,2023-0891,32,A,2023-01-02,,,Michael Mmoh,R,188.0,USA,24.9,,WC,Manas Dhamne,U,,IND,,3,88.0,3.0,1.0,49.0,29.0,22.0,12.0,9.0,2.0,3.0,0.0,0.0,59.0,37.0,21.0,10.0,9.0,6.0,10.0,113.0,507.0,,
Pune,Maharashtra Open,2023-01-02,Outdoor,Hard,1st Round,6.0,4.0,7.0,5.0,,,,,,,2.0,0.0,Completed,144719,134868,Pune_2023_134868_144719,0.0,0.0,0.0,0.0,2023-0891,32,A,2023-01-02,,,Tallon Griekspoor,R,188.0,NED,26.5,7.0,,Jaume Munar,R,183.0,ESP,25.6,3,94.0,10.0,6.0,63.0,43.0,36.0,9.0,11.0,1.0,2.0,2.0,1.0,60.0,46.0,30.0,9.0,11.0,2.0,5.0,95.0,584.0,58.0,802.0
Pune,Maharashtra Open,2023-01-02,Outdoor,Hard,1st Round,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,144684,111513,Pune_2023_111513_144684,0.0,0.0,0.0,0.0,2023-0891,32,A,2023-01-02,,,Laslo Djere,R,188.0,SRB,27.5,5.0,,Alex Molcan,L,178.0,SVK,25.0,3,64.0,12.0,0.0,41.0,26.0,23.0,13.0,9.0,0.0,0.0,2.0,2.0,55.0,33.0,21.0,11.0,9.0,2.0,5.0,70.0,738.0,50.0,895.0
Pune,Maharashtra Open,2023-01-02,Outdoor,Hard,1st Round,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,105932,106065,Pune_2023_106065_105932,0.0,0.0,0.0,0.0,2023-0891,32,A,2023-01-02,,,Marco Cecchinato,R,185.0,ITA,30.2,,,Nikoloz Basilashvili,R,185.0,GEO,30.8,3,55.0,3.0,0.0,43.0,22.0,18.0,16.0,8.0,1.0,1.0,2.0,1.0,47.0,25.0,13.0,11.0,8.0,2.0,6.0,101.0,562.0,91.0,595.0
Pune,Maharashtra Open,2023-01-02,Outdoor,Hard,1st Round,6.0,4.0,4.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,111576,105936,Pune_2023_105936_111576,0.0,0.0,0.0,0.0,2023-0891,32,A,2023-01-02,6.0,,Filip Krajinovic,R,185.0,SRB,30.8,,WC,Sumit Nagal,R,178.0,IND,25.3,3,144.0,8.0,1.0,89.0,58.0,47.0,17.0,15.0,2.0,3.0,3.0,2.0,96.0,70.0,48.0,15.0,15.0,5.0,7.0,54.0,845.0,503.0,70.0
Adelaide 1,Adelaide International 1,2023-01-03,Outdoor,Hard,1st Round,7.0,6.0,2.0,1.0,,,,,,,1.0,0.0,Retired,132283,106421,Adelaide 1_2023_106421_132283,0.0,0.0,0.0,0.0,2023-2843,32,A,2023-01-03,3.0,,Daniil Medvedev,R,198.0,RUS,26.8,,,Lorenzo Sonego,R,191.0,ITA,27.6,3,102.0,5.0,2.0,70.0,45.0,30.0,15.0,8.0,9.0,10.0,1.0,1.0,57.0,32.0,25.0,11.0,7.0,3.0,4.0,7.0,4065.0,45.0,950.0
Adelaide 1,Adelaide International 1,2023-01-03,Outdoor,Hard,1st Round,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,106398,111575,Adelaide 1_2023_111575_106398,0.0,0.0,0.0,0.0,2023-2843,32,A,2023-01-03,8.0,,Karen Khachanov,R,198.0,RUS,26.6,,,Pedro Cachin,R,185.0,ARG,27.7,3,85.0,6.0,3.0,61.0,34.0,30.0,12.0,9.0,6.0,7.0,3.0,2.0,57.0,40.0,24.0,6.0,9.0,8.0,12.0,20.0,1990.0,57.0,813.0
Adelaide 1,Adelaide International 1,2023-01-03,Outdoor,Hard,1st Round,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,106005,104925,Adelaide 1_2023_104925_106005,0.0,0.0,0.0,0.0,2023-2843,32,A,2023-01-03,1.0,,Novak Djokovic,R,188.0,SRB,35.6,,,Constant Lestienne,R,180.0,FRA,30.6,3,74.0,4.0,2.0,47.0,29.0,25.0,13.0,9.0,1.0,1.0,3.0,1.0,56.0,39.0,22.0,10.0,8.0,5.0,8.0,5.0,4820.0,65.0,760.0
Adelaide 1,Adelaide International 1,2023-01-03,Outdoor,Hard,1st Round,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,106378,206173,Adelaide 1_2023_206173_106378,0.0,0.0,0.0,0.0,2023-2843,32,A,2023-01-03,6.0,,Jannik Sinner,R,188.0,ITA,21.3,,PR,Kyle Edmund,R,188.0,GBR,27.9,3,65.0,5.0,1.0,41.0,25.0,23.0,13.0,9.0,0.0,0.0,1.0,2.0,48.0,21.0,15.0,11.0,8.0,1.0,4.0,15.0,2410.0,582.0,52.0
Adelaide 1,Adelaide International 1,2023-01-03,Outdoor,Hard,1st Round,2.0,6.0,6.0,4.0,6.0,3.0,,,,,2.0,1.0,Completed,208014,133430,Adelaide 1_2023_133430_208014,0.0,0.0,0.0,0.0,2023-2843,32,A,2023-01-03,7.0,,Denis Shapovalov,L,185.0,CAN,23.7,,Q,Rinky Hijikata,U,,AUS,21.8,3,120.0,7.0,9.0,77.0,42.0,30.0,18.0,13.0,5.0,8.0,2.0,5.0,93.0,58.0,43.0,12.0,14.0,8.0,12.0,18.0,2075.0,164.0,344.0
Adelaide 1,Adelaide International 1,2023-01-03,Outdoor,Hard,1st Round,4.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,126094,105138,Adelaide 1_2023_105138_126094,0.0,0.0,0.0,0.0,2023-2843,32,A,2023-01-03,,,Roberto Bautista Agut,R,183.0,ESP,34.7,4.0,,Andrey Rublev,R,188.0,RUS,25.2,3,109.0,8.0,1.0,79.0,54.0,40.0,17.0,15.0,2.0,4.0,15.0,6.0,81.0,52.0,40.0,11.0,14.0,2.0,5.0,21.0,1940.0,8.0,3930.0
Adelaide 1,Adelaide International 1,2023-01-03,Outdoor,Hard,1st Round,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,104918,200624,Adelaide 1_2023_200624_104918,0.0,0.0,0.0,0.0,2023-2843,32,A,2023-01-03,,,Sebastian Korda,R,196.0,USA,22.4,,,Andy Murray,R,190.0,GBR,35.6,3,116.0,12.0,1.0,64.0,39.0,34.0,14.0,11.0,4.0,5.0,3.0,2.0,69.0,36.0,27.0,14.0,10.0,3.0,5.0,33.0,1175.0,49.0,920.0
Pune,Maharashtra Open,2023-01-03,Outdoor,Hard,1st Round,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,105430,126646,Pune_2023_126646_105430,0.0,0.0,0.0,0.0,2023-0891,32,A,2023-01-03,,,Tim Van Rijthoven,R,188.0,NED,25.6,,,Radu Albot,R,175.0,MDA,33.1,3,86.0,14.0,0.0,58.0,38.0,29.0,14.0,10.0,2.0,2.0,2.0,4.0,60.0,37.0,28.0,10.0,10.0,1.0,3.0,111.0,516.0,103.0,559.0
Pune,Maharashtra Open,2023-01-03,Outdoor,Hard,1st Round,6.0,2.0,3.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,111200,109739,Pune_2023_109739_111200,0.0,0.0,0.0,0.0,2023-0891,32,A,2023-01-03,,Q,Maximilian Marterer,L,191.0,GER,27.5,,Q,Elias Ymer,R,183.0,SWE,26.7,3,112.0,12.0,1.0,65.0,41.0,33.0,13.0,13.0,0.0,2.0,5.0,2.0,84.0,47.0,30.0,19.0,13.0,2.0,6.0,159.0,354.0,127.0,444.0
Pune,Maharashtra Open,2023-01-03,Outdoor,Hard,1st Round,3.0,6.0,7.0,5.0,6.0,3.0,,,,,2.0,1.0,Completed,106368,124079,Pune_2023_124079_106368,0.0,0.0,0.0,0.0,2023-0891,32,A,2023-01-03,,,Pedro Martinez,R,185.0,ESP,25.6,,Q,Ramkumar Ramanathan,R,188.0,IND,28.1,3,148.0,2.0,5.0,103.0,70.0,49.0,16.0,15.0,8.0,11.0,11.0,6.0,92.0,42.0,33.0,23.0,15.0,3.0,7.0,62.0,776.0,435.0,98.0
Pune,Maharashtra Open,2023-01-03,Outdoor,Hard,1st Round,6.0,1.0,6.0,3.0,,,,,,,2.0,0.0,Completed,104665,106234,Pune_2023_106234_104665,0.0,0.0,0.0,0.0,2023-0891,32,A,2023-01-03,8.0,,Aslan Karatsev,R,185.0,RUS,29.3,,,Pablo Andujar,R,180.0,ESP,36.9,3,63.0,5.0,1.0,40.0,26.0,23.0,9.0,8.0,0.0,0.0,1.0,2.0,47.0,34.0,17.0,4.0,8.0,3.0,7.0,59.0,795.0,121.0,467.0
Pune,Maharashtra Open,2023-01-03,Outdoor,Hard,1st Round,6.0,4.0,7.0,5.0,,,,,,,2.0,0.0,Completed,124154,207925,Pune_2023_207925_124154,0.0,0.0,0.0,0.0,2023-0891,32,A,2023-01-03,,Q,Flavio Cobolli,R,,ITA,20.6,,WC,Sasi Kumar Mukund,R,185.0,IND,25.9,3,98.0,6.0,2.0,65.0,36.0,29.0,12.0,11.0,6.0,9.0,1.0,1.0,67.0,44.0,27.0,7.0,11.0,5.0,10.0,171.0,335.0,340.0,146.0
Adelaide 1,Adelaide International 1,2023-01-04,Outdoor,Hard,2nd Round,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,207733,111575,Adelaide 1_2023_111575_207733,2.0,6.0,2.0,9.0,2023-2843,32,A,2023-01-04,8.0,,Karen Khachanov,R,198.0,RUS,26.6,,,Jack Draper,L,191.0,GBR,21.0,3,91.0,7.0,1.0,53.0,39.0,32.0,9.0,9.0,1.0,1.0,6.0,3.0,67.0,36.0,20.0,17.0,9.0,6.0,9.0,20.0,1990.0,42.0,990.0
Adelaide 1,Adelaide International 1,2023-01-04,Outdoor,Hard,2nd Round,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,111456,106415,Adelaide 1_2023_106415_111456,1.0,0.0,1.0,3.0,2023-2843,32,A,2023-01-04,,,Yoshihito Nishioka,L,170.0,JPN,27.2,,,Mackenzie Mcdonald,R,178.0,USA,27.7,3,95.0,0.0,2.0,72.0,49.0,29.0,17.0,9.0,4.0,4.0,3.0,2.0,57.0,36.0,26.0,8.0,10.0,1.0,4.0,36.0,1134.0,63.0,775.0
Adelaide 1,Adelaide International 1,2023-01-04,Outdoor,Hard,2nd Round,6.0,0.0,6.0,3.0,,,,,,,2.0,0.0,Completed,200175,106421,Adelaide 1_2023_106421_200175,1.0,1.0,2.0,4.0,2023-2843,32,A,2023-01-04,3.0,,Daniil Medvedev,R,198.0,RUS,26.8,,,Miomir Kecmanovic,R,183.0,SRB,23.3,3,67.0,7.0,3.0,51.0,38.0,29.0,7.0,8.0,1.0,1.0,0.0,0.0,42.0,31.0,13.0,6.0,7.0,3.0,7.0,7.0,4065.0,29.0,1420.0
Adelaide 1,Adelaide International 1,2023-01-04,Outdoor,Hard,2nd Round,4.0,6.0,6.0,4.0,6.0,3.0,,,,,2.0,1.0,Completed,106218,200615,Adelaide 1_2023_200615_106218,2.0,3.0,1.0,2.0,2023-2843,32,A,2023-01-04,,Q,Alexei Popyrin,R,196.0,AUS,23.4,,,Marcos Giron,R,180.0,USA,29.4,3,112.0,16.0,1.0,83.0,58.0,49.0,13.0,15.0,2.0,3.0,4.0,0.0,79.0,61.0,43.0,11.0,14.0,1.0,3.0,120.0,469.0,61.0,776.0
Pune,Maharashtra Open,2023-01-04,Outdoor,Hard,2nd Round,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,111513,109739,Pune_2023_109739_111513,1.0,4.0,2.0,6.0,2023-0891,32,A,2023-01-04,,Q,Maximilian Marterer,L,191.0,GER,27.5,,,Laslo Djere,R,188.0,SRB,27.5,3,91.0,11.0,2.0,63.0,45.0,34.0,14.0,10.0,0.0,0.0,6.0,3.0,66.0,40.0,30.0,13.0,10.0,7.0,9.0,159.0,354.0,70.0,738.0
Pune,Maharashtra Open,2023-01-04,Outdoor,Hard,2nd Round,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,126646,106234,Pune_2023_106234_126646,2.0,8.0,2.0,4.0,2023-0891,32,A,2023-01-04,8.0,,Aslan Karatsev,R,185.0,RUS,29.3,,,Tim Van Rijthoven,R,188.0,NED,25.6,3,129.0,9.0,6.0,88.0,57.0,47.0,16.0,12.0,1.0,2.0,10.0,6.0,91.0,55.0,44.0,19.0,12.0,7.0,8.0,59.0,795.0,111.0,516.0
Pune,Maharashtra Open,2023-01-04,Outdoor,Hard,2nd Round,3.0,6.0,6.0,1.0,6.0,3.0,,,,,2.0,1.0,Completed,202104,124079,Pune_2023_124079_202104,1.0,2.0,0.0,0.0,2023-0891,32,A,2023-01-04,,,Pedro Martinez,R,185.0,ESP,25.6,4.0,,Sebastian Baez,R,170.0,ARG,22.0,3,132.0,0.0,3.0,77.0,54.0,42.0,10.0,12.0,6.0,7.0,5.0,1.0,85.0,66.0,43.0,6.0,13.0,6.0,10.0,62.0,776.0,43.0,987.0
