,player_id,name,rank,age,hand
0,126205,Paul Tommy,11.0,27.0,right
1,207989,Alcaraz Carlos,3.0,21.0,right
2,100644,Zverev Alexander,2.0,27.0,right
3,200221,Davidovich Fokina Alejandro,66.0,25.0,right
4,200005,Humbert Ugo,14.0,26.0,left
5,104925,Djokovic Novak,7.0,37.0,right
6,208103,Lehecka Jiri,29.0,23.0,right
7,207733,Draper Jack,18.0,23.0,left
8,206173,Sinner Jannik,1.0,23.0,right
9,208029,Rune Holger,13.0,21.0,right
10,200282,De Minaur Alex,8.0,25.0,right
11,210097,Shelton Ben,20.0,22.0,left
12,210506,Michelsen Alex,42.0,20.0,right
13,210530,Tien Learner,121.0,19.0,left
14,104792,Monfils Gael,41.0,38.0,right
15,132283,Sonego Lorenzo,55.0,29.0,right
16,106148,Carballes Baena Roberto,57.0,31.0,right
17,132686,Borges Nuno,33.0,27.0,right
18,745390,Fearnley Jacob,92.0,23.0,right
19,210150,Mensik Jakub,48.0,19.0,right
20,209950,Fils Arthur,21.0,20.0,right
21,207830,Machac Tomas,25.0,24.0,right
22,126127,Bonzi Benjamin,64.0,28.0,right
23,126846,Vukic Aleksandar,68.0,28.0,right
24,106218,Giron Marcos,46.0,31.0,right
25,200175,Kecmanovic Miomir,51.0,25.0,right
26,202103,Cerundolo Francisco,31.0,26.0,right
27,207518,Musetti Lorenzo,15.0,22.0,right
28,111575,Khachanov Karen,19.0,28.0,right
29,144895,Moutet Corentin,69.0,25.0,left
30,126203,Fritz Taylor,4.0,27.0,right
31,206681,Marozsan Fabian,59.0,25.0,right
