,tournament_id,tournament_name,tournament_location,tournament_level,Surface,indoor_or_outdoor
0,melbourne_2025,AUSTRALIAN OPEN,melbourne,Grand Slam,hard,outdoor
1,montpellier_2025,MONTPELLIER,montpellier,ATP 250,hard,INDOOR
