,match_id,date,tournament_id,Round,indoor_or_outdoor,best_of,minutes,winner_id,loser_id,winner_seed,loser_seed,winner_entry,loser_entry,winner_rank,loser_rank,winner_rank_points,loser_rank_points,winner_age,loser_age,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,w_ace,l_ace,w_df,l_df,w_bpSaved,l_bpSaved,w_bpFaced,l_bpFaced,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,w_2ndIn,l_2ndIn,winner_1st_serve_in_pct,winner_1st_serve_win_pct,winner_2nd_serve_in_pct,winner_2nd_serve_win_pct,winner_service_games_won_pct,loser_1st_serve_in_pct,loser_1st_serve_win_pct,loser_2nd_serve_in_pct,loser_2nd_serve_win_pct,loser_service_games_won_pct,winner_1st_serve_return_win_pct,winner_2nd_serve_return_win_pct,winner_return_games_win_pct,loser_1st_serve_return_win_pct,loser_2nd_serve_return_win_pct,loser_return_games_win_pct,winner_bp_won_pct,loser_bp_won_pct,winner_bp_saved_pct,loser_bp_saved_pct,l_SvGms,Comment,AvgW,AvgL,winner_model_prediction,winner_odds_prediction,uncertain,scheduled
10,melbourne_2025_111575_210506,2025-01-18,melbourne_2025,3rd Round,outdoor,5,130.0,210506,111575,,19,,,42.0,19.0,2000,2000,20.0,28.0,6,3,7,6,6,2,,,,,3.0,0.0,8.0,14.0,4.0,1.0,2.0,0.0,3.0,4.0,99.0,62.0,45.0,22.0,15.0,2.0,14.0,1.0,83.0,52.0,38.0,15.0,33.0,30.0,0.6262626262626263,0.7258064516129032,0.8918918918918919,0.5945945945945946,0.9333333333333333,0.6265060240963856,0.7307692307692307,0.967741935483871,0.4838709677419355,0.7142857142857143,0.2692307692307693,0.5161290322580645,0.2857142857142857,0.27419354838709675,0.4054054054054054,0.06666666666666665,1.0,0.3333333333333333,0.6666666666666666,0.0,14.0,final,2.37,1.6,0.21637076139450073,0.40302268522804396,True,False
11,melbourne_2025_144895_210530,2025-01-18,melbourne_2025,3rd Round,outdoor,5,169.0,210530,144895,,,,,121.0,69.0,2000,2000,19.0,25.0,7,6,6,3,6,3,,,,,3.0,0.0,1.0,3.0,5.0,2.0,10.0,9.0,13.0,15.0,107.0,56.0,41.0,28.0,15.0,10.0,3.0,2.0,107.0,75.0,45.0,15.0,46.0,30.0,0.5233644859813084,0.7321428571428571,0.9019607843137255,0.5490196078431373,0.8,0.7009345794392523,0.6,0.9375,0.46875,0.6,0.4,0.53125,0.4,0.2678571428571429,0.4509803921568627,0.19999999999999996,0.4,0.23076923076923078,0.7692307692307693,0.6,15.0,final,1.82,2.01,0.3030567765235901,0.5248041691752233,True,False
12,melbourne_2025_200282_202103,2025-01-18,melbourne_2025,3rd Round,outdoor,5,233.0,200282,202103,8,31,,,8.0,31.0,2000,2000,25.0,26.0,5,7,7,6,6,3,6,3,,,3.0,1.0,7.0,5.0,9.0,6.0,4.0,9.0,9.0,16.0,137.0,67.0,47.0,39.0,21.0,4.0,5.0,6.0,152.0,79.0,50.0,34.0,61.0,67.0,0.48905109489051096,0.7014925373134329,0.8714285714285714,0.5571428571428572,0.7619047619047619,0.5197368421052632,0.6329113924050633,0.9178082191780822,0.4657534246575342,0.6666666666666666,0.36708860759493667,0.5342465753424658,0.33333333333333337,0.29850746268656714,0.44285714285714284,0.23809523809523814,0.4375,0.5555555555555556,0.4444444444444444,0.5625,21.0,final,1.1,7.56,0.8597902059555054,0.8729792115379175,False,False
13,melbourne_2025_200175_208029,2025-01-18,melbourne_2025,3rd Round,outdoor,5,210.0,208029,200175,13,,,,13.0,51.0,2000,2000,21.0,25.0,6,7,6,3,4,6,6,4,6,4,3.0,2.0,16.0,4.0,5.0,6.0,3.0,9.0,8.0,16.0,158.0,95.0,73.0,27.0,26.0,3.0,4.0,6.0,151.0,95.0,66.0,27.0,58.0,50.0,0.6012658227848101,0.7684210526315789,0.9206349206349206,0.42857142857142855,0.8076923076923077,0.6291390728476821,0.6947368421052632,0.8928571428571429,0.48214285714285715,0.72,0.3052631578947368,0.5178571428571428,0.28,0.2315789473684211,0.5714285714285714,0.1923076923076923,0.4375,0.625,0.375,0.5625,25.0,final,1.48,2.85,0.8550106287002563,0.6581986038912556,False,False
14,melbourne_2025_106218_206173,2025-01-18,melbourne_2025,3rd Round,outdoor,5,119.0,206173,106218,1,,,,1.0,46.0,2000,2000,23.0,31.0,6,3,6,4,6,2,,,,,3.0,0.0,8.0,2.0,2.0,2.0,6.0,5.0,7.0,10.0,83.0,50.0,41.0,17.0,14.0,6.0,2.0,2.0,82.0,48.0,32.0,12.0,31.0,32.0,0.6024096385542169,0.82,0.9393939393939394,0.5151515151515151,0.9285714285714286,0.5853658536585366,0.6666666666666666,0.9411764705882353,0.35294117647058826,0.6153846153846154,0.33333333333333337,0.6470588235294117,0.3846153846153846,0.18000000000000005,0.48484848484848486,0.0714285714285714,0.5,0.14285714285714285,0.8571428571428571,0.5,13.0,final,1.01,23.0,0.9903914928436279,0.9579341944662879,False,False
15,melbourne_2025_207518_210097,2025-01-18,melbourne_2025,3rd Round,outdoor,5,172.0,210097,207518,21,16,,,20.0,15.0,2000,2000,22.0,22.0,6,3,3,6,6,4,7,6,,,3.0,1.0,11.0,2.0,3.0,3.0,4.0,3.0,6.0,6.0,119.0,83.0,67.0,17.0,20.0,4.0,2.0,3.0,116.0,69.0,51.0,28.0,33.0,44.0,0.6974789915966386,0.8072289156626506,0.9166666666666666,0.4722222222222222,0.9,0.5948275862068966,0.7391304347826086,0.9361702127659575,0.5957446808510638,0.85,0.26086956521739135,0.4042553191489362,0.15000000000000002,0.19277108433734935,0.5277777777777778,0.09999999999999998,0.5,0.3333333333333333,0.6666666666666666,0.5,20.0,final,1.63,2.32,0.6024715602397919,0.5873417658867733,False,False
16,melbourne_2025_126205_200221,2025-01-19,melbourne_2025,4th Round,outdoor,5,80.0,126205,200221,12,,,,11.0,66.0,2000,2000,27.0,25.0,6,1,6,1,6,1,,,,,3.0,0.0,8.0,2.0,0.0,0.0,3.0,6.0,3.0,13.0,67.0,45.0,38.0,12.0,11.0,3.0,2.0,0.0,61.0,36.0,18.0,8.0,22.0,25.0,0.6716417910447762,0.8444444444444444,1.0,0.5454545454545454,1.0,0.5901639344262295,0.5,1.0,0.32,0.3,0.5,0.6799999999999999,0.7,0.15555555555555556,0.4545454545454546,0.0,0.5384615384615384,0.0,1.0,0.46153846153846156,10.0,final,1.28,3.82,0.9285823106765747,0.7490196087597791,False,False
17,melbourne_2025_207733_207989,2025-01-19,melbourne_2025,4th Round,outdoor,5,90.0,207989,207733,3,15,,,3.0,18.0,2000,2000,21.0,23.0,7,5,6,1,,,,,,,2.0,0.0,6.0,5.0,5.0,2.0,2.0,8.0,3.0,12.0,59.0,40.0,33.0,7.0,10.0,2.0,5.0,2.0,68.0,40.0,22.0,12.0,14.0,26.0,0.6779661016949152,0.825,0.7368421052631579,0.3684210526315789,0.9,0.5882352941176471,0.55,0.9285714285714286,0.42857142857142855,0.5555555555555556,0.44999999999999996,0.5714285714285714,0.4444444444444444,0.17500000000000004,0.631578947368421,0.09999999999999998,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,9.0,retired,1.1,7.56,0.8857321441173553,0.8729792115379176,False,False
18,melbourne_2025_100644_200005,2025-01-19,melbourne_2025,4th Round,outdoor,5,139.0,100644,200005,2,14,,,2.0,14.0,2000,2000,27.0,26.0,6,1,2,6,6,3,6,2,,,3.0,1.0,19.0,12.0,3.0,3.0,5.0,10.0,7.0,16.0,86.0,61.0,51.0,12.0,16.0,5.0,12.0,3.0,104.0,74.0,51.0,7.0,22.0,27.0,0.7093023255813954,0.8360655737704918,0.88,0.48,0.875,0.7115384615384616,0.6891891891891891,0.9,0.23333333333333334,0.625,0.31081081081081086,0.7666666666666666,0.375,0.16393442622950816,0.52,0.125,0.375,0.2857142857142857,0.7142857142857143,0.625,16.0,final,1.21,4.54,0.8960883021354675,0.7895652107570482,False,False
19,melbourne_2025_104925_208103,2025-01-19,melbourne_2025,4th Round,outdoor,5,161.0,104925,208103,7,24,,,7.0,29.0,2000,2000,37.0,23.0,6,3,6,4,7,6,,,,,3.0,0.0,9.0,11.0,3.0,4.0,2.0,8.0,3.0,11.0,92.0,54.0,44.0,24.0,16.0,2.0,11.0,4.0,106.0,60.0,47.0,19.0,35.0,42.0,0.5869565217391305,0.8148148148148148,0.9210526315789473,0.631578947368421,0.9375,0.5660377358490566,0.7833333333333333,0.9130434782608695,0.41304347826086957,0.8,0.21666666666666667,0.5869565217391304,0.19999999999999996,0.18518518518518523,0.368421052631579,0.0625,0.2727272727272727,0.3333333333333333,0.6666666666666666,0.7272727272727273,15.0,final,1.28,3.78,0.8810893893241882,0.7470355759161045,False,False
20,melbourne_2025_206173_208029,2025-01-20,melbourne_2025,4th Round,outdoor,5,185.0,206173,208029,1,13,,,1.0,13.0,2000,2000,23.0,21.0,6,3,3,6,6,3,6,2,,,3.0,1.0,14.0,5.0,6.0,4.0,4.0,4.0,5.0,8.0,105.0,59.0,49.0,27.0,18.0,4.0,5.0,4.0,110.0,68.0,45.0,21.0,40.0,38.0,0.5619047619047619,0.8305084745762712,0.8695652173913043,0.5869565217391305,0.9444444444444444,0.6181818181818182,0.6617647058823529,0.9047619047619048,0.5,0.7647058823529411,0.3382352941176471,0.5,0.23529411764705888,0.1694915254237288,0.4130434782608695,0.05555555555555558,0.5,0.2,0.8,0.5,17.0,final,1.09,8.01,0.9649197459220886,0.8802197800038474,False,False
21,melbourne_2025_200282_210506,2025-01-20,melbourne_2025,4th Round,outdoor,5,130.0,200282,210506,8,,,,8.0,42.0,2000,2000,25.0,20.0,6,0,7,6,6,3,,,,,3.0,0.0,5.0,3.0,1.0,1.0,3.0,6.0,4.0,11.0,90.0,38.0,30.0,33.0,14.0,3.0,3.0,1.0,87.0,58.0,35.0,14.0,51.0,28.0,0.4222222222222222,0.7894736842105263,0.9807692307692307,0.6346153846153846,0.9285714285714286,0.6666666666666666,0.603448275862069,0.9655172413793104,0.4827586206896552,0.6153846153846154,0.39655172413793105,0.5172413793103448,0.3846153846153846,0.21052631578947367,0.3653846153846154,0.0714285714285714,0.45454545454545453,0.25,0.75,0.5454545454545454,13.0,final,1.28,3.78,0.844086229801178,0.7470355759161046,True,False
22,melbourne_2025_104792_210097,2025-01-20,melbourne_2025,4th Round,outdoor,5,179.0,210097,104792,21,,,,20.0,41.0,2000,2000,22.0,38.0,7,6,6,7,7,6,,,,,2.0,1.0,7.0,12.0,3.0,9.0,5.0,2.0,6.0,4.0,120.0,83.0,67.0,20.0,18.0,5.0,12.0,9.0,124.0,74.0,61.0,23.0,34.0,41.0,0.6916666666666667,0.8072289156626506,0.918918918918919,0.5405405405405406,0.9444444444444444,0.5967741935483871,0.8243243243243243,0.82,0.46,0.8947368421052632,0.17567567567567566,0.54,0.10526315789473684,0.19277108433734935,0.45945945945945943,0.05555555555555558,0.5,0.16666666666666666,0.8333333333333334,0.5,19.0,retired,1.56,2.46,0.7101394236087799,0.611940310900201,True,False
23,melbourne_2025_132283_210530,2025-01-20,melbourne_2025,4th Round,outdoor,5,144.0,132283,210530,,,,,55.0,121.0,2000,2000,29.0,19.0,6,3,6,2,3,6,6,1,,,3.0,1.0,20.0,4.0,2.0,7.0,3.0,6.0,4.0,11.0,95.0,63.0,57.0,14.0,17.0,3.0,4.0,7.0,102.0,58.0,43.0,14.0,30.0,37.0,0.6631578947368421,0.9047619047619048,0.9375,0.4375,0.9411764705882353,0.5686274509803921,0.7413793103448276,0.8409090909090909,0.3181818181818182,0.6875,0.2586206896551724,0.6818181818181819,0.3125,0.09523809523809523,0.5625,0.05882352941176472,0.45454545454545453,0.25,0.75,0.5454545454545454,16.0,final,1.86,2.05,0.6738541126251221,0.5242966674722694,True,False
24,melbourne_2025_104925_207989,2025-01-21,melbourne_2025,Quarterfinals,outdoor,5,215.0,104925,207989,7,3,,,7.0,3.0,2000,2000,37.0,21.0,4,6,6,4,6,3,6,4,,,3.0,1.0,5.0,10.0,3.0,5.0,7.0,7.0,11.0,13.0,136.0,86.0,54.0,29.0,20.0,7.0,10.0,5.0,125.0,92.0,62.0,11.0,47.0,28.0,0.6323529411764706,0.627906976744186,0.94,0.58,0.8,0.736,0.6739130434782609,0.8484848484848485,0.3333333333333333,0.6842105263157895,0.32608695652173914,0.6666666666666667,0.3157894736842105,0.37209302325581395,0.42000000000000004,0.19999999999999996,0.46153846153846156,0.36363636363636365,0.6363636363636364,0.5384615384615384,19.0,final,2.51,1.54,0.5621765851974487,0.38024690863817606,False,False
25,melbourne_2025_100644_126205,2025-01-21,melbourne_2025,Quarterfinals,outdoor,5,212.0,100644,126205,2,12,,,2.0,11.0,2000,2000,27.0,27.0,7,6,7,6,2,6,6,1,,,3.0,1.0,7.0,9.0,5.0,2.0,7.0,3.0,11.0,7.0,135.0,93.0,67.0,22.0,20.0,7.0,9.0,2.0,118.0,76.0,51.0,21.0,37.0,40.0,0.6888888888888889,0.7204301075268817,0.8809523809523809,0.5238095238095238,0.8,0.6440677966101694,0.6710526315789473,0.9523809523809523,0.5,0.7894736842105263,0.32894736842105265,0.5,0.21052631578947367,0.27956989247311825,0.47619047619047616,0.19999999999999996,0.5714285714285714,0.36363636363636365,0.6363636363636364,0.42857142857142855,19.0,final,1.36,3.23,0.7476596236228943,0.7037037027417955,False,False
26,melbourne_2025_200282_206173,2025-01-22,melbourne_2025,Quarterfinals,outdoor,5,,206173,200282,1,8,,,1.0,8.0,2000,2000,23.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,5.25,0.9045218825340271,0.813953482354678,False,True
27,melbourne_2025_132283_210097,2025-01-22,melbourne_2025,Quarterfinals,outdoor,5,,210097,132283,21,,,,20.0,55.0,2000,2000,22.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,3.5,0.7737013101577759,0.721649480988564,True,True
