ATP,tourney_location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,loser_id,winner_id,match_id,Winner_Sets_Before,Winner_Gems_Before,Loser_Sets_Before,Loser_Gems_Before
1,Adelaide 1,Adelaide International 1,2023-01-03,ATP250,Outdoor,Hard,1st Round,3,Medvedev D.,Sonego L.,7.0,45.0,4065.0,950.0,7.0,6.0,2.0,1.0,,,,,,,1.0,0.0,Retired,1.11,6.5,1.13,7.18,1.15,7.18,1.12,6.15,132283,106421,Adelaide 1_2023_106421_132283,0.0,0.0,0.0,0.0
1,Adelaide 1,Adelaide International 1,2023-01-03,ATP250,Outdoor,Hard,1st Round,3,Khachanov K.,Cachin P.,20.0,57.0,1990.0,813.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.17,5.0,1.18,5.52,1.24,5.52,1.18,4.84,106398,111575,Adelaide 1_2023_111575_106398,0.0,0.0,0.0,0.0
1,Adelaide 1,Adelaide International 1,2023-01-03,ATP250,Outdoor,Hard,1st Round,3,Djokovic N.,Lestienne C.,5.0,65.0,4820.0,760.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.03,17.0,1.02,18.89,1.04,18.89,1.02,13.52,106005,104925,Adelaide 1_2023_104925_106005,0.0,0.0,0.0,0.0
1,Adelaide 1,Adelaide International 1,2023-01-03,ATP250,Outdoor,Hard,1st Round,3,Sinner J.,Edmund K.,15.0,582.0,2410.0,52.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.13,6.0,1.13,7.01,1.15,7.01,1.12,6.04,106378,206173,Adelaide 1_2023_206173_106378,0.0,0.0,0.0,0.0
1,Adelaide 1,Adelaide International 1,2023-01-03,ATP250,Outdoor,Hard,1st Round,3,Shapovalov D.,Hijikata R.,18.0,164.0,2075.0,344.0,2.0,6.0,6.0,4.0,6.0,3.0,,,,,2.0,1.0,Completed,1.25,4.0,1.29,3.96,1.29,4.1,1.26,3.82,208014,133430,Adelaide 1_2023_133430_208014,0.0,0.0,0.0,0.0
1,Adelaide 1,Adelaide International 1,2023-01-03,ATP250,Outdoor,Hard,1st Round,3,Bautista Agut R.,Rublev A.,21.0,8.0,1940.0,3930.0,4.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,3.0,1.4,2.72,1.5,3.0,1.5,2.71,1.46,126094,105138,Adelaide 1_2023_105138_126094,0.0,0.0,0.0,0.0
1,Adelaide 1,Adelaide International 1,2023-01-03,ATP250,Outdoor,Hard,1st Round,3,Korda S.,Murray A.,33.0,49.0,1175.0,920.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.57,2.38,1.62,2.44,1.63,2.56,1.58,2.36,104918,200624,Adelaide 1_2023_200624_104918,0.0,0.0,0.0,0.0
2,Pune,Maharashtra Open,2023-01-03,ATP250,Outdoor,Hard,1st Round,3,Van Rijthoven T.,Albot R.,111.0,103.0,516.0,559.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.8,2.0,1.83,2.08,1.87,2.11,1.79,2.01,105430,126646,Pune_2023_126646_105430,0.0,0.0,0.0,0.0
2,Pune,Maharashtra Open,2023-01-03,ATP250,Outdoor,Hard,1st Round,3,Marterer M.,Ymer E.,159.0,127.0,354.0,444.0,6.0,2.0,3.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,2.1,1.73,2.06,1.83,2.15,1.83,2.04,1.77,111200,109739,Pune_2023_109739_111200,0.0,0.0,0.0,0.0
2,Pune,Maharashtra Open,2023-01-03,ATP250,Outdoor,Hard,1st Round,3,Martinez P.,Ramanathan R.,62.0,435.0,776.0,98.0,3.0,6.0,7.0,5.0,6.0,3.0,,,,,2.0,1.0,Completed,1.57,2.38,1.66,2.34,1.75,2.4,1.63,2.25,106368,124079,Pune_2023_124079_106368,0.0,0.0,0.0,0.0
