,0
12000,"{'temperature_2m': 25.8, 'relative_humidity_2m': 75, 'windspeed_10m': 13.0, 'apparent_temperature': 28.3}"
12001,"{'temperature_2m': 25.8, 'relative_humidity_2m': 41, 'windspeed_10m': 16.5, 'apparent_temperature': 23.8}"
12002,"{'temperature_2m': 22.1, 'relative_humidity_2m': 15, 'windspeed_10m': 6.2, 'apparent_temperature': 20.1}"
12003,"{'temperature_2m': 20.1, 'relative_humidity_2m': 18, 'windspeed_10m': 6.6, 'apparent_temperature': 16.8}"
12004,"{'temperature_2m': 22.8, 'relative_humidity_2m': 15, 'windspeed_10m': 12.9, 'apparent_temperature': 18.6}"
12005,"{'temperature_2m': 22.8, 'relative_humidity_2m': 15, 'windspeed_10m': 12.9, 'apparent_temperature': 18.6}"
12006,"{'temperature_2m': 22.8, 'relative_humidity_2m': 15, 'windspeed_10m': 12.9, 'apparent_temperature': 18.6}"
12007,"{'temperature_2m': 22.1, 'relative_humidity_2m': 15, 'windspeed_10m': 6.2, 'apparent_temperature': 20.1}"
12008,"{'temperature_2m': 19.5, 'relative_humidity_2m': 18, 'windspeed_10m': 8.0, 'apparent_temperature': 16.8}"
12009,"{'temperature_2m': 19.5, 'relative_humidity_2m': 18, 'windspeed_10m': 8.0, 'apparent_temperature': 16.8}"
12010,"{'temperature_2m': 19.5, 'relative_humidity_2m': 18, 'windspeed_10m': 8.0, 'apparent_temperature': 16.8}"
12011,"{'temperature_2m': 22.1, 'relative_humidity_2m': 15, 'windspeed_10m': 6.2, 'apparent_temperature': 20.1}"
12012,"{'temperature_2m': 19.5, 'relative_humidity_2m': 18, 'windspeed_10m': 8.0, 'apparent_temperature': 16.8}"
12013,"{'temperature_2m': 22.1, 'relative_humidity_2m': 15, 'windspeed_10m': 6.2, 'apparent_temperature': 20.1}"
12014,"{'temperature_2m': 24.2, 'relative_humidity_2m': 13, 'windspeed_10m': 12.3, 'apparent_temperature': 20.6}"
12015,"{'temperature_2m': 23.9, 'relative_humidity_2m': 13, 'windspeed_10m': 12.4, 'apparent_temperature': 19.4}"
12016,"{'temperature_2m': 23.4, 'relative_humidity_2m': 13, 'windspeed_10m': 10.5, 'apparent_temperature': 20.4}"
12017,"{'temperature_2m': 22.8, 'relative_humidity_2m': 15, 'windspeed_10m': 12.9, 'apparent_temperature': 18.6}"
12018,"{'temperature_2m': 24.1, 'relative_humidity_2m': 13, 'windspeed_10m': 12.4, 'apparent_temperature': 20.8}"
12019,"{'temperature_2m': 23.9, 'relative_humidity_2m': 13, 'windspeed_10m': 12.4, 'apparent_temperature': 19.4}"
12020,"{'temperature_2m': 18.8, 'relative_humidity_2m': 28, 'windspeed_10m': 13.5, 'apparent_temperature': 14.7}"
12021,"{'temperature_2m': 22.0, 'relative_humidity_2m': 14, 'windspeed_10m': 6.7, 'apparent_temperature': 19.2}"
12022,"{'temperature_2m': 18.0, 'relative_humidity_2m': 32, 'windspeed_10m': 11.2, 'apparent_temperature': 14.4}"
12023,"{'temperature_2m': 22.0, 'relative_humidity_2m': 14, 'windspeed_10m': 6.7, 'apparent_temperature': 19.2}"
12024,"{'temperature_2m': 18.8, 'relative_humidity_2m': 28, 'windspeed_10m': 13.5, 'apparent_temperature': 14.7}"
12025,"{'temperature_2m': 23.4, 'relative_humidity_2m': 13, 'windspeed_10m': 10.5, 'apparent_temperature': 20.4}"
12026,"{'temperature_2m': 22.0, 'relative_humidity_2m': 14, 'windspeed_10m': 6.7, 'apparent_temperature': 19.2}"
12027,"{'temperature_2m': 15.6, 'relative_humidity_2m': 37, 'windspeed_10m': 8.4, 'apparent_temperature': 12.4}"
12028,"{'temperature_2m': 22.0, 'relative_humidity_2m': 14, 'windspeed_10m': 6.7, 'apparent_temperature': 19.2}"
12029,"{'temperature_2m': 22.5, 'relative_humidity_2m': 26, 'windspeed_10m': 12.3, 'apparent_temperature': 18.9}"
12030,"{'temperature_2m': 22.6, 'relative_humidity_2m': 15, 'windspeed_10m': 20.0, 'apparent_temperature': 16.8}"
12031,"{'temperature_2m': 22.6, 'relative_humidity_2m': 15, 'windspeed_10m': 20.0, 'apparent_temperature': 16.8}"
12032,"{'temperature_2m': 23.9, 'relative_humidity_2m': 13, 'windspeed_10m': 12.4, 'apparent_temperature': 19.4}"
12033,"{'temperature_2m': 22.8, 'relative_humidity_2m': 34, 'windspeed_10m': 9.0, 'apparent_temperature': 20.5}"
12034,"{'temperature_2m': 22.8, 'relative_humidity_2m': 31, 'windspeed_10m': 9.8, 'apparent_temperature': 20.1}"
