,0
500,"{'temperature_2m': 9.2, 'relative_humidity_2m': 51, 'windspeed_10m': 15.0, 'apparent_temperature': 4.9}"
501,"{'temperature_2m': 24.8, 'relative_humidity_2m': 81, 'windspeed_10m': 7.7, 'apparent_temperature': 28.3}"
502,"{'temperature_2m': 25.4, 'relative_humidity_2m': 78, 'windspeed_10m': 16.2, 'apparent_temperature': 27.6}"
503,"{'temperature_2m': 25.8, 'relative_humidity_2m': 81, 'windspeed_10m': 18.9, 'apparent_temperature': 28.1}"
504,"{'temperature_2m': 23.2, 'relative_humidity_2m': 76, 'windspeed_10m': 17.6, 'apparent_temperature': 24.0}"
505,"{'temperature_2m': 25.3, 'relative_humidity_2m': 65, 'windspeed_10m': 25.8, 'apparent_temperature': 25.5}"
506,"{'temperature_2m': 9.8, 'relative_humidity_2m': 50, 'windspeed_10m': 12.5, 'apparent_temperature': 5.8}"
507,"{'temperature_2m': 23.9, 'relative_humidity_2m': 73, 'windspeed_10m': 17.3, 'apparent_temperature': 24.7}"
508,"{'temperature_2m': 25.3, 'relative_humidity_2m': 62, 'windspeed_10m': 21.8, 'apparent_temperature': 24.8}"
509,"{'temperature_2m': 6.2, 'relative_humidity_2m': 70, 'windspeed_10m': 9.1, 'apparent_temperature': 2.9}"
510,"{'temperature_2m': 25.6, 'relative_humidity_2m': 65, 'windspeed_10m': 24.7, 'apparent_temperature': 25.9}"
511,"{'temperature_2m': 25.3, 'relative_humidity_2m': 66, 'windspeed_10m': 24.2, 'apparent_temperature': 25.4}"
512,"{'temperature_2m': 7.4, 'relative_humidity_2m': 88, 'windspeed_10m': 12.1, 'apparent_temperature': 4.5}"
513,"{'temperature_2m': 23.9, 'relative_humidity_2m': 89, 'windspeed_10m': 2.5, 'apparent_temperature': 28.4}"
514,"{'temperature_2m': 24.7, 'relative_humidity_2m': 82, 'windspeed_10m': 7.4, 'apparent_temperature': 28.2}"
515,"{'temperature_2m': 26.0, 'relative_humidity_2m': 73, 'windspeed_10m': 11.6, 'apparent_temperature': 28.6}"
516,"{'temperature_2m': 7.5, 'relative_humidity_2m': 84, 'windspeed_10m': 12.6, 'apparent_temperature': 4.4}"
517,"{'temperature_2m': 11.1, 'relative_humidity_2m': 51, 'windspeed_10m': 19.6, 'apparent_temperature': 6.3}"
518,"{'temperature_2m': 25.6, 'relative_humidity_2m': 77, 'windspeed_10m': 13.7, 'apparent_temperature': 28.1}"
519,"{'temperature_2m': 25.7, 'relative_humidity_2m': 63, 'windspeed_10m': 15.5, 'apparent_temperature': 26.6}"
