,0
11500,"{'temperature_2m': 18.2, 'relative_humidity_2m': 81, 'windspeed_10m': 37.1, 'apparent_temperature': 14.5}"
11501,"{'temperature_2m': 29.0, 'relative_humidity_2m': 37, 'windspeed_10m': 19.5, 'apparent_temperature': 29.6}"
11502,"{'temperature_2m': 28.2, 'relative_humidity_2m': 35, 'windspeed_10m': 7.8, 'apparent_temperature': 30.3}"
11503,"{'temperature_2m': 26.7, 'relative_humidity_2m': 38, 'windspeed_10m': 3.4, 'apparent_temperature': 28.9}"
11504,"{'temperature_2m': 19.3, 'relative_humidity_2m': 87, 'windspeed_10m': 32.5, 'apparent_temperature': 17.1}"
11505,"{'temperature_2m': 27.5, 'relative_humidity_2m': 37, 'windspeed_10m': 17.3, 'apparent_temperature': 25.5}"
11506,"{'temperature_2m': 20.6, 'relative_humidity_2m': 74, 'windspeed_10m': 31.7, 'apparent_temperature': 18.1}"
11507,"{'temperature_2m': 18.7, 'relative_humidity_2m': 84, 'windspeed_10m': 34.0, 'apparent_temperature': 15.8}"
11508,"{'temperature_2m': 20.6, 'relative_humidity_2m': 76, 'windspeed_10m': 38.4, 'apparent_temperature': 17.2}"
11509,"{'temperature_2m': 20.5, 'relative_humidity_2m': 77, 'windspeed_10m': 30.5, 'apparent_temperature': 18.8}"
11510,"{'temperature_2m': 18.7, 'relative_humidity_2m': 85, 'windspeed_10m': 38.4, 'apparent_temperature': 15.2}"
11511,"{'temperature_2m': 29.6, 'relative_humidity_2m': 30, 'windspeed_10m': 15.0, 'apparent_temperature': 29.6}"
11512,"{'temperature_2m': 18.7, 'relative_humidity_2m': 84, 'windspeed_10m': 34.0, 'apparent_temperature': 15.8}"
11513,"{'temperature_2m': 20.3, 'relative_humidity_2m': 78, 'windspeed_10m': 25.4, 'apparent_temperature': 19.0}"
11514,"{'temperature_2m': 27.6, 'relative_humidity_2m': 34, 'windspeed_10m': 6.4, 'apparent_temperature': 28.6}"
11515,"{'temperature_2m': 28.8, 'relative_humidity_2m': 33, 'windspeed_10m': 16.4, 'apparent_temperature': 29.3}"
11516,"{'temperature_2m': 28.8, 'relative_humidity_2m': 33, 'windspeed_10m': 16.4, 'apparent_temperature': 29.3}"
11517,"{'temperature_2m': 28.2, 'relative_humidity_2m': 36, 'windspeed_10m': 11.1, 'apparent_temperature': 29.6}"
11518,"{'temperature_2m': 27.1, 'relative_humidity_2m': 36, 'windspeed_10m': 13.8, 'apparent_temperature': 25.8}"
11519,"{'temperature_2m': 27.6, 'relative_humidity_2m': 34, 'windspeed_10m': 6.4, 'apparent_temperature': 28.6}"
11520,"{'temperature_2m': 26.4, 'relative_humidity_2m': 56, 'windspeed_10m': 12.5, 'apparent_temperature': 27.0}"
11521,"{'temperature_2m': 25.7, 'relative_humidity_2m': 47, 'windspeed_10m': 12.8, 'apparent_temperature': 26.9}"
11522,"{'temperature_2m': 19.3, 'relative_humidity_2m': 80, 'windspeed_10m': 10.8, 'apparent_temperature': 19.7}"
11523,"{'temperature_2m': 28.6, 'relative_humidity_2m': 39, 'windspeed_10m': 17.3, 'apparent_temperature': 29.8}"
11524,"{'temperature_2m': 28.7, 'relative_humidity_2m': 42, 'windspeed_10m': 18.5, 'apparent_temperature': 29.7}"
11525,"{'temperature_2m': 28.8, 'relative_humidity_2m': 32, 'windspeed_10m': 15.8, 'apparent_temperature': 26.7}"
11526,"{'temperature_2m': 20.0, 'relative_humidity_2m': 76, 'windspeed_10m': 15.3, 'apparent_temperature': 20.6}"
11527,"{'temperature_2m': 18.4, 'relative_humidity_2m': 87, 'windspeed_10m': 9.1, 'apparent_temperature': 19.2}"
11528,"{'temperature_2m': 20.7, 'relative_humidity_2m': 71, 'windspeed_10m': 13.1, 'apparent_temperature': 21.1}"
11529,"{'temperature_2m': 19.8, 'relative_humidity_2m': 77, 'windspeed_10m': 8.3, 'apparent_temperature': 21.4}"
11530,"{'temperature_2m': 31.0, 'relative_humidity_2m': 22, 'windspeed_10m': 15.5, 'apparent_temperature': 27.9}"
11531,"{'temperature_2m': 19.4, 'relative_humidity_2m': 80, 'windspeed_10m': 10.5, 'apparent_temperature': 19.9}"
11532,"{'temperature_2m': 32.9, 'relative_humidity_2m': 29, 'windspeed_10m': 14.8, 'apparent_temperature': 33.0}"
11533,"{'temperature_2m': 24.8, 'relative_humidity_2m': 54, 'windspeed_10m': 37.1, 'apparent_temperature': 21.0}"
11534,"{'temperature_2m': 20.8, 'relative_humidity_2m': 73, 'windspeed_10m': 8.5, 'apparent_temperature': 23.0}"
11535,"{'temperature_2m': 28.9, 'relative_humidity_2m': 46, 'windspeed_10m': 12.3, 'apparent_temperature': 30.3}"
11536,"{'temperature_2m': 28.8, 'relative_humidity_2m': 45, 'windspeed_10m': 8.5, 'apparent_temperature': 31.4}"
11537,"{'temperature_2m': 28.8, 'relative_humidity_2m': 45, 'windspeed_10m': 8.5, 'apparent_temperature': 31.4}"
11538,"{'temperature_2m': 28.8, 'relative_humidity_2m': 45, 'windspeed_10m': 8.5, 'apparent_temperature': 31.4}"
11539,"{'temperature_2m': 28.9, 'relative_humidity_2m': 46, 'windspeed_10m': 12.3, 'apparent_temperature': 30.3}"
11540,"{'temperature_2m': 26.9, 'relative_humidity_2m': 49, 'windspeed_10m': 8.0, 'apparent_temperature': 28.3}"
11541,"{'temperature_2m': 28.8, 'relative_humidity_2m': 45, 'windspeed_10m': 8.5, 'apparent_temperature': 31.4}"
11542,"{'temperature_2m': 25.7, 'relative_humidity_2m': 50, 'windspeed_10m': 7.8, 'apparent_temperature': 27.4}"
11543,"{'temperature_2m': 25.9, 'relative_humidity_2m': 57, 'windspeed_10m': 14.8, 'apparent_temperature': 26.1}"
11544,"{'temperature_2m': 25.9, 'relative_humidity_2m': 57, 'windspeed_10m': 14.8, 'apparent_temperature': 26.1}"
11545,"{'temperature_2m': 24.7, 'relative_humidity_2m': 63, 'windspeed_10m': 11.8, 'apparent_temperature': 25.6}"
11546,"{'temperature_2m': 27.9, 'relative_humidity_2m': 49, 'windspeed_10m': 12.2, 'apparent_temperature': 28.3}"
11547,"{'temperature_2m': 22.0, 'relative_humidity_2m': 82, 'windspeed_10m': 5.2, 'apparent_temperature': 24.6}"
11548,"{'temperature_2m': 27.9, 'relative_humidity_2m': 49, 'windspeed_10m': 12.2, 'apparent_temperature': 28.3}"
11549,"{'temperature_2m': 28.9, 'relative_humidity_2m': 46, 'windspeed_10m': 12.3, 'apparent_temperature': 30.3}"
11550,"{'temperature_2m': 24.7, 'relative_humidity_2m': 63, 'windspeed_10m': 11.8, 'apparent_temperature': 25.6}"
11551,"{'temperature_2m': 23.9, 'relative_humidity_2m': 53, 'windspeed_10m': 7.9, 'apparent_temperature': 24.3}"
11552,"{'temperature_2m': 23.9, 'relative_humidity_2m': 53, 'windspeed_10m': 7.9, 'apparent_temperature': 24.3}"
11553,"{'temperature_2m': 20.8, 'relative_humidity_2m': 60, 'windspeed_10m': 3.6, 'apparent_temperature': 22.3}"
11554,"{'temperature_2m': 20.8, 'relative_humidity_2m': 60, 'windspeed_10m': 3.6, 'apparent_temperature': 22.3}"
11555,"{'temperature_2m': 20.8, 'relative_humidity_2m': 60, 'windspeed_10m': 3.6, 'apparent_temperature': 22.3}"
11556,"{'temperature_2m': 20.8, 'relative_humidity_2m': 60, 'windspeed_10m': 3.6, 'apparent_temperature': 22.3}"
11557,"{'temperature_2m': 20.8, 'relative_humidity_2m': 60, 'windspeed_10m': 3.6, 'apparent_temperature': 22.3}"
11558,"{'temperature_2m': 28.8, 'relative_humidity_2m': 45, 'windspeed_10m': 8.5, 'apparent_temperature': 31.4}"
11559,"{'temperature_2m': 20.8, 'relative_humidity_2m': 60, 'windspeed_10m': 3.6, 'apparent_temperature': 22.3}"
11560,"{'temperature_2m': 23.9, 'relative_humidity_2m': 53, 'windspeed_10m': 7.9, 'apparent_temperature': 24.3}"
11561,"{'temperature_2m': 23.9, 'relative_humidity_2m': 53, 'windspeed_10m': 7.9, 'apparent_temperature': 24.3}"
11562,"{'temperature_2m': 23.9, 'relative_humidity_2m': 53, 'windspeed_10m': 7.9, 'apparent_temperature': 24.3}"
11563,"{'temperature_2m': 23.9, 'relative_humidity_2m': 53, 'windspeed_10m': 7.9, 'apparent_temperature': 24.3}"
11564,"{'temperature_2m': 20.8, 'relative_humidity_2m': 60, 'windspeed_10m': 3.6, 'apparent_temperature': 22.3}"
11565,"{'temperature_2m': 26.9, 'relative_humidity_2m': 49, 'windspeed_10m': 8.0, 'apparent_temperature': 28.3}"
11566,"{'temperature_2m': 26.9, 'relative_humidity_2m': 49, 'windspeed_10m': 8.0, 'apparent_temperature': 28.3}"
11567,"{'temperature_2m': 34.8, 'relative_humidity_2m': 35, 'windspeed_10m': 20.3, 'apparent_temperature': 36.2}"
11568,"{'temperature_2m': 34.8, 'relative_humidity_2m': 35, 'windspeed_10m': 20.3, 'apparent_temperature': 36.2}"
11569,"{'temperature_2m': 34.8, 'relative_humidity_2m': 35, 'windspeed_10m': 20.3, 'apparent_temperature': 36.2}"
11570,"{'temperature_2m': 33.8, 'relative_humidity_2m': 38, 'windspeed_10m': 22.4, 'apparent_temperature': 35.0}"
11571,"{'temperature_2m': 36.3, 'relative_humidity_2m': 24, 'windspeed_10m': 18.9, 'apparent_temperature': 35.1}"
11572,"{'temperature_2m': 34.1, 'relative_humidity_2m': 28, 'windspeed_10m': 7.6, 'apparent_temperature': 33.9}"
11573,"{'temperature_2m': 26.5, 'relative_humidity_2m': 45, 'windspeed_10m': 14.7, 'apparent_temperature': 25.6}"
11574,"{'temperature_2m': 34.8, 'relative_humidity_2m': 35, 'windspeed_10m': 20.3, 'apparent_temperature': 36.2}"
11575,"{'temperature_2m': 35.1, 'relative_humidity_2m': 25, 'windspeed_10m': 13.3, 'apparent_temperature': 33.7}"
11576,"{'temperature_2m': 35.1, 'relative_humidity_2m': 25, 'windspeed_10m': 13.3, 'apparent_temperature': 33.7}"
11577,"{'temperature_2m': 26.5, 'relative_humidity_2m': 45, 'windspeed_10m': 14.7, 'apparent_temperature': 25.6}"
11578,"{'temperature_2m': 30.8, 'relative_humidity_2m': 43, 'windspeed_10m': 21.9, 'apparent_temperature': 30.9}"
11579,"{'temperature_2m': 30.8, 'relative_humidity_2m': 43, 'windspeed_10m': 21.9, 'apparent_temperature': 30.9}"
11580,"{'temperature_2m': 32.6, 'relative_humidity_2m': 40, 'windspeed_10m': 22.1, 'apparent_temperature': 33.4}"
11581,"{'temperature_2m': 30.8, 'relative_humidity_2m': 43, 'windspeed_10m': 21.9, 'apparent_temperature': 30.9}"
11582,"{'temperature_2m': 30.8, 'relative_humidity_2m': 43, 'windspeed_10m': 21.9, 'apparent_temperature': 30.9}"
11583,"{'temperature_2m': 32.6, 'relative_humidity_2m': 40, 'windspeed_10m': 22.1, 'apparent_temperature': 33.4}"
11584,"{'temperature_2m': 30.8, 'relative_humidity_2m': 43, 'windspeed_10m': 21.9, 'apparent_temperature': 30.9}"
11585,"{'temperature_2m': 30.8, 'relative_humidity_2m': 43, 'windspeed_10m': 21.9, 'apparent_temperature': 30.9}"
11586,"{'temperature_2m': 33.8, 'relative_humidity_2m': 38, 'windspeed_10m': 22.4, 'apparent_temperature': 35.0}"
11587,"{'temperature_2m': 23.7, 'relative_humidity_2m': 62, 'windspeed_10m': 13.4, 'apparent_temperature': 23.8}"
11588,"{'temperature_2m': 30.8, 'relative_humidity_2m': 43, 'windspeed_10m': 21.9, 'apparent_temperature': 30.9}"
11589,"{'temperature_2m': 17.3, 'relative_humidity_2m': 78, 'windspeed_10m': 23.9, 'apparent_temperature': 14.9}"
11590,"{'temperature_2m': 16.2, 'relative_humidity_2m': 68, 'windspeed_10m': 27.7, 'apparent_temperature': 12.3}"
11591,"{'temperature_2m': 15.2, 'relative_humidity_2m': 59, 'windspeed_10m': 27.0, 'apparent_temperature': 10.6}"
11592,"{'temperature_2m': 15.2, 'relative_humidity_2m': 59, 'windspeed_10m': 27.0, 'apparent_temperature': 10.6}"
11593,"{'temperature_2m': 16.9, 'relative_humidity_2m': 78, 'windspeed_10m': 23.7, 'apparent_temperature': 14.4}"
11594,"{'temperature_2m': 15.2, 'relative_humidity_2m': 59, 'windspeed_10m': 27.0, 'apparent_temperature': 10.6}"
11595,"{'temperature_2m': 15.7, 'relative_humidity_2m': 57, 'windspeed_10m': 26.1, 'apparent_temperature': 11.2}"
11596,"{'temperature_2m': 15.7, 'relative_humidity_2m': 57, 'windspeed_10m': 26.1, 'apparent_temperature': 11.2}"
11597,"{'temperature_2m': 15.7, 'relative_humidity_2m': 57, 'windspeed_10m': 26.1, 'apparent_temperature': 11.2}"
