,0
0,"{'temperature_2m': 28.9, 'relative_humidity_2m': 68, 'windspeed_10m': 15.2, 'apparent_temperature': 31.8}"
1,"{'temperature_2m': 27.0, 'relative_humidity_2m': 77, 'windspeed_10m': 9.6, 'apparent_temperature': 30.9}"
2,"{'temperature_2m': 28.0, 'relative_humidity_2m': 28, 'windspeed_10m': 5.8, 'apparent_temperature': 27.9}"
3,"{'temperature_2m': 31.2, 'relative_humidity_2m': 66, 'windspeed_10m': 6.1, 'apparent_temperature': 39.2}"
4,"{'temperature_2m': 29.1, 'relative_humidity_2m': 72, 'windspeed_10m': 1.5, 'apparent_temperature': 35.1}"
5,"{'temperature_2m': 19.7, 'relative_humidity_2m': 52, 'windspeed_10m': 8.8, 'apparent_temperature': 18.3}"
6,"{'temperature_2m': 28.3, 'relative_humidity_2m': 28, 'windspeed_10m': 7.2, 'apparent_temperature': 27.6}"
7,"{'temperature_2m': 28.0, 'relative_humidity_2m': 28, 'windspeed_10m': 5.8, 'apparent_temperature': 27.9}"
8,"{'temperature_2m': 28.0, 'relative_humidity_2m': 28, 'windspeed_10m': 5.8, 'apparent_temperature': 27.9}"
9,"{'temperature_2m': 21.1, 'relative_humidity_2m': 57, 'windspeed_10m': 19.0, 'apparent_temperature': 19.1}"
10,"{'temperature_2m': 25.8, 'relative_humidity_2m': 34, 'windspeed_10m': 8.1, 'apparent_temperature': 24.3}"
11,"{'temperature_2m': 17.5, 'relative_humidity_2m': 81, 'windspeed_10m': 11.2, 'apparent_temperature': 17.3}"
12,"{'temperature_2m': 19.0, 'relative_humidity_2m': 69, 'windspeed_10m': 13.7, 'apparent_temperature': 18.1}"
13,"{'temperature_2m': 21.1, 'relative_humidity_2m': 57, 'windspeed_10m': 19.0, 'apparent_temperature': 19.1}"
14,"{'temperature_2m': 26.6, 'relative_humidity_2m': 89, 'windspeed_10m': 4.0, 'apparent_temperature': 32.5}"
15,"{'temperature_2m': 28.5, 'relative_humidity_2m': 73, 'windspeed_10m': 15.4, 'apparent_temperature': 31.9}"
16,"{'temperature_2m': 28.5, 'relative_humidity_2m': 73, 'windspeed_10m': 15.4, 'apparent_temperature': 31.9}"
17,"{'temperature_2m': 16.7, 'relative_humidity_2m': 87, 'windspeed_10m': 10.5, 'apparent_temperature': 16.6}"
18,"{'temperature_2m': 28.2, 'relative_humidity_2m': 28, 'windspeed_10m': 9.2, 'apparent_temperature': 26.3}"
19,"{'temperature_2m': 18.2, 'relative_humidity_2m': 71, 'windspeed_10m': 17.7, 'apparent_temperature': 16.6}"
20,"{'temperature_2m': 17.6, 'relative_humidity_2m': 71, 'windspeed_10m': 14.0, 'apparent_temperature': 16.3}"
21,"{'temperature_2m': 28.3, 'relative_humidity_2m': 29, 'windspeed_10m': 5.1, 'apparent_temperature': 27.3}"
22,"{'temperature_2m': 18.2, 'relative_humidity_2m': 71, 'windspeed_10m': 17.7, 'apparent_temperature': 16.6}"
23,"{'temperature_2m': 20.8, 'relative_humidity_2m': 54, 'windspeed_10m': 6.0, 'apparent_temperature': 20.3}"
24,"{'temperature_2m': 19.1, 'relative_humidity_2m': 73, 'windspeed_10m': 20.1, 'apparent_temperature': 17.5}"
25,"{'temperature_2m': 27.9, 'relative_humidity_2m': 30, 'windspeed_10m': 4.3, 'apparent_temperature': 26.9}"
26,"{'temperature_2m': 22.5, 'relative_humidity_2m': 28, 'windspeed_10m': 8.0, 'apparent_temperature': 19.7}"
27,"{'temperature_2m': 20.8, 'relative_humidity_2m': 54, 'windspeed_10m': 6.0, 'apparent_temperature': 20.3}"
28,"{'temperature_2m': 19.7, 'relative_humidity_2m': 57, 'windspeed_10m': 17.0, 'apparent_temperature': 17.5}"
29,"{'temperature_2m': 22.5, 'relative_humidity_2m': 28, 'windspeed_10m': 8.0, 'apparent_temperature': 19.7}"
30,"{'temperature_2m': 19.7, 'relative_humidity_2m': 57, 'windspeed_10m': 17.0, 'apparent_temperature': 17.5}"
31,"{'temperature_2m': 25.7, 'relative_humidity_2m': 40, 'windspeed_10m': 5.1, 'apparent_temperature': 25.3}"
32,"{'temperature_2m': 26.7, 'relative_humidity_2m': 79, 'windspeed_10m': 5.2, 'apparent_temperature': 31.3}"
33,"{'temperature_2m': 25.5, 'relative_humidity_2m': 84, 'windspeed_10m': 5.6, 'apparent_temperature': 29.9}"
34,"{'temperature_2m': 27.7, 'relative_humidity_2m': 76, 'windspeed_10m': 9.5, 'apparent_temperature': 31.8}"
35,"{'temperature_2m': 28.3, 'relative_humidity_2m': 76, 'windspeed_10m': 8.3, 'apparent_temperature': 33.1}"
36,"{'temperature_2m': 21.1, 'relative_humidity_2m': 31, 'windspeed_10m': 9.3, 'apparent_temperature': 18.2}"
37,"{'temperature_2m': 19.7, 'relative_humidity_2m': 57, 'windspeed_10m': 17.0, 'apparent_temperature': 17.5}"
38,"{'temperature_2m': 22.5, 'relative_humidity_2m': 28, 'windspeed_10m': 8.0, 'apparent_temperature': 19.7}"
39,"{'temperature_2m': 22.3, 'relative_humidity_2m': 94, 'windspeed_10m': 10.1, 'apparent_temperature': 25.4}"
40,"{'temperature_2m': 18.6, 'relative_humidity_2m': 72, 'windspeed_10m': 8.6, 'apparent_temperature': 18.5}"
41,"{'temperature_2m': 21.5, 'relative_humidity_2m': 48, 'windspeed_10m': 10.1, 'apparent_temperature': 20.0}"
42,"{'temperature_2m': 29.0, 'relative_humidity_2m': 27, 'windspeed_10m': 2.2, 'apparent_temperature': 29.1}"
43,"{'temperature_2m': 28.9, 'relative_humidity_2m': 26, 'windspeed_10m': 2.6, 'apparent_temperature': 27.9}"
44,"{'temperature_2m': 25.9, 'relative_humidity_2m': 38, 'windspeed_10m': 5.4, 'apparent_temperature': 25.4}"
45,"{'temperature_2m': 18.6, 'relative_humidity_2m': 55, 'windspeed_10m': 23.7, 'apparent_temperature': 15.0}"
46,"{'temperature_2m': 22.0, 'relative_humidity_2m': 44, 'windspeed_10m': 7.3, 'apparent_temperature': 20.7}"
47,"{'temperature_2m': 20.4, 'relative_humidity_2m': 54, 'windspeed_10m': 14.3, 'apparent_temperature': 18.6}"
48,"{'temperature_2m': 16.6, 'relative_humidity_2m': 61, 'windspeed_10m': 18.7, 'apparent_temperature': 13.6}"
49,"{'temperature_2m': 29.0, 'relative_humidity_2m': 27, 'windspeed_10m': 2.2, 'apparent_temperature': 29.1}"
50,"{'temperature_2m': 17.8, 'relative_humidity_2m': 63, 'windspeed_10m': 23.0, 'apparent_temperature': 14.7}"
51,"{'temperature_2m': 19.5, 'relative_humidity_2m': 51, 'windspeed_10m': 25.0, 'apparent_temperature': 15.6}"
52,"{'temperature_2m': 17.5, 'relative_humidity_2m': 61, 'windspeed_10m': 22.1, 'apparent_temperature': 14.3}"
