tourney_id,tourney_location,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,shortened_winner_name,shortened_loser_name,match_id
2021-0308,Munich,Clay,32,A,20210426,271,104655,,,Pablo Cuevas,R,180.0,URU,35.3,105815,,,Tennys Sandgren,R,188.0,USA,29.7,7-6(4) 0-6 6-1,3,R32,107.0,5.0,4.0,85.0,52.0,34.0,14.0,13.0,2.0,7.0,4.0,1.0,64.0,40.0,27.0,13.0,12.0,3.0,7.0,85.0,897.0,62.0,1037.0,Cuevas P.,Sandgren T.,Munich_2021_104655_105815
2021-0308,Munich,Clay,32,A,20210426,272,105550,,,Guido Pella,L,185.0,ARG,30.9,106078,,,Egor Gerasimov,R,196.0,BLR,28.4,6-0 2-0 RET,3,R32,50.0,1.0,1.0,31.0,23.0,18.0,2.0,4.0,2.0,2.0,3.0,4.0,44.0,27.0,11.0,6.0,4.0,7.0,11.0,55.0,1163.0,76.0,950.0,Pella G.,Gerasimov E.,Munich_2021_105550_106078
2021-0308,Munich,Clay,32,A,20210426,273,105357,8.0,,John Millman,R,183.0,AUS,31.8,200615,,,Alexei Popyrin,R,196.0,AUS,21.7,7-6(3) 3-6 7-5,3,R32,175.0,2.0,3.0,127.0,79.0,56.0,23.0,16.0,13.0,15.0,6.0,7.0,134.0,80.0,56.0,25.0,17.0,14.0,16.0,40.0,1461.0,77.0,949.0,Millman J.,Popyrin A.,Munich_2021_105357_200615
2021-0308,Munich,Clay,32,A,20210426,275,105948,,,Federico Coria,R,180.0,ARG,29.1,105649,,Q,Cedrik Marcel Stebe,L,183.0,GER,30.5,6-3 3-6 6-2,3,R32,129.0,2.0,4.0,94.0,57.0,31.0,19.0,13.0,9.0,15.0,3.0,1.0,86.0,63.0,33.0,6.0,13.0,5.0,13.0,90.0,875.0,134.0,556.0,Coria F.,Stebe C.M.,Munich_2021_105948_105649
2021-0308,Munich,Clay,32,A,20210426,276,123755,,Q,Daniel Elahi Galan,R,191.0,COL,24.8,200624,,,Sebastian Korda,R,196.0,USA,20.8,6-1 7-6(7),3,R32,88.0,3.0,0.0,66.0,39.0,31.0,13.0,10.0,4.0,6.0,1.0,5.0,55.0,32.0,22.0,9.0,9.0,5.0,9.0,115.0,688.0,65.0,1030.0,Galan D.E.,Korda S.,Munich_2021_123755_200624
2021-0308,Munich,Clay,32,A,20210426,277,105932,5.0,,Nikoloz Basilashvili,R,185.0,GEO,29.1,106329,,,Thiago Monteiro,L,183.0,BRA,26.9,6-2 6-3,3,R32,79.0,2.0,4.0,51.0,29.0,21.0,11.0,9.0,0.0,2.0,2.0,2.0,53.0,37.0,19.0,6.0,8.0,2.0,7.0,35.0,1645.0,78.0,948.0,Basilashvili N.,Monteiro T.,Munich_2021_105932_106329
2021-0308,Munich,Clay,32,A,20210426,278,105526,7.0,,Jan Lennard Struff,R,193.0,GER,31.0,105413,,LL,Andrej Martin,R,180.0,SVK,31.5,6-4 6-3,3,R32,76.0,6.0,6.0,55.0,26.0,21.0,16.0,10.0,1.0,2.0,4.0,3.0,54.0,32.0,22.0,10.0,9.0,1.0,4.0,44.0,1440.0,110.0,728.0,Struff J.L.,Martin A.,Munich_2021_105526_105413
2021-0308,Munich,Clay,32,A,20210426,279,136440,,,Dominik Koepfer,L,180.0,GER,26.9,104259,,WC,Philipp Kohlschreiber,R,178.0,GER,37.5,4-6 6-4 6-3,3,R32,144.0,3.0,7.0,105.0,56.0,37.0,21.0,15.0,10.0,15.0,3.0,1.0,86.0,61.0,31.0,15.0,14.0,4.0,10.0,54.0,1169.0,114.0,688.0,Koepfer D.,Kohlschreiber P.,Munich_2021_136440_104259
2021-0308,Munich,Clay,32,A,20210426,280,105870,,WC,Yannick Hanfmann,R,193.0,GER,29.4,106121,,SE,Taro Daniel,R,191.0,JPN,28.2,6-2 3-6 7-6(5),3,R32,157.0,5.0,4.0,111.0,74.0,53.0,16.0,14.0,10.0,12.0,4.0,3.0,97.0,63.0,46.0,16.0,15.0,5.0,8.0,98.0,812.0,112.0,710.0,Hanfmann Y.,Daniel T.,Munich_2021_105870_106121
2021-0308,Munich,Clay,32,A,20210426,282,111456,,Q,Mackenzie Mcdonald,R,178.0,USA,26.0,105583,6.0,,Dusan Lajovic,R,180.0,SRB,30.8,6-4 6-4,3,R32,86.0,3.0,1.0,59.0,39.0,31.0,13.0,10.0,2.0,2.0,1.0,3.0,71.0,47.0,30.0,13.0,10.0,3.0,5.0,127.0,619.0,37.0,1595.0,Mcdonald M.,Lajovic D.,Munich_2021_111456_105583
2021-0308,Munich,Clay,32,A,20210426,283,125802,,Q,Ilya Ivashka,R,193.0,BLR,27.1,200325,,,Emil Ruusuvuori,R,188.0,FIN,22.0,6-1 6-2,3,R32,67.0,3.0,2.0,43.0,30.0,22.0,8.0,8.0,0.0,1.0,1.0,6.0,54.0,33.0,19.0,5.0,7.0,8.0,13.0,107.0,736.0,75.0,951.0,Ivashka I.,Ruusuvuori E.,Munich_2021_125802_200325
