ATP,tourney_location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,loser_id,winner_id,match_id
33,Queens Club,Queen's Club Championships,2021-06-14,ATP500,Outdoor,Grass,1st Round,3,Karatsev A.,Tabilo A.,24,171.0,2274,418.0,3.0,6.0,6.0,4.0,6.0,2.0,,,,,2.0,1.0,Completed,1.2,4.5,1.23,4.69,1.25,5.25,1.2,4.44,126214,106234,Queens Club_2021_106234_126214
33,Queens Club,Queen's Club Championships,2021-06-15,ATP500,Outdoor,Grass,1st Round,3,Berrettini M.,Travaglia S.,9,88.0,4103,870.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.2,4.5,1.2,5.11,1.22,5.45,1.2,4.5,105882,126610,Queens Club_2021_126610_105882
33,Queens Club,Queen's Club Championships,2021-06-15,ATP500,Outdoor,Grass,1st Round,3,Bublik A.,Chardy J.,39,59.0,1591,1133.0,6.0,4.0,3.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,2.1,1.72,2.15,1.77,2.2,1.89,2.09,1.73,104871,122330,Queens Club_2021_122330_104871
33,Queens Club,Queen's Club Championships,2021-06-15,ATP500,Outdoor,Grass,1st Round,3,De Minaur A.,Djere L.,22,55.0,2350,1168.0,3.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,1.1,7.0,1.1,8.27,1.12,9.17,1.09,7.19,111513,200282,Queens Club_2021_200282_111513
33,Queens Club,Queen's Club Championships,2021-06-15,ATP500,Outdoor,Grass,1st Round,3,Evans D.,Popyrin A.,25,67.0,2106,1019.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.5,2.62,1.56,2.59,1.62,2.64,1.53,2.49,200615,105554,Queens Club_2021_105554_200615
33,Queens Club,Queen's Club Championships,2021-06-15,ATP500,Outdoor,Grass,1st Round,3,Tiafoe F.,Bedene A.,65,60.0,1078,1121.0,4.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,1.53,2.5,1.62,2.43,1.67,2.63,1.56,2.41,105379,126207,Queens Club_2021_126207_105379
33,Queens Club,Queen's Club Championships,2021-06-15,ATP500,Outdoor,Grass,1st Round,3,Murray A.,Paire B.,124,46.0,640,1387.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.53,2.5,1.54,2.63,1.66,2.7,1.52,2.5,105332,104918,Queens Club_2021_104918_105332
33,Queens Club,Queen's Club Championships,2021-06-15,ATP500,Outdoor,Grass,1st Round,3,Fognini F.,Lu Y.,29,624.0,1843,45.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.3,3.5,1.33,3.62,1.34,3.7,1.31,3.41,104229,104926,Queens Club_2021_104926_104229
33,Queens Club,Queen's Club Championships,2021-06-15,ATP500,Outdoor,Grass,1st Round,3,Shapovalov D.,Vukic A.,14,207.0,2780,327.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.14,5.5,1.15,6.16,1.18,6.16,1.15,5.24,126846,133430,Queens Club_2021_133430_126846
33,Queens Club,Queen's Club Championships,2021-06-15,ATP500,Outdoor,Grass,1st Round,3,Cilic M.,Ofner S.,37,174.0,1615,409.0,6.0,2.0,6.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,1.12,6.0,1.13,7.06,1.14,7.5,1.11,6.3,124116,105227,Queens Club_2021_105227_124116
33,Queens Club,Queen's Club Championships,2021-06-16,ATP500,Outdoor,Grass,2nd Round,3,De Minaur A.,Millman J.,22,43.0,2350,1496.0,6.0,1.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.33,3.4,1.35,3.53,1.38,3.7,1.32,3.34,105357,200282,Queens Club_2021_200282_105357
33,Queens Club,Queen's Club Championships,2021-06-16,ATP500,Outdoor,Grass,2nd Round,3,Norrie C.,Karatsev A.,41,24.0,1510,2274.0,7.0,5.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.0,1.8,2.15,1.79,2.2,1.81,2.07,1.74,106234,111815,Queens Club_2021_111815_106234
33,Queens Club,Queen's Club Championships,2021-06-16,ATP500,Outdoor,Grass,2nd Round,3,Draper J.,Bublik A.,309,39.0,168,1591.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.62,1.5,2.67,1.54,2.91,1.55,2.58,1.5,122330,207733,Queens Club_2021_207733_122330
33,Queens Club,Queen's Club Championships,2021-06-16,ATP500,Outdoor,Grass,2nd Round,3,Cilic M.,Fognini F.,37,29.0,1615,1843.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.25,4.0,1.3,3.9,1.3,4.51,1.25,3.83,104926,105227,Queens Club_2021_105227_104926
