tourney_id,tourney_location,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,shortened_winner_name,shortened_loser_name,match_id
2020-0451,Doha,Hard,32,A,20200106,287,105732,,,Pierre Hugues Herbert,R,188.0,FRA,28.8,111513,5.0,,Laslo Djere,R,188.0,SRB,24.5,6-1 6-3,3,R16,62.0,4.0,1.0,47.0,33.0,25.0,6.0,8.0,0.0,1.0,2.0,2.0,47.0,32.0,17.0,6.0,8.0,2.0,7.0,65.0,840.0,39.0,1151.0,Herbert P.H.,Djere L.,Doha_2020_105732_111513
2020-0451,Doha,Hard,32,A,20200106,286,126094,2.0,,Andrey Rublev,R,188.0,RUS,22.2,105062,,,Mikhail Kukushkin,R,183.0,KAZ,32.0,6-4 6-2,3,R16,69.0,4.0,1.0,56.0,34.0,28.0,9.0,9.0,1.0,2.0,1.0,0.0,48.0,27.0,16.0,12.0,9.0,5.0,9.0,23.0,1584.0,66.0,816.0,Rublev A.,Kukushkin M.,Doha_2020_126094_105062
2020-0451,Doha,Hard,32,A,20200106,284,104871,,,Jeremy Chardy,R,188.0,FRA,32.8,106296,,Q,Gregoire Barrere,R,183.0,FRA,25.8,6-3 3-6 6-3,3,R32,106.0,9.0,3.0,85.0,54.0,40.0,21.0,14.0,6.0,7.0,9.0,1.0,87.0,64.0,44.0,12.0,13.0,5.0,7.0,54.0,920.0,83.0,636.0,Chardy J.,Barrere G.,Doha_2020_104871_106296
2020-0451,Doha,Hard,32,A,20200106,283,105379,,,Aljaz Bedene,R,181.0,SLO,30.4,144707,,Q,Mikael Ymer,R,183.0,SWE,21.3,3-6 6-4 6-3,3,R32,130.0,8.0,0.0,78.0,45.0,30.0,21.0,14.0,1.0,3.0,3.0,4.0,83.0,57.0,35.0,18.0,14.0,2.0,5.0,58.0,905.0,76.0,681.0,Bedene A.,Ymer M.,Doha_2020_105379_144707
2020-0451,Doha,Hard,32,A,20200106,282,122330,,,Alexander Bublik,R,196.0,KAZ,22.5,105173,7.0,,Adrian Mannarino,L,183.0,FRA,31.5,6-3 6-4,3,R32,69.0,10.0,6.0,62.0,41.0,31.0,10.0,10.0,3.0,4.0,1.0,2.0,48.0,28.0,17.0,12.0,9.0,2.0,5.0,55.0,919.0,43.0,1111.0,Bublik A.,Mannarino A.,Doha_2020_122330_105173
2020-0451,Doha,Hard,32,A,20200106,280,144895,,Q,Corentin Moutet,L,178.0,FRA,20.7,105815,,,Tennys Sandgren,R,188.0,USA,28.4,7-6(3) 6-4,3,R32,105.0,2.0,2.0,69.0,57.0,48.0,6.0,11.0,7.0,7.0,7.0,0.0,70.0,52.0,38.0,8.0,11.0,2.0,3.0,81.0,638.0,68.0,803.0,Moutet C.,Sandgren T.,Doha_2020_144895_105815
2020-0451,Doha,Hard,32,A,20200106,279,104269,,,Fernando Verdasco,L,188.0,ESP,36.1,104665,,,Pablo Andujar,R,180.0,ESP,33.9,6-4 6-3,3,R32,89.0,6.0,0.0,55.0,35.0,30.0,11.0,10.0,0.0,0.0,3.0,1.0,67.0,46.0,31.0,9.0,9.0,3.0,5.0,49.0,1025.0,64.0,867.0,Verdasco F.,Andujar P.,Doha_2020_104269_104665
2020-0451,Doha,Hard,32,A,20200106,278,105936,6.0,,Filip Krajinovic,R,185.0,SRB,27.8,106378,,,Kyle Edmund,R,188.0,GBR,24.9,4-6 6-3 6-3,3,R32,135.0,6.0,2.0,105.0,74.0,43.0,15.0,14.0,8.0,13.0,6.0,2.0,93.0,62.0,33.0,14.0,14.0,7.0,14.0,40.0,1148.0,69.0,800.0,Krajinovic F.,Edmund K.,Doha_2020_105936_106378
2020-0451,Doha,Hard,32,A,20200106,277,105916,,Q,Marton Fucsovics,R,188.0,HUN,27.9,126207,8.0,,Frances Tiafoe,R,188.0,USA,21.9,6-4 4-6 6-4,3,R32,141.0,8.0,3.0,110.0,68.0,45.0,19.0,15.0,7.0,10.0,2.0,1.0,101.0,68.0,42.0,18.0,15.0,7.0,11.0,70.0,790.0,47.0,1050.0,Fucsovics M.,Tiafoe F.,Doha_2020_105916_126207
2020-0451,Doha,Hard,32,A,20200106,276,117356,,WC,Cem Ilkel,R,185.0,TUR,24.3,105575,,,Ricardas Berankis,R,175.0,LTU,29.5,6-2 4-6 6-2,3,R32,112.0,11.0,1.0,92.0,59.0,42.0,17.0,13.0,4.0,5.0,3.0,3.0,84.0,53.0,35.0,16.0,13.0,5.0,9.0,279.0,144.0,67.0,804.0,Ilkel C.,Berankis R.,Doha_2020_117356_105575
2020-0451,Doha,Hard,32,A,20200106,275,200175,,,Miomir Kecmanovic,R,183.0,SRB,20.3,111442,,,Jordan Thompson,R,183.0,AUS,25.7,6-4 6-2,3,R32,84.0,0.0,1.0,57.0,31.0,23.0,17.0,9.0,0.0,0.0,4.0,1.0,66.0,40.0,26.0,9.0,9.0,7.0,10.0,62.0,881.0,63.0,878.0,Kecmanovic M.,Thompson J.,Doha_2020_200175_111442
2020-0451,Doha,Hard,32,A,20200106,273,111513,5.0,,Laslo Djere,R,188.0,SRB,24.5,132283,,,Lorenzo Sonego,R,191.0,ITA,24.6,6-1 3-6 6-2,3,R32,114.0,5.0,2.0,73.0,48.0,33.0,14.0,12.0,4.0,7.0,5.0,3.0,75.0,47.0,28.0,10.0,12.0,4.0,10.0,39.0,1151.0,51.0,990.0,Djere L.,Sonego L.,Doha_2020_111513_132283
2020-0451,Doha,Hard,32,A,20200106,272,105732,,,Pierre Hugues Herbert,R,188.0,FRA,28.8,106065,,WC,Marco Cecchinato,R,185.0,ITA,27.2,6-3 6-4,3,R32,71.0,6.0,2.0,51.0,30.0,26.0,12.0,10.0,0.0,1.0,2.0,1.0,59.0,32.0,20.0,13.0,9.0,4.0,7.0,65.0,840.0,75.0,690.0,Herbert P.H.,Cecchinato M.,Doha_2020_105732_106065
2020-0451,Doha,Hard,32,A,20200106,271,105062,,,Mikhail Kukushkin,R,183.0,KAZ,32.0,104291,,WC,Malek Jaziri,R,185.0,TUN,35.9,6-0 6-3,3,R32,68.0,7.0,0.0,51.0,33.0,22.0,12.0,7.0,3.0,3.0,3.0,2.0,44.0,23.0,9.0,10.0,8.0,4.0,9.0,66.0,816.0,229.0,206.0,Kukushkin M.,Jaziri M.,Doha_2020_105062_104291
2020-M056,Adelaide,Hard,32,A,20200113,300,126094,3.0,,Andrey Rublev,R,188.0,RUS,22.2,144750,,Q,Lloyd Harris,R,193.0,RSA,22.8,6-3 6-0,3,F,56.0,4.0,1.0,49.0,27.0,22.0,13.0,8.0,4.0,4.0,8.0,1.0,43.0,28.0,14.0,6.0,7.0,1.0,5.0,18.0,1799.0,91.0,594.0,Rublev A.,Harris L.,Adelaide_2020_126094_144750
2020-M056,Adelaide,Hard,32,A,20200113,299,144750,,Q,Lloyd Harris,R,193.0,RSA,22.8,126205,,Q,Tommy Paul,R,185.0,USA,22.6,6-4 6-7(3) 6-3,3,SF,128.0,13.0,3.0,89.0,54.0,46.0,16.0,16.0,2.0,4.0,4.0,3.0,100.0,58.0,37.0,22.0,15.0,3.0,7.0,91.0,594.0,90.0,600.0,Harris L.,Paul T.,Adelaide_2020_144750_126205
