url,tournament_location,tournament_country,Surface,indoor_or_outdoor,Round,Date,time,Comment,winner_name,winner_rank,winner_seed,loser_name,loser_rank,loser_seed,Wsets,Lsets,minutes,W1,W2,L1,L2,w_ace,l_ace,w_df,l_df,W3,L3,W4,W5,L4,L5,loser_id,winner_id,match_id,winner_Name,winner_ioc,winner_Date_of_birth,winner_hand,loser_Name,loser_ioc,loser_Date_of_birth,loser_hand,w_1stWon,w_1stIn,l_1stWon,l_1stIn,w_SvGms,l_SvGms,w_2ndWon,l_2ndWon,w_bpSaved,w_bpFaced,l_bpSaved,l_bpFaced,w_svpt,l_svpt,winner_entry,loser_entry,winner_age,loser_age,tournament_level,AvgW,AvgL,best_of,tournament_name
https://www.livesport.com/en/match/b3tmyMSO/#/match-summary,'s-Hertogenbosch,NETHERLANDS,GRASS,outdoor,1/8-FINALS,2024-06-12,17:40,FINISHED,Humbert U.,14,3,Fils A.,20,,2,0,1:28,6,"7
7",3,"6
1",9,3,2,4,,,,,,,209950,200005,'s-Hertogenbosch_2024_200005_209950,Humbert Ugo,France,1998-06-26,left,Fils Arthur,France,2004-06-12,right,40,49,29,39,11,10,10,12,2,2,1,2,64,62,,,26.0,20.0,ATP250,1.64,2.2,3,Rosmalen Grass Court Championships
https://www.livesport.com/en/match/xjDq4CcK/#/match-summary,'s-Hertogenbosch,NETHERLANDS,GRASS,outdoor,1/8-FINALS,2024-06-12,17:35,FINISHED,Griekspoor T.,40,6,Mcdonald M.,131,,2,0,1:46,6,"7
7",3,"6
5",9,2,3,2,,,,,,,111456,134868,'s-Hertogenbosch_2024_134868_111456,Griekspoor Tallon,Netherlands,1996-07-02,right,McDonald Mackenzie,USA,1995-04-16,right,32,41,35,53,11,10,14,14,1,2,5,7,65,84,,,28.0,29.0,ATP250,1.37,3.02,3,Rosmalen Grass Court Championships
https://www.livesport.com/en/match/z9gd2O7s/#/match-summary,'s-Hertogenbosch,NETHERLANDS,GRASS,outdoor,1/8-FINALS,2024-06-12,11:40,FINISHED,Brouwer G.,178,,Mannarino A.,67,5,2,0,1:17,6,6,3,3,5,3,0,2,,,,,,,105173,133835,'s-Hertogenbosch_2024_133835_105173,Brouwer Gijs,Netherlands,1996-03-14,left,Mannarino Adrian,France,1988-06-29,left,34,42,16,29,9,9,3,14,2,3,3,7,52,56,,,28.0,36.0,ATP250,2.58,1.48,3,Rosmalen Grass Court Championships
https://www.livesport.com/en/match/bTs4ABLt/#/match-summary,'s-Hertogenbosch,NETHERLANDS,GRASS,outdoor,1/16-FINALS,2024-06-11,19:55,FINISHED,Bergs Z.,61,,Van Rijthoven T.,,,2,0,1:17,6,6,4,3,0,4,2,3,,,,,,,126646,200267,'s-Hertogenbosch_2024_200267_126646,Bergs Zizou,Belgium,1999-06-03,right,Van Rijthoven Tim,Netherlands,1997-04-24,right,27,35,20,35,9,10,7,10,1,2,1,5,50,55,LL,WC,25.0,27.0,ATP250,1.4,2.96,3,Rosmalen Grass Court Championships
https://www.livesport.com/en/match/p8f62hcU/#/match-summary,'s-Hertogenbosch,NETHERLANDS,GRASS,outdoor,1/16-FINALS,2024-06-11,19:35,FINISHED,Korda S.,22,7,Schoolkate T.,169,,2,0,1:21,6,"7
7",4,"6
4",15,9,1,1,,,,,,,244586,200624,'s-Hertogenbosch_2024_200624_244586,Korda Sebastian,USA,2000-07-05,right,Schoolkate Tristan,Australia,2001-02-26,right,36,43,32,36,11,11,16,14,3,3,3,4,63,65,,Q,24.0,23.0,ATP250,1.25,3.93,3,Rosmalen Grass Court Championships
https://www.livesport.com/en/match/IeRjnicR/#/match-summary,'s-Hertogenbosch,NETHERLANDS,GRASS,outdoor,1/16-FINALS,2024-06-11,15:40,FINISHED,Popyrin A.,24,,Hijikata R.,73,,2,0,1:20,6,6,4,4,5,6,2,2,,,,,,,208014,200615,'s-Hertogenbosch_2024_200615_208014,Popyrin Alexei,Australia,1999-08-05,right,Hijikata Rinky,Australia,2001-02-23,right,35,47,27,37,10,10,7,10,4,5,4,7,61,61,,,25.0,23.0,ATP250,1.63,2.25,3,Rosmalen Grass Court Championships
https://www.livesport.com/en/match/Oh6c4ESH/#/match-summary,'s-Hertogenbosch,NETHERLANDS,GRASS,outdoor,1/16-FINALS,2024-06-11,14:55,FINISHED,Bautista Agut R.,51,,Huesler M.A.,160,,2,0,1:37,"7
9",6,"6
7",2,1,15,2,0,,,,,,,144817,105138,'s-Hertogenbosch_2024_105138_144817,Bautista-Agut Roberto,Spain,1988-04-14,right,Huesler Marc-Andrea,Switzerland,1996-06-24,left,35,47,35,44,10,10,10,11,0,0,3,5,62,73,,Q,36.0,28.0,ATP250,1.66,2.18,3,Rosmalen Grass Court Championships
https://www.livesport.com/en/match/Y7imSV5e/#/match-summary,'s-Hertogenbosch,NETHERLANDS,GRASS,outdoor,1/16-FINALS,2024-06-11,14:40,FINISHED,Griekspoor T.,40,6,Kecmanovic M.,54,,2,1,2:37,"6
3","7
9","7
7","6
7",16,4,5,4,"7
7","6
3",,,,,200175,134868,'s-Hertogenbosch_2024_134868_200175,Griekspoor Tallon,Netherlands,1996-07-02,right,Kecmanovic Miomir,Serbia,1999-08-31,right,63,77,64,77,18,18,24,26,4,5,0,1,119,121,,,28.0,25.0,ATP250,1.35,3.13,3,Rosmalen Grass Court Championships
https://www.livesport.com/en/match/0fguUiyq/#/match-summary,'s-Hertogenbosch,NETHERLANDS,GRASS,outdoor,1/16-FINALS,2024-06-11,13:55,FINISHED,Vukic A.,69,,Purcell M.,104,,2,0,1:32,6,"7
7",3,"6
5",11,4,0,0,,,,,,,126845,126846,'s-Hertogenbosch_2024_126846_126845,Vukic Aleksandar,Australia,1996-04-06,right,Purcell Max,Australia,1998-04-03,right,38,46,32,43,10,11,11,12,2,2,4,6,68,66,,,28.0,26.0,ATP250,1.63,2.23,3,Rosmalen Grass Court Championships
https://www.livesport.com/en/match/Od6Vv9k1/#/match-summary,'s-Hertogenbosch,NETHERLANDS,GRASS,outdoor,1/16-FINALS,2024-06-11,13:40,FINISHED,Raonic M.,237,,Thompson J.,26,8,2,0,1:30,6,6,3,4,14,4,1,3,,,,,,,111442,105683,'s-Hertogenbosch_2024_105683_111442,Raonic Milos,Canada,1990-12-27,right,Thompson Jordan,Australia,1994-04-20,right,33,37,30,48,10,9,7,16,0,0,10,12,48,81,PR,,34.0,30.0,ATP250,2.41,1.55,3,Rosmalen Grass Court Championships
