url,tournament_location,tournament_country,Surface,indoor_or_outdoor,Round,Date,time,Comment,winner_name,winner_rank,loser_name,loser_rank,Wsets,Lsets,minutes,W1,W2,L1,L2,w_ace,l_ace,w_df,l_df,W3,L3,W4,W5,L4,L5,loser_id,winner_id,match_id,winner_Name,winner_ioc,winner_Date_of_birth,winner_hand,loser_Name,loser_ioc,loser_Date_of_birth,loser_hand,w_1stWon,w_1stIn,l_1stWon,l_1stIn,w_SvGms,l_SvGms,w_2ndWon,l_2ndWon,w_bpSaved,w_bpFaced,l_bpSaved,l_bpFaced,w_svpt,l_svpt,winner_age,loser_age,tournament_level,AvgW,AvgL,best_of,tournament_name,winner_entry_LL,winner_entry_Q,winner_entry_WC,loser_entry_LL,loser_entry_Q,loser_entry_WC,winner_is_seeded,loser_is_seeded,tournament_id
https://www.livesport.com/en/match/2ui8V8Ja/#/match-summary,London,UNITED KINGDOM,GRASS,outdoor,3rd Round,2024-07-05,20:40,finished,Sinner J.,1.0,Kecmanovic M.,54.0,3.0,0.0,98.0,6.0,6.0,1.0,4.0,11.0,2.0,2.0,1.0,6.0,2.0,,,,,200175,206173,London_2024_206173_200175,Sinner Jannik,Italy,2001-08-16,right,Kecmanovic Miomir,Serbia,1999-08-31,right,36.0,42.0,33.0,45.0,13.0,12.0,18.0,8.0,1.0,1.0,2.0,7.0,69.0,71.0,23.0,25.0,Grand Slam,1.02,14.37,5,Wimbledon,False,False,False,False,False,False,1,0,London_2024
https://www.livesport.com/en/match/KMp4JkpQ/#/match-summary,London,UNITED KINGDOM,GRASS,outdoor,3rd Round,2024-07-05,14:20,finished,Paul T.,12.0,Bublik A.,34.0,3.0,0.0,86.0,6.0,6.0,3.0,4.0,9.0,15.0,3.0,2.0,6.0,2.0,,,,,122330,126205,London_2024_126205_122330,Paul Tommy,USA,1997-05-17,right,Bublik Alexander,Kazakhstan,1997-06-17,right,44.0,52.0,36.0,51.0,14.0,13.0,14.0,9.0,1.0,1.0,5.0,9.0,75.0,79.0,27.0,27.0,Grand Slam,1.49,2.68,5,Wimbledon,False,False,False,False,False,False,1,1,London_2024
https://www.livesport.com/en/match/8CUYQBnf/#/match-summary,London,UNITED KINGDOM,GRASS,outdoor,3rd Round,2024-07-06,16:30,finished,Musetti L.,17.0,Comesana F.,84.0,3.0,1.0,213.0,6.0,6.0,2.0,7.0,4.0,5.0,1.0,3.0,7.0,6.0,6.0,,3.0,,384530,207518,London_2024_207518_384530,Musetti Lorenzo,Italy,2002-03-03,right,Comesana Francisco,Argentina,2000-10-06,right,69.0,96.0,67.0,98.0,21.0,20.0,32.0,31.0,4.0,4.0,13.0,16.0,141.0,155.0,22.0,24.0,Grand Slam,1.16,5.27,5,Wimbledon,False,False,False,False,False,False,1,0,London_2024
https://www.livesport.com/en/match/4jEbhIY0/#/match-summary,London,UNITED KINGDOM,GRASS,outdoor,3rd Round,2024-07-06,20:00,finished,Fritz T.,4.0,Tabilo A.,23.0,3.0,0.0,117.0,7.0,6.0,6.0,3.0,20.0,8.0,1.0,3.0,7.0,5.0,,,,,126214,126203,London_2024_126203_126214,Fritz Taylor,USA,1997-10-28,right,Tabilo Alejandro,Chile,1997-06-02,left,56.0,61.0,57.0,81.0,17.0,16.0,17.0,20.0,0.0,0.0,12.0,14.0,85.0,121.0,27.0,27.0,Grand Slam,1.18,4.99,3,Wimbledon,False,False,False,False,False,False,1,1,London_2024
https://www.livesport.com/en/match/thDjKHx8/#/match-summary,London,UNITED KINGDOM,GRASS,outdoor,3rd Round,2024-07-06,19:30,finished,Djokovic N.,7.0,Popyrin A.,24.0,3.0,1.0,188.0,4.0,6.0,6.0,3.0,19.0,19.0,3.0,4.0,6.0,4.0,7.0,,6.0,,200615,104925,London_2024_104925_200615,Djokovic Novak,Serbia,1987-05-22,right,Popyrin Alexei,Australia,1999-08-05,right,69.0,78.0,72.0,98.0,21.0,20.0,21.0,16.0,1.0,2.0,6.0,8.0,113.0,133.0,37.0,25.0,Grand Slam,1.13,6.19,5,Wimbledon,False,False,False,False,False,False,1,0,London_2024
https://www.livesport.com/en/match/UR4tYgng/#/match-summary,London,UNITED KINGDOM,GRASS,outdoor,3rd Round,2024-07-06,17:15,finished,Rune H.,13.0,Halys Q.,72.0,3.0,2.0,187.0,1.0,6.0,6.0,7.0,16.0,29.0,5.0,4.0,6.0,4.0,7.0,6.0,6.0,1.0,111460,208029,London_2024_208029_111460,Rune Holger,Denmark,2003-04-29,right,Halys Quentin,France,1996-10-26,right,70.0,94.0,75.0,89.0,24.0,24.0,35.0,29.0,4.0,6.0,6.0,9.0,146.0,147.0,21.0,28.0,Grand Slam,1.3,3.56,5,Wimbledon,False,False,False,False,False,False,1,0,London_2024
https://www.livesport.com/en/match/jHR3iW1n/#/match-summary,London,UNITED KINGDOM,GRASS,outdoor,3rd Round,2024-07-06,16:20,finished,Bautista Agut R.,51.0,Fognini F.,90.0,3.0,2.0,266.0,7.0,3.0,6.0,6.0,4.0,23.0,4.0,15.0,5.0,7.0,7.0,6.0,6.0,4.0,104926,105138,London_2024_105138_104926,Bautista-Agut Roberto,Spain,1988-04-14,right,Fognini Fabio,Italy,1987-05-24,right,89.0,131.0,91.0,110.0,27.0,28.0,23.0,29.0,9.0,15.0,11.0,16.0,180.0,197.0,36.0,37.0,Grand Slam,1.43,2.83,5,Wimbledon,False,False,False,False,False,False,0,0,London_2024
https://www.livesport.com/en/match/nqTeJJK6/#/match-summary,London,UNITED KINGDOM,GRASS,outdoor,3rd Round,2024-07-06,18:00,finished,Medvedev D.,5.0,Struff J.L.,43.0,3.0,1.0,142.0,6.0,6.0,1.0,3.0,13.0,10.0,5.0,9.0,4.0,6.0,7.0,,6.0,,105526,106421,London_2024_106421_105526,Medvedev Daniil,Russia,1996-02-11,right,Struff Jan-Lennard,Germany,1990-04-25,right,59.0,75.0,55.0,76.0,19.0,19.0,17.0,22.0,2.0,4.0,6.0,11.0,104.0,126.0,28.0,34.0,Grand Slam,1.49,2.63,5,Wimbledon,False,False,False,False,False,False,1,0,London_2024
https://www.livesport.com/en/match/6oonxdZR/#/match-summary,London,UNITED KINGDOM,GRASS,outdoor,3rd Round,2024-07-06,15:40,finished,Mpetshi G.,31.0,Ruusuvuori E.,95.0,3.0,1.0,151.0,4.0,6.0,6.0,2.0,27.0,9.0,5.0,3.0,7.0,6.0,6.0,,4.0,,200325,208659,London_2024_208659_200325,Mpetshi Perricard Giovanni,France,2003-07-08,right,Ruusuvuori Emil,Finland,1999-04-02,right,65.0,77.0,62.0,90.0,20.0,20.0,20.0,24.0,0.0,1.0,8.0,11.0,112.0,133.0,21.0,25.0,Grand Slam,1.76,2.07,5,Wimbledon,False,False,False,False,False,False,0,0,London_2024
https://www.livesport.com/en/match/dbW5jd3D/#/match-summary,London,UNITED KINGDOM,GRASS,outdoor,3rd Round,2024-07-06,12:00,walkover,De Minaur A.,9.0,Pouille L.,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,106298,200282,London_2024_200282_106298,De Minaur Alex,Australia,1999-02-17,right,Pouille Lucas,France,1994-02-23,right,,,,,,,,,,,,,,,25.0,30.0,Grand Slam,1.05,10.95,5,Wimbledon,False,False,False,False,False,False,0,0,London_2024
https://www.livesport.com/en/match/b7jxJDen/#/match-summary,London,UNITED KINGDOM,GRASS,outdoor,3rd Round,2024-07-06,14:00,finished,Shelton B.,21.0,Shapovalov D.,56.0,3.0,2.0,185.0,6.0,6.0,7.0,2.0,7.0,6.0,4.0,13.0,6.0,4.0,4.0,6.0,6.0,2.0,133430,210097,London_2024_210097_133430,Shelton Ben,USA,2002-10-09,left,Shapovalov Denis,Canada,1999-04-15,left,73.0,90.0,69.0,94.0,24.0,24.0,29.0,31.0,3.0,4.0,11.0,16.0,137.0,154.0,22.0,25.0,Grand Slam,1.88,1.92,5,Wimbledon,False,False,False,False,False,False,1,0,London_2024
https://www.livesport.com/en/match/6wwgFVfB/#/match-summary,London,UNITED KINGDOM,GRASS,outdoor,3rd Round,2024-07-06,15:40,finished,Fils A.,20.0,Safiullin R.,60.0,3.0,2.0,202.0,4.0,6.0,6.0,3.0,7.0,5.0,5.0,1.0,1.0,6.0,6.0,6.0,4.0,3.0,126128,209950,London_2024_209950_126128,Fils Arthur,France,2004-06-12,right,Safiullin Roman,Russia,1997-08-07,right,64.0,83.0,57.0,83.0,23.0,22.0,29.0,29.0,8.0,12.0,9.0,13.0,139.0,133.0,20.0,27.0,Grand Slam,1.77,2.06,5,Wimbledon,False,False,False,False,False,False,0,0,London_2024
https://www.livesport.com/en/match/QFNUTRkm/#/match-summary,London,UNITED KINGDOM,GRASS,outdoor,3rd Round,2024-07-06,14:05,finished,Humbert U.,14.0,Nakashima B.,38.0,3.0,1.0,221.0,7.0,6.0,6.0,3.0,25.0,18.0,4.0,3.0,6.0,7.0,7.0,,6.0,,206909,200005,London_2024_200005_206909,Humbert Ugo,France,1998-06-26,left,Nakashima Bryce Nakashima,USA,2004-02-20,right,73.0,92.0,79.0,106.0,23.0,22.0,38.0,28.0,2.0,2.0,7.0,8.0,151.0,155.0,26.0,20.0,Grand Slam,1.74,2.11,5,Wimbledon,False,False,False,False,False,False,1,0,London_2024
https://www.livesport.com/en/match/8SvTqakd/#/match-summary,London,UNITED KINGDOM,GRASS,outdoor,3rd Round,2024-07-06,14:45,finished,Zverev A.,2.0,Norrie C.,49.0,3.0,0.0,150.0,6.0,6.0,4.0,4.0,15.0,10.0,2.0,1.0,7.0,6.0,,,,,111815,100644,London_2024_100644_111815,Zverev Alexander,Germany,1997-04-20,right,Norrie Cameron,Great Britain,1995-08-23,left,66.0,73.0,64.0,90.0,16.0,16.0,15.0,16.0,0.0,0.0,6.0,8.0,96.0,117.0,27.0,29.0,Grand Slam,1.13,6.19,5,Wimbledon,False,False,False,False,False,False,1,0,London_2024
https://www.livesport.com/en/match/b3hKGxAs/#/match-summary,London,UNITED KINGDOM,GRASS,outdoor,4th Round,2024-07-07,14:35,finished,Alcaraz C.,3.0,Humbert U.,14.0,3.0,1.0,181.0,6.0,6.0,3.0,4.0,14.0,10.0,6.0,1.0,1.0,6.0,7.0,,5.0,,200005,207989,London_2024_207989_200005,Alcaraz Carlos,Spain,2003-05-05,right,Humbert Ugo,France,1998-06-26,left,63.0,95.0,45.0,67.0,19.0,19.0,17.0,17.0,8.0,13.0,2.0,8.0,135.0,103.0,21.0,26.0,Grand Slam,1.11,6.64,5,Wimbledon,False,False,False,False,False,False,1,1,London_2024
https://www.livesport.com/en/match/0tUC6sO6/#/match-summary,London,UNITED KINGDOM,GRASS,outdoor,4th Round,2024-07-07,16:55,finished,Sinner J.,1.0,Shelton B.,21.0,3.0,0.0,130.0,6.0,6.0,2.0,4.0,7.0,15.0,0.0,4.0,7.0,6.0,,,,,210097,206173,London_2024_206173_210097,Sinner Jannik,Italy,2001-08-16,right,Shelton Ben,USA,2002-10-09,left,48.0,63.0,48.0,69.0,15.0,15.0,19.0,11.0,1.0,2.0,2.0,6.0,90.0,96.0,23.0,22.0,Grand Slam,1.05,10.64,5,Wimbledon,False,False,False,False,False,False,1,1,London_2024
https://www.livesport.com/en/match/boXolN46/#/match-summary,London,UNITED KINGDOM,GRASS,outdoor,4th Round,2024-07-07,19:30,retired,Medvedev D.,5.0,Dimitrov G.,10.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105777,106421,London_2024_106421_105777,Medvedev Daniil,Russia,1996-02-11,right,Dimitrov Grigor,Bulgaria,1991-05-16,right,9.0,14.0,8.0,14.0,4.0,4.0,6.0,4.0,1.0,2.0,1.0,3.0,23.0,25.0,28.0,33.0,Grand Slam,1.68,2.2,5,Wimbledon,False,False,False,False,False,False,1,1,London_2024
https://www.livesport.com/en/match/Q9bfL1fc/#/match-summary,London,UNITED KINGDOM,GRASS,outdoor,4th Round,2024-07-07,19:50,finished,Paul T.,12.0,Bautista Agut R.,51.0,3.0,0.0,124.0,6.0,7.0,2.0,6.0,11.0,0.0,2.0,0.0,6.0,2.0,,,,,105138,126205,London_2024_126205_105138,Paul Tommy,USA,1997-05-17,right,Bautista-Agut Roberto,Spain,1988-04-14,right,43.0,54.0,36.0,67.0,14.0,14.0,21.0,13.0,3.0,4.0,2.0,7.0,88.0,88.0,27.0,36.0,Grand Slam,1.14,5.71,5,Wimbledon,False,False,False,False,False,False,1,0,London_2024
https://www.livesport.com/en/match/YTzs40z9/#/match-summary,London,UNITED KINGDOM,GRASS,outdoor,4th Round,2024-07-08,12:05,finished,Musetti L.,17.0,Mpetshi G.,31.0,3.0,1.0,125.0,4.0,6.0,6.0,3.0,3.0,10.0,0.0,8.0,6.0,3.0,6.0,,2.0,,208659,207518,London_2024_207518_208659,Musetti Lorenzo,Italy,2002-03-03,right,Mpetshi Perricard Giovanni,France,2003-07-08,right,50.0,63.0,47.0,70.0,18.0,18.0,21.0,20.0,0.0,1.0,10.0,15.0,88.0,108.0,22.0,21.0,Grand Slam,1.88,1.92,5,Wimbledon,False,False,False,False,False,False,1,0,London_2024
https://www.livesport.com/en/match/4MfHpTtH/#/match-summary,London,UNITED KINGDOM,GRASS,outdoor,4th Round,2024-07-08,14:10,finished,De Minaur A.,9.0,Fils A.,20.0,3.0,1.0,177.0,6.0,6.0,2.0,4.0,2.0,8.0,4.0,7.0,4.0,6.0,6.0,,3.0,,209950,200282,London_2024_200282_209950,De Minaur Alex,Australia,1999-02-17,right,Fils Arthur,France,2004-06-12,right,43.0,60.0,40.0,71.0,18.0,19.0,27.0,23.0,8.0,13.0,7.0,16.0,111.0,124.0,25.0,20.0,Grand Slam,1.19,4.71,5,Wimbledon,False,False,False,False,False,False,1,0,London_2024
