url,tournament_name,tournament_location,tournament_country,Surface,indoor_or_outdoor,Round,Date,time,Comment,winner_name,winner_rank,loser_name,loser_rank,Wsets,Lsets,minutes,W1,W2,W3,W4,W5,L1,L2,L3,L4,L5,w_ace,l_ace,w_df,l_df,winner_Name,winner_ioc,winner_Date_of_birth,winner_hand,winner_id,loser_Name,loser_ioc,loser_Date_of_birth,loser_hand,loser_id,w_1stWon,w_1stIn,l_1stWon,l_1stIn,w_SvGms,l_SvGms,w_2ndWon,l_2ndWon,w_bpSaved,w_bpFaced,l_bpSaved,l_bpFaced,w_svpt,l_svpt,winner_age,loser_age,tournament_level,best_of,winner_entry_LL,winner_entry_Q,winner_entry_WC,loser_entry_LL,loser_entry_Q,loser_entry_WC,winner_is_seeded,loser_is_seeded,tournament_id,match_id
https://www.livesport.com/en/match/YyBZw7OG/#/match-summary,AUCKLAND,auckland,NEW ZEALAND,HARD,outdoor,4th Round,2025-01-07,23:40,finished,bergs z.,60.0,nardi l.,83.0,2.0,0.0,82.0,6.0,6.0,,,,1.0,4.0,,,,7.0,3.0,2.0,6.0,Bergs Zizou,Belgium,1999-06-03,right,200267,Nardi Luca,Italy,2003-08-06,right,208134,21.0,26.0,19.0,34.0,9.0,8.0,12.0,13.0,3.0,5.0,7.0,12.0,47.0,69.0,25.0,21.0,ATP 250,3,False,False,False,False,False,False,0,0,auckland_2025,auckland_2025_200267_208134
https://www.livesport.com/en/match/8IZk3NdS/#/match-summary,AUCKLAND,auckland,NEW ZEALAND,HARD,outdoor,3rd Round,2025-01-07,02:45,finished,monfils g.,41.0,martinez p.,44.0,2.0,1.0,141.0,1.0,7.0,6.0,,,6.0,6.0,3.0,,,8.0,1.0,3.0,3.0,Monfils Gael,France,1986-09-01,right,104792,Martinez Pedro,Spain,1997-04-26,right,124079,38.0,51.0,41.0,58.0,15.0,13.0,17.0,15.0,1.0,5.0,3.0,5.0,86.0,83.0,38.0,27.0,ATP 250,3,False,False,False,False,False,False,0,0,auckland_2025,auckland_2025_104792_124079
https://www.livesport.com/en/match/G0fIg9zo/#/match-summary,AUCKLAND,auckland,NEW ZEALAND,HARD,outdoor,3rd Round,2025-01-07,03:05,finished,basavareddy n.,107.0,comesana f.,85.0,2.0,0.0,70.0,6.0,6.0,,,,2.0,2.0,,,,6.0,6.0,0.0,2.0,Basavareddy Nishesh,USA,2005-05-02,right,889354,Comesana Francisco,Argentina,2000-10-06,right,254573,25.0,36.0,19.0,34.0,8.0,8.0,11.0,7.0,2.0,2.0,5.0,9.0,51.0,52.0,19.0,24.0,ATP 250,3,False,True,False,True,False,False,0,0,auckland_2025,auckland_2025_889354_254573
https://www.livesport.com/en/match/trtIkJuJ/#/match-summary,AUCKLAND,auckland,NEW ZEALAND,HARD,outdoor,3rd Round,2025-01-07,06:40,finished,mensik j.,48.0,carreno-busta p.,182.0,2.0,1.0,132.0,6.0,4.0,7.0,,,2.0,6.0,5.0,,,18.0,3.0,2.0,3.0,Mensik Jakub,Czech Republic,2005-09-01,right,210150,Carreno-Busta Pablo,Spain,1991-07-12,right,105807,45.0,55.0,45.0,63.0,15.0,15.0,18.0,17.0,1.0,2.0,4.0,7.0,88.0,100.0,19.0,33.0,ATP 250,3,False,False,False,True,False,False,0,0,auckland_2025,auckland_2025_210150_105807
https://www.livesport.com/en/match/vBmemBHG/#/match-summary,AUCKLAND,auckland,NEW ZEALAND,HARD,outdoor,Quarterfinals,2025-01-08,23:40,finished,basavareddy n.,107.0,michelsen a.,42.0,2.0,1.0,103.0,2.0,6.0,6.0,,,6.0,2.0,4.0,,,4.0,5.0,2.0,2.0,Basavareddy Nishesh,USA,2005-05-02,right,889354,Michelsen Alex,USA,2004-08-25,right,210506,37.0,46.0,36.0,46.0,13.0,13.0,17.0,9.0,5.0,7.0,3.0,6.0,79.0,73.0,19.0,20.0,ATP 250,3,False,False,False,False,False,False,0,1,auckland_2025,auckland_2025_889354_210506
https://www.livesport.com/en/match/2Dl7SCKt/#/match-summary,AUCKLAND,auckland,NEW ZEALAND,HARD,outdoor,4th Round,2025-01-08,08:30,finished,borges n.,33.0,navone m.,47.0,2.0,1.0,154.0,4.0,7.0,6.0,,,6.0,5.0,4.0,,,6.0,4.0,0.0,3.0,Borges Nuno,Portugal,1997-02-19,right,132686,Navone Mariano,Argentina,2001-02-27,right,640994,47.0,75.0,41.0,63.0,16.0,16.0,19.0,20.0,4.0,8.0,5.0,10.0,111.0,102.0,27.0,23.0,ATP 250,3,False,False,False,False,False,False,1,0,auckland_2025,auckland_2025_132686_640994
https://www.livesport.com/en/match/tCJBB5xo/#/match-summary,AUCKLAND,auckland,NEW ZEALAND,HARD,outdoor,4th Round,2025-01-08,08:30,finished,mensik j.,48.0,shelton b.,20.0,2.0,1.0,160.0,7.0,4.0,7.0,,,6.0,6.0,5.0,,,10.0,7.0,7.0,2.0,Mensik Jakub,Czech Republic,2005-09-01,right,210150,Shelton Ben,USA,2002-10-09,left,210097,57.0,71.0,54.0,84.0,17.0,17.0,25.0,27.0,5.0,6.0,11.0,12.0,119.0,127.0,19.0,22.0,ATP 250,3,False,False,False,False,False,False,0,1,auckland_2025,auckland_2025_210150_210097
https://www.livesport.com/en/match/l2AOIE4T/#/match-summary,AUCKLAND,auckland,NEW ZEALAND,HARD,outdoor,4th Round,2025-01-08,03:30,finished,carballes baena r.,57.0,cerundolo f.,31.0,2.0,0.0,91.0,6.0,7.0,,,,2.0,5.0,,,,3.0,6.0,0.0,3.0,Carballes Baena Roberto,Spain,1993-03-23,right,106148,Cerundolo Francisco,Argentina,1998-08-13,right,202103,37.0,51.0,24.0,35.0,10.0,10.0,11.0,12.0,2.0,2.0,2.0,5.0,69.0,59.0,31.0,26.0,ATP 250,3,False,False,False,False,False,False,0,1,auckland_2025,auckland_2025_106148_202103
https://www.livesport.com/en/match/UNfrwtdD/#/match-summary,ADELAIDE,adelaide,AUSTRALIA,HARD,outdoor,4th Round,2025-01-08,01:40,finished,auger-aliassime f.,23.0,cazaux a.,78.0,2.0,1.0,151.0,1.0,6.0,7.0,,,6.0,4.0,5.0,,,12.0,8.0,5.0,3.0,Auger Aliassime Felix,Canada,2000-08-08,right,200000,Cazaux Arthur,France,2002-08-23,right,209070,39.0,54.0,38.0,54.0,14.0,15.0,14.0,24.0,4.0,6.0,7.0,9.0,83.0,100.0,24.0,22.0,ATP 250,3,False,False,False,False,False,False,1,0,adelaide_2025,adelaide_2025_200000_209070
https://www.livesport.com/en/match/KC7CngT9/#/match-summary,ADELAIDE,adelaide,AUSTRALIA,HARD,outdoor,4th Round,2025-01-08,02:45,finished,kecmanovic m.,51.0,o'connell c.,70.0,2.0,0.0,92.0,7.0,6.0,,,,6.0,2.0,,,,3.0,13.0,1.0,4.0,Kecmanovic Miomir,Serbia,1999-08-31,right,200175,O'Connell Christopher,Australia,1994-06-03,right,106331,31.0,34.0,28.0,37.0,10.0,10.0,14.0,10.0,2.0,3.0,6.0,9.0,64.0,68.0,25.0,30.0,ATP 250,3,False,False,False,False,False,False,0,0,adelaide_2025,adelaide_2025_200175_106331
https://www.livesport.com/en/match/ABTVJECE/#/match-summary,ADELAIDE,adelaide,AUSTRALIA,HARD,outdoor,4th Round,2025-01-08,03:15,finished,hijikata r.,72.0,nakashima b.,35.0,2.0,1.0,123.0,6.0,3.0,7.0,,,2.0,6.0,6.0,,,6.0,17.0,5.0,2.0,Hijikata Rinky,Australia,2001-02-23,right,208014,Nakashima Bryce Nakashima,USA,2004-02-20,right,206909,38.0,49.0,48.0,62.0,14.0,15.0,24.0,12.0,3.0,4.0,3.0,5.0,86.0,84.0,23.0,20.0,ATP 250,3,False,False,False,False,False,False,0,1,adelaide_2025,adelaide_2025_208014_206909
https://www.livesport.com/en/match/zRnFQjkg/#/match-summary,ADELAIDE,adelaide,AUSTRALIA,HARD,outdoor,4th Round,2025-01-08,04:15,finished,bonzi b.,64.0,tu l.,168.0,2.0,0.0,86.0,6.0,6.0,,,,3.0,3.0,,,,3.0,4.0,3.0,1.0,Bonzi Benjamin,France,1996-06-09,right,126127,Tu Li,Australia,1996-05-27,right,111454,23.0,33.0,15.0,32.0,9.0,9.0,15.0,11.0,8.0,10.0,3.0,8.0,63.0,58.0,28.0,28.0,ATP 250,3,False,True,False,False,False,False,0,0,adelaide_2025,adelaide_2025_126127_111454
https://www.livesport.com/en/match/WUVqZyff/#/match-summary,ADELAIDE,adelaide,AUSTRALIA,HARD,outdoor,4th Round,2025-01-08,04:35,finished,korda s.,22.0,davidovich fokina a.,66.0,2.0,0.0,93.0,6.0,6.0,,,,3.0,3.0,,,,8.0,2.0,2.0,3.0,Korda Sebastian,USA,2000-07-05,right,200624,Davidovich Fokina Alejandro,Spain,1999-06-05,right,200221,37.0,43.0,25.0,40.0,9.0,9.0,9.0,10.0,5.0,5.0,4.0,7.0,69.0,63.0,24.0,25.0,ATP 250,3,False,False,False,False,False,False,1,0,adelaide_2025,adelaide_2025_200624_200221
https://www.livesport.com/en/match/z1Jnl64E/#/match-summary,AUCKLAND,auckland,NEW ZEALAND,HARD,outdoor,4th Round,2025-01-08,04:50,finished,monfils g.,41.0,struff j-l.,43.0,2.0,0.0,90.0,6.0,7.0,,,,1.0,6.0,,,,14.0,5.0,4.0,2.0,Monfils Gael,France,1986-09-01,right,104792,Struff Jan-Lennard,Germany,1990-04-25,right,105526,37.0,41.0,20.0,28.0,10.0,9.0,10.0,16.0,1.0,1.0,0.0,2.0,62.0,56.0,38.0,34.0,ATP 250,3,False,False,False,False,False,False,0,1,auckland_2025,auckland_2025_104792_105526
https://www.livesport.com/en/match/tIlvkbN8/#/match-summary,ADELAIDE,adelaide,AUSTRALIA,HARD,outdoor,4th Round,2025-01-08,09:10,finished,kokkinakis t.,71.0,etcheverry t. m.,38.0,2.0,1.0,183.0,7.0,4.0,7.0,,,5.0,6.0,6.0,,,23.0,13.0,4.0,0.0,Kokkinakis Thanasi,Australia,1996-04-10,right,106423,Etcheverry Tomas Martin,Argentina,1999-07-18,right,144869,61.0,82.0,60.0,72.0,17.0,17.0,18.0,16.0,5.0,6.0,4.0,5.0,115.0,103.0,28.0,25.0,ATP 250,3,False,False,False,False,False,False,0,1,adelaide_2025,adelaide_2025_106423_144869
