url,tournament_name,tournament_location,tournament_country,Surface,indoor_or_outdoor,Round,Date,time,winner_name,winner_rank,loser_name,loser_rank,Comment,Wsets,Lsets,minutes,W1,W2,W3,W4,W5,L1,L2,L3,L4,L5,w_ace,l_ace,w_df,l_df,winner_Name,winner_ioc,winner_Date_of_birth,winner_hand,winner_id,loser_Name,loser_ioc,loser_Date_of_birth,loser_hand,loser_id,winner_age,loser_age,tournament_level,match_id,best_of,w_1stWon,w_1stIn,l_1stWon,l_1stIn,w_SvGms,l_SvGms,w_2ndWon,l_2ndWon,w_bpSaved,w_bpFaced,l_bpSaved,l_bpFaced,w_svpt,l_svpt,winner_entry_LL,loser_entry_LL,winner_entry_Q,loser_entry_Q,winner_entry_WC,loser_entry_WC,winner_is_seeded,loser_is_seeded,tournament_id
https://www.livesport.com/game/MwZRrqyB/#/game-summary,AUSTRALIAN OPEN,melbourne,AUSTRALIA,HARD,outdoor,3rd Round,2025-01-18,07:10,shelton b.,20.0,musetti l.,15.0,final,3.0,1.0,172.0,6.0,3.0,6.0,7.0,,3.0,6.0,4.0,6.0,,11.0,2.0,3.0,3.0,Shelton Ben,USA,2002-10-09,left,210097,Musetti Lorenzo,Italy,2002-03-03,right,207518,22.0,22.0,Grand Slam,melbourne_2025_210097_207518,5,67.0,83.0,51.0,69.0,20.0,20.0,17.0,28.0,4.0,6.0,3.0,6.0,119.0,116.0,False,False,False,False,False,False,1,1,melbourne_2025
https://www.livesport.com/game/xW8v8LuC/#/game-summary,AUSTRALIAN OPEN,melbourne,AUSTRALIA,HARD,outdoor,3rd Round,2025-01-18,05:45,tien l.,121.0,moutet c.,69.0,final,3.0,0.0,169.0,7.0,6.0,6.0,,,6.0,3.0,3.0,,,1.0,3.0,5.0,2.0,Tien Learner,USA,2005-12-02,left,210530,Moutet Corentin,France,1999-04-19,left,144895,19.0,25.0,Grand Slam,melbourne_2025_210530_144895,5,41.0,56.0,45.0,75.0,15.0,15.0,28.0,15.0,10.0,13.0,9.0,15.0,107.0,107.0,False,False,False,False,False,False,0,0,melbourne_2025
https://www.livesport.com/game/YJXjsWa6/#/game-summary,AUSTRALIAN OPEN,melbourne,AUSTRALIA,HARD,outdoor,3rd Round,2025-01-18,04:05,monfils g.,41.0,fritz t.,4.0,final,3.0,1.0,188.0,3.0,7.0,7.0,6.0,,6.0,5.0,6.0,4.0,,24.0,12.0,4.0,0.0,Monfils Gael,France,1986-09-01,right,104792,Fritz Taylor,USA,1997-10-28,right,126203,38.0,27.0,Grand Slam,melbourne_2025_104792_126203,5,61.0,74.0,65.0,87.0,21.0,22.0,32.0,25.0,3.0,4.0,4.0,6.0,121.0,130.0,False,False,False,False,False,False,0,1,melbourne_2025
https://www.livesport.com/game/SIQauAUI/#/game-summary,AUSTRALIAN OPEN,melbourne,AUSTRALIA,HARD,outdoor,3rd Round,2025-01-18,04:10,de minaur a.,8.0,cerundolo f.,31.0,final,3.0,1.0,233.0,5.0,7.0,6.0,6.0,,7.0,6.0,3.0,3.0,,7.0,5.0,9.0,6.0,De Minaur Alex,Australia,1999-02-17,right,200282,Cerundolo Francisco,Argentina,1998-08-13,right,202103,25.0,26.0,Grand Slam,melbourne_2025_200282_202103,5,47.0,67.0,50.0,79.0,21.0,21.0,39.0,34.0,4.0,9.0,9.0,16.0,137.0,152.0,False,False,False,False,False,False,1,1,melbourne_2025
https://www.livesport.com/game/fugici9m/#/game-summary,AUSTRALIAN OPEN,melbourne,AUSTRALIA,HARD,outdoor,3rd Round,2025-01-18,01:15,michelsen a.,42.0,khachanov k.,19.0,final,3.0,0.0,130.0,6.0,7.0,6.0,,,3.0,6.0,2.0,,,8.0,14.0,4.0,1.0,Michelsen Alex,USA,2004-08-25,right,210506,Khachanov Karen,Russia,1996-05-21,right,111575,20.0,28.0,Grand Slam,melbourne_2025_210506_111575,5,45.0,62.0,38.0,52.0,15.0,14.0,22.0,15.0,2.0,3.0,0.0,4.0,99.0,83.0,False,False,False,False,False,False,0,1,melbourne_2025
https://www.livesport.com/game/2BFmsacM/#/game-summary,AUSTRALIAN OPEN,melbourne,AUSTRALIA,HARD,outdoor,3rd Round,2025-01-18,05:30,sonego l.,55.0,marozsan f.,59.0,final,3.0,1.0,196.0,6.0,7.0,6.0,6.0,,7.0,6.0,1.0,2.0,,15.0,9.0,3.0,7.0,Sonego Lorenzo,Italy,1995-05-11,right,132283,Marozsan Fabian,Hungary,1999-10-08,right,206681,29.0,25.0,Grand Slam,melbourne_2025_132283_206681,5,69.0,81.0,63.0,86.0,20.0,19.0,26.0,23.0,5.0,5.0,11.0,15.0,130.0,134.0,False,False,False,False,False,False,0,0,melbourne_2025
https://www.livesport.com/game/MssXFOD7/#/game-summary,AUSTRALIAN OPEN,melbourne,AUSTRALIA,HARD,outdoor,4th Round,2025-01-19,08:10,zverev a.,2.0,humbert u.,14.0,final,3.0,1.0,139.0,6.0,2.0,6.0,6.0,,1.0,6.0,3.0,2.0,,19.0,12.0,3.0,3.0,Zverev Alexander,Germany,1997-04-20,right,100644,Humbert Ugo,France,1998-06-26,left,200005,27.0,26.0,Grand Slam,melbourne_2025_100644_200005,5,51.0,61.0,51.0,74.0,16.0,16.0,12.0,7.0,5.0,7.0,10.0,16.0,86.0,104.0,False,False,False,False,False,False,1,1,melbourne_2025
https://www.livesport.com/game/UiUSXSbC/#/game-summary,AUSTRALIAN OPEN,melbourne,AUSTRALIA,HARD,outdoor,4th Round,2025-01-19,05:40,paul t.,11.0,davidovich fokina a.,66.0,final,3.0,0.0,80.0,6.0,6.0,6.0,,,1.0,1.0,1.0,,,8.0,2.0,0.0,0.0,Paul Tommy,USA,1997-05-17,right,126205,Davidovich Fokina Alejandro,Spain,1999-06-05,right,200221,27.0,25.0,Grand Slam,melbourne_2025_126205_200221,5,38.0,45.0,18.0,36.0,11.0,10.0,12.0,8.0,3.0,3.0,6.0,13.0,67.0,61.0,False,False,False,False,False,False,1,0,melbourne_2025
https://www.livesport.com/game/8Qq1widt/#/game-summary,AUSTRALIAN OPEN,melbourne,AUSTRALIA,HARD,outdoor,4th Round,2025-01-19,06:05,alcaraz c.,3.0,draper j.,18.0,retired,2.0,0.0,90.0,7.0,6.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,6.0,5.0,5.0,2.0,Alcaraz Carlos,Spain,2003-05-05,right,207989,Draper Jack,Great Britain,2001-12-22,left,207733,21.0,23.0,Grand Slam,melbourne_2025_207989_207733,5,33.0,40.0,22.0,40.0,10.0,9.0,7.0,12.0,2.0,3.0,8.0,12.0,59.0,68.0,False,False,False,False,False,False,1,1,melbourne_2025
https://www.livesport.com/game/0ShOHpqe/#/game-summary,AUSTRALIAN OPEN,melbourne,AUSTRALIA,HARD,outdoor,4th Round,2025-01-19,09:15,djokovic n.,7.0,lehecka j.,29.0,final,3.0,0.0,161.0,6.0,6.0,7.0,,,3.0,4.0,6.0,,,9.0,11.0,3.0,4.0,Djokovic Novak,Serbia,1987-05-22,right,104925,Lehecka Jiri,Czech Republic,2001-11-08,right,208103,37.0,23.0,Grand Slam,melbourne_2025_104925_208103,5,44.0,54.0,47.0,60.0,16.0,15.0,24.0,19.0,2.0,3.0,8.0,11.0,92.0,106.0,False,False,False,False,False,False,1,1,melbourne_2025
