player_id,name,rank,age,hand
105238,Alexandr Dolgopolov,38.0,29.1,R
200282,Alex De Minaur,208.0,18.8,R
105992,Ryan Harrison,47.0,25.6,R
105051,Matthew Ebden,76.0,30.0,R
104999,Mischa Zverev,33.0,30.3,L
104547,Horacio Zeballos,66.0,32.6,L
111577,Jared Donaldson,54.0,21.2,R
111581,Michael Mmoh,175.0,19.9,R
111202,Hyeon Chung,58.0,21.6,R
106378,Kyle Edmund,50.0,22.9,R
104797,Denis Istomin,63.0,31.3,R
105357,John Millman,128.0,28.5,R
106401,Nick Kyrgios,21.0,22.6,R
105777,Grigor Dimitrov,3.0,26.6,R
126094,Andrey Rublev,39.0,20.1,R
104269,Fernando Verdasco,35.0,34.1,L
106233,Dominic Thiem,5.0,24.3,R
105932,Nikoloz Basilashvili,59.0,25.8,R
126774,Stefanos Tsitsipas,91.0,19.3,R
106432,Borna Coric,48.0,21.1,R
105806,Mirza Basic,138.0,26.4,R
103852,Feliciano Lopez,36.0,36.2,L
105376,Peter Gojowczyk,60.0,28.4,R
105379,Aljaz Bedene,49.0,28.4,R
126610,Matteo Berrettini,135.0,21.7,R
105526,Jan Lennard Struff,53.0,27.6,R
105882,Stefano Travaglia,134.0,26.0,R
104755,Richard Gasquet,31.0,31.5,R
105550,Guido Pella,64.0,27.6,L
104792,Gael Monfils,46.0,31.3,R
111797,Nicolas Jarry,113.0,22.2,R
105916,Marton Fucsovics,85.0,25.8,R
105062,Mikhail Kukushkin,74.0,30.0,R
106120,Ricardo Ojeda Lara,198.0,24.9,R
105732,Pierre Hugues Herbert,81.0,26.7,R
104468,Gilles Simon,89.0,33.0,R
106368,Ramkumar Ramanathan,148.0,23.1,R
125802,Ilya Ivashka,230.0,23.8,R
111513,Laslo Djere,88.0,22.5,R
104898,Robin Haase,42.0,30.7,R
106026,Yuki Bhambri,118.0,25.4,R
106329,Thiago Monteiro,124.0,23.5,L
105332,Benoit Paire,41.0,28.6,R
105227,Marin Cilic,6.0,29.2,R
104731,Kevin Anderson,14.0,31.6,R
105311,Joao Sousa,59.0,28.7,R
103970,David Ferrer,38.0,35.7,R
111575,Karen Khachanov,48.0,21.6,R
105138,Roberto Bautista Agut,21.0,29.7,R
133430,Denis Shapovalov,50.0,18.7,L
104655,Pablo Cuevas,33.0,32.0,R
105449,Steve Johnson,46.0,28.0,R
106210,Jiri Vesely,64.0,24.4,L
105041,Lukas Lacko,90.0,30.1,R
