tournament_id,tournament_name,tournament_location,tournament_date,tournament_level,draw_size,Surface,indoor_or_outdoor
2022-9410,Astana Open,Nur-Sultan,2022-10-03,A,32,Hard,Indoor
2022-0329,Rakuten Japan Open Tennis Championships,Tokyo,2022-10-03,A,32,Hard,Outdoor
2022-2805,Firenze Open,Florence,2022-10-10,A,32,Hard,Indoor
2022-2807,Gijon Open,Gijon,2022-10-10,A,32,Hard,Indoor
2022-7485,European Open,Antwerp,2022-10-17,A,32,Hard,Indoor
2022-2809,Napoli Cup,Naples,2022-10-17,A,32,Hard,Outdoor
2022-0429,Stockholm Open,Stockholm,2022-10-17,A,32,Hard,Indoor
2022-0328,Swiss Indoors,Basel,2022-10-24,A,32,Hard,Indoor
2022-0337,Vienna Open,Vienna,2022-10-24,A,32,Hard,Indoor
2022-0352,BNP Paribas Masters,Paris 2,2022-10-31,M,64,Hard,Indoor
2023-2843,Adelaide International 1,Adelaide 1,2023-01-02,A,32,Hard,Outdoor
2023-0891,Maharashtra Open,Pune,2023-01-02,A,32,Hard,Outdoor
2023-8998,Adelaide International 2,Adelaide 2,2023-01-09,A,32,Hard,Outdoor
2023-0301,ASB Classic,Auckland,2023-01-09,A,32,Hard,Outdoor
2023-580,Australian Open,Melbourne,2023-01-16,G,128,Hard,Outdoor
2023-9158,Cordoba Open,Cordoba,2023-02-06,A,32,Clay,Outdoor
2023-0424,Dallas Open,Dallas,2023-02-06,A,32,Hard,Indoor
2023-0375,Open Sud de France,Montpellier,2023-02-06,A,32,Hard,Indoor
2023-0506,Argentina Open,Buenos Aires,2023-02-13,A,32,Clay,Outdoor
2023-0499,Delray Beach Open,Delray Beach,2023-02-13,A,32,Hard,Outdoor
2023-0407,ABN AMRO World Tennis Tournament,Rotterdam,2023-02-13,A,32,Hard,Indoor
2023-0451,Qatar Exxon Mobil Open,Doha,2023-02-20,A,32,Hard,Outdoor
2023-0496,Open 13,Marseille,2023-02-20,A,32,Hard,Indoor
2023-6932,Rio Open,Rio de Janeiro,2023-02-20,A,32,Clay,Outdoor
2023-0807,Abierto Mexicano,Acapulco,2023-02-27,A,32,Hard,Outdoor
2023-0495,Dubai Tennis Championships,Dubai,2023-02-27,A,32,Hard,Outdoor
2023-8996,Chile Open,Santiago,2023-02-27,A,32,Clay,Indoor
2023-0404,BNP Paribas Open,Indian Wells,2023-03-06,M,128,Hard,Outdoor
2023-0403,Miami Open,Miami,2023-03-20,M,128,Hard,Outdoor
2023-7290,Estoril Open,Estoril,2023-04-03,A,32,Clay,Outdoor
2023-0717,U.S. Men's Clay Court Championships,Houston,2023-04-03,A,32,Clay,Outdoor
2023-0360,Grand Prix Hassan II,Marrakech,2023-04-03,A,32,Clay,Outdoor
2023-0410,Monte Carlo Masters,Monte Carlo,2023-04-10,M,64,Clay,Outdoor
2023-0425,Barcelona Open,Barcelona,2023-04-17,A,64,Clay,Outdoor
2023-2841,Srpska Open,Banja Luka,2023-04-17,A,32,Clay,Outdoor
2023-0308,BMW Open,Munich,2023-04-17,A,32,Clay,Outdoor
2023-1536,Mutua Madrid Open,Madrid,2023-04-24,M,128,Clay,Outdoor
2023-0416,Internazionali BNL d'Italia,Rome,2023-05-08,M,128,Clay,Outdoor
2023-0322,Geneva Open,Geneva,2023-05-22,A,32,Clay,Outdoor
2023-7694,Lyon Open,Lyon,2023-05-22,A,32,Clay,Outdoor
2023-520,French Open,Paris,2023-05-29,G,128,Clay,Outdoor
2023-0440,Rosmalen Grass Court Championships,'s-Hertogenbosch,2023-06-12,A,32,Grass,Outdoor
2023-0321,Stuttgart Open,Stuttgart,2023-06-12,A,32,Grass,Outdoor
2023-0500,Halle Open,Halle,2023-06-19,A,32,Grass,Outdoor
2023-0311,Queen's Club Championships,Queens Club,2023-06-19,A,32,Grass,Outdoor
2023-0741,Eastbourne International,Eastbourne,2023-06-26,A,32,Grass,Outdoor
2023-8994,Mallorca Championships,Mallorca,2023-06-26,A,32,Grass,Outdoor
2023-540,Wimbledon,London,2023-07-03,G,128,Grass,Outdoor
2023-0316,Nordea Open,Bastad,2023-07-17,A,32,Clay,Outdoor
2023-0314,Suisse Open Gstaad,Gstaad,2023-07-17,A,32,Clay,Outdoor
2023-0315,Hall of Fame Championships,Newport,2023-07-17,A,32,Grass,Outdoor
2023-6116,Atlanta Open,Atlanta,2023-07-24,A,32,Hard,Outdoor
2023-0414,European Open,Hamburg,2023-07-24,A,32,Clay,Outdoor
2023-0439,Croatia Open,Umag,2023-07-24,A,32,Clay,Outdoor
2023-0319,Generali Open,Kitzbuhel,2023-07-31,A,32,Clay,Outdoor
